1.122596576, Sport: ,Soccer, Time: ,Sat Jan 23 17:00:00 CET 2016, Time: ,Sat Jan 23 17:00:00 CET 2016, Event: ,Paris St-G v Angers, Favorite: ,Paris St-G, 489720   size:2335.05,Price: ,1.24,Angers, 473963   size:342.44,Price: ,19.5,The Draw, 58805   size:184.1,Price: ,6.8,ok
1.122701136, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,US Salernitana 1919 U19 v Vicenza Calcio U19, Favorite: ,Vicenza Calcio U19, 6673838   size:7.19,Price: ,2.54,US Salernitana 1919 U19, 8547303   size:7.17,Price: ,2.7,The Draw, 58805   size:3.38,Price: ,3.5,ok
1.122721727, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,Koper v SV Horn, Favorite: ,SV Horn, 2192222   size:4.63,Price: ,2.4,Koper, 166903   size:6.05,Price: ,2.62,The Draw, 58805   size:4.53,Price: ,3.5,ok
1.122701219, Sport: ,Soccer, Time: ,Sat Jan 23 14:30:00 CET 2016, Time: ,Sat Jan 23 14:30:00 CET 2016, Event: ,AC Chievo Verona U19 v Cagliari Calcio U19, Favorite: ,AC Chievo Verona U19, 6796818   size:4.22,Price: ,1.75,Cagliari Calcio U19, 6658303   size:26.16,Price: ,3.65,The Draw, 58805   size:2.12,Price: ,3.5,x
1.122706209, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,MKS Kluczbork v Energetyk ROW, Favorite: ,MKS Kluczbork, 4135270   size:5.73,Price: ,1.94,Energetyk ROW, 7444778   size:4.41,Price: ,3.65,The Draw, 58805   size:3.22,Price: ,3.45,ok
1.122701416, Sport: ,Soccer, Time: ,Sat Jan 23 14:30:00 CET 2016, Time: ,Sat Jan 23 14:30:00 CET 2016, Event: ,AC Milan U19 v Calcio Como U19, Favorite: ,AC Milan U19, 2502326   size:4.9,Price: ,1.53,Calcio Como U19, 9509684   size:19.34,Price: ,4.6,The Draw, 58805   size:25.1,Price: ,3.85,ok
1.122701636, Sport: ,Soccer, Time: ,Sat Jan 23 14:30:00 CET 2016, Time: ,Sat Jan 23 14:30:00 CET 2016, Event: ,Bologna FC U19 v Brescia Calcio U19, Favorite: ,Bologna FC U19, 6600051   size:3.58,Price: ,2.1,Brescia Calcio U19, 6673850   size:36.77,Price: ,2.88,The Draw, 58805   size:2.25,Price: ,3.35,ok
1.122701471, Sport: ,Soccer, Time: ,Sat Jan 23 12:00:00 CET 2016, Time: ,Sat Jan 23 12:00:00 CET 2016, Event: ,US Citta di Palermo U19 v SS Lazio U19, Favorite: ,US Citta di Palermo U19, 6995070   size:2.06,Price: ,2.24,SS Lazio U19, 6839228   size:2.2,Price: ,2.88,The Draw, 58805   size:2.62,Price: ,3.4,ok
1.122701274, Sport: ,Soccer, Time: ,Sat Jan 23 10:30:00 CET 2016, Time: ,Sat Jan 23 10:30:00 CET 2016, Event: ,Frosinone Calcio U19 v Empoli FC U19, Favorite: ,Empoli FC U19, 6641812   size:5.28,Price: ,2.1,Frosinone Calcio U19, 7302494   size:8.56,Price: ,3.25,The Draw, 58805   size:4.49,Price: ,3.9,x
1.122706008, Sport: ,Soccer, Time: ,Sat Jan 23 10:30:00 CET 2016, Time: ,Sat Jan 23 10:30:00 CET 2016, Event: ,Quang Ngai U19 v Quang Nam U19, Favorite: ,Quang Ngai U19, 10718663   size:5.04,Price: ,2.2,Quang Nam U19, 8126914   size:4.08,Price: ,2.72,The Draw, 58805   size:3.13,Price: ,3.55,ok
1.122705733, Sport: ,Soccer, Time: ,Sat Jan 23 10:00:00 CET 2016, Time: ,Sat Jan 23 10:00:00 CET 2016, Event: ,Thanh Hoa v Quang Ninh, Favorite: ,Thanh Hoa, 7227126   size:188.18,Price: ,1.58,Quang Ninh, 9127869   size:69.84,Price: ,5.0,The Draw, 58805   size:54.88,Price: ,5.0,ok
