1.122680138, Sport: ,Basketball, Time: ,Sat Jan 23 20:00:00 CET 2016, Time: ,Sat Jan 23 20:00:00 CET 2016, Event: ,BC Souffelweyersheim v Hyères Toulon Var Bask, Favorite: ,BC Souffelweyersheim, 8998130   size:6.83,Price: ,1.03,Hyères Toulon Var Bask, 10441720   size:6.83,Price: ,1.03
1.122596370, Sport: ,Soccer, Time: ,Sat Jan 23 20:00:00 CET 2016, Time: ,Sat Jan 23 20:00:00 CET 2016, Event: ,Guingamp v SC Bastia, Favorite: ,Guingamp, 44801   size:45.66,Price: ,2.18,SC Bastia, 7534982   size:28.69,Price: ,5.9,The Draw, 58805   size:193.93,Price: ,2.68
1.122680139, Sport: ,Basketball, Time: ,Sat Jan 23 20:00:00 CET 2016, Time: ,Sat Jan 23 20:00:00 CET 2016, Event: ,Vichy-Clermont v Lille Metropole, Favorite: ,Vichy-Clermont, 10445746   size:6.83,Price: ,1.03,Lille Metropole, 8999975   size:6.83,Price: ,1.03
1.122596782, Sport: ,Soccer, Time: ,Sat Jan 23 20:00:00 CET 2016, Time: ,Sat Jan 23 20:00:00 CET 2016, Event: ,Nantes v Bordeaux, Favorite: ,Nantes, 10774   size:1949.38,Price: ,1.11,Bordeaux, 10501   size:18.4,Price: ,42.0,The Draw, 58805   size:179.38,Price: ,11.5
1.122694570, Sport: ,Basketball, Time: ,Sat Jan 23 20:00:00 CET 2016, Time: ,Sat Jan 23 20:00:00 CET 2016, Event: ,ASVEL Lyon-Villeurbanne v Pau-Lacq-Orthez, Favorite: ,ASVEL Lyon-Villeurbanne, 8998181   size:6.83,Price: ,1.03,Pau-Lacq-Orthez, 8998189   size:6.83,Price: ,1.03
1.122694571, Sport: ,Basketball, Time: ,Sat Jan 23 20:00:00 CET 2016, Time: ,Sat Jan 23 20:00:00 CET 2016, Event: ,Denain Voltaire v JSF Nanterre, Favorite: ,Denain Voltaire, 8998129   size:6.83,Price: ,1.03,JSF Nanterre, 7735546   size:6.83,Price: ,1.03
1.122694572, Sport: ,Basketball, Time: ,Sat Jan 23 20:00:00 CET 2016, Time: ,Sat Jan 23 20:00:00 CET 2016, Event: ,JL Bourg-en-Bresse v Limoges CSP, Favorite: ,JL Bourg-en-Bresse, 8998182   size:6.83,Price: ,1.03,Limoges CSP, 3817201   size:84.83,Price: ,1.03
1.122694574, Sport: ,Basketball, Time: ,Sat Jan 23 20:00:00 CET 2016, Time: ,Sat Jan 23 20:00:00 CET 2016, Event: ,Orleans Loiret Basket v JDA Dijon, Favorite: ,Orleans Loiret Basket, 8999575   size:6.83,Price: ,1.03,JDA Dijon, 8998200   size:6.83,Price: ,1.03
1.122596679, Sport: ,Soccer, Time: ,Sat Jan 23 20:00:00 CET 2016, Time: ,Sat Jan 23 20:00:00 CET 2016, Event: ,Nice v Lorient, Favorite: ,Nice, 189829   size:23.24,Price: ,2.34,Lorient, 44794   size:759.65,Price: ,4.4,The Draw, 58805   size:150.0,Price: ,2.8
1.122596473, Sport: ,Soccer, Time: ,Sat Jan 23 20:00:00 CET 2016, Time: ,Sat Jan 23 20:00:00 CET 2016, Event: ,Lille v ESTAC Troyes, Favorite: ,Lille, 44790   size:2.64,Price: ,1.18,ESTAC Troyes, 4864974   size:14.07,Price: ,34.0,The Draw, 58805   size:5.92,Price: ,8.0
1.122701947, Sport: ,Soccer, Time: ,Sat Jan 23 22:00:00 CET 2016, Time: ,Sat Jan 23 22:00:00 CET 2016, Event: ,Cobreloa v Deportes Copiapo, Favorite: ,Cobreloa, 328700   size:59.42,Price: ,1.76,Deportes Copiapo, 5663001   size:3.82,Price: ,6.0,The Draw, 58805   size:5.28,Price: ,3.6
1.122723770, Sport: ,Soccer, Time: ,Sun Jan 24 11:00:00 CET 2016, Time: ,Sun Jan 24 11:00:00 CET 2016, Event: ,Slaven Belupo v SCR Altach, Favorite: ,Slaven Belupo, 170923   size:13.88,Price: ,1.04,SCR Altach, 872710   size:13.88,Price: ,1.04,The Draw, 58805   size:2.64,Price: ,1.25
