1.122723649, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,CMD San Juan v Ecija Balompie, Favorite: ,Ecija Balompie, 9301056   size:2.26,Price: ,2.04,CMD San Juan, 8390549   size:3.91,Price: ,3.35,The Draw, 58805   size:30.7,Price: ,3.15,x
1.122723825, Sport: ,Soccer, Time: ,Sun Jan 24 15:00:00 CET 2016, Time: ,Sun Jan 24 15:00:00 CET 2016, Event: ,Viitorul Constanta v Lokomotiva, Favorite: ,Viitorul Constanta, 5431165   size:13.88,Price: ,1.04,Lokomotiva, 4057235   size:13.88,Price: ,1.04,The Draw, 58805   size:5.28,Price: ,2.88,ok
1.122725524, Sport: ,Soccer, Time: ,Sun Jan 24 11:30:00 CET 2016, Time: ,Sun Jan 24 11:30:00 CET 2016, Event: ,CDE Lugo Fuenlabrada v Atletico Madrid II, Favorite: ,CDE Lugo Fuenlabrada, 10243045   size:9.25,Price: ,1.06,Atletico Madrid II, 10243043   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
1.122725546, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,Mar Menor CF v EF Alhama, Favorite: ,Mar Menor CF, 7313613   size:9.25,Price: ,1.06,EF Alhama, 8826848   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
1.122725526, Sport: ,Soccer, Time: ,Sun Jan 24 11:30:00 CET 2016, Time: ,Sun Jan 24 11:30:00 CET 2016, Event: ,CD Puerta Bonita v AD Alcorcon II, Favorite: ,AD Alcorcon II, 6929275   size:2.6,Price: ,1.92,CD Puerta Bonita, 9339205   size:33.01,Price: ,3.45,The Draw, 58805   size:4.04,Price: ,3.3,ok
1.122725548, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,Atl Club Pueblonuevo v CD Calamonte, Favorite: ,Atl Club Pueblonuevo, 10621550   size:9.25,Price: ,1.06,CD Calamonte, 10621713   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,ok
1.122725528, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,RSD Alcala v SS Reyes, Favorite: ,RSD Alcala, 4943233   size:9.25,Price: ,1.06,SS Reyes, 2250334   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
1.122733415, Sport: ,Tennis, Time: ,Sun Jan 24 14:30:00 CET 2016, Time: ,Sun Jan 24 14:30:00 CET 2016, Event: ,Clezar v Bagnis, Favorite: ,Facundo Bagnis, 4520808   size:64.19,Price: ,1.79,Guilherme Clezar, 5304142   size:36.07,Price: ,2.02,ok
1.122725540, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,Conil v Lebrijana, Favorite: ,Conil, 9315718   size:2.55,Price: ,2.06,Lebrijana, 9315717   size:33.01,Price: ,3.05,The Draw, 58805   size:33.01,Price: ,3.05,ok
1.122622977, Sport: ,Soccer, Time: ,Sun Jan 24 14:30:00 CET 2016, Time: ,Sun Jan 24 14:30:00 CET 2016, Event: ,PSV v Twente, Favorite: ,PSV, 48451   size:1232.1,Price: ,1.25,Twente, 48446   size:74.47,Price: ,13.5,The Draw, 58805   size:130.99,Price: ,7.6,ok
1.122725520, Sport: ,Soccer, Time: ,Sun Jan 24 17:00:00 CET 2016, Time: ,Sun Jan 24 17:00:00 CET 2016, Event: ,Castro FC v Racing Santander B, Favorite: ,Castro FC, 6343346   size:9.25,Price: ,1.06,Racing Santander B, 9493037   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
