1.122662589, Sport: ,Soccer, Time: ,Tue Jan 26 20:45:00 CET 2016, Time: ,Tue Jan 26 20:45:00 CET 2016, Event: ,AFC Fylde v Corby Town, Favorite: ,AFC Fylde, 4317866   size:4.34,Price: ,1.36,Corby Town, 2608898   size:10.94,Price: ,7.8,The Draw, 58805   size:2.61,Price: ,4.6,x
1.122739732, Sport: ,Soccer, Time: ,Tue Jan 26 18:15:00 CET 2016, Time: ,Tue Jan 26 18:15:00 CET 2016, Event: ,ASA Tel Aviv Uni (W) v H Ironi Petah Tikva (W), Favorite: ,ASA Tel Aviv Uni (W), 6934047   size:2.54,Price: ,1.17,H Ironi Petah Tikva (W), 6921686   size:11.05,Price: ,1.75,The Draw, 58805   size:11.05,Price: ,3.2,ok
1.122753804, Sport: ,Soccer, Time: ,Tue Jan 26 20:00:00 CET 2016, Time: ,Tue Jan 26 20:00:00 CET 2016, Event: ,Hamilton U20 v Partick U20, Favorite: ,Hamilton U20, 6645665   size:3.95,Price: ,1.14,Partick U20, 9001451   size:18.0,Price: ,1.15,The Draw, 58805   size:18.0,Price: ,1.26,ok
1.122736510, Sport: ,Soccer, Time: ,Tue Jan 26 18:00:00 CET 2016, Time: ,Tue Jan 26 18:00:00 CET 2016, Event: ,Hapoel Raanana v Beitar Tel Aviv Ramla, Favorite: ,Hapoel Raanana, 5281185   size:8.0,Price: ,1.16,Beitar Tel Aviv Ramla, 6021023   size:8.0,Price: ,4.7,The Draw, 58805   size:16.0,Price: ,3.05,x
1.122736160, Sport: ,Soccer, Time: ,Tue Jan 26 18:15:00 CET 2016, Time: ,Tue Jan 26 18:15:00 CET 2016, Event: ,Flora Tallinn v FC Infonet, Favorite: ,Flora Tallinn, 180590   size:2.54,Price: ,1.62,FC Infonet, 7077882   size:19.88,Price: ,4.3,The Draw, 58805   size:24.75,Price: ,3.65,x
1.122739434, Sport: ,Soccer, Time: ,Tue Jan 26 18:00:00 CET 2016, Time: ,Tue Jan 26 18:00:00 CET 2016, Event: ,Steaua Bucharest v Ujpest, Favorite: ,Steaua Bucharest, 489080   size:5.87,Price: ,1.57,Ujpest, 521199   size:2.54,Price: ,4.9,The Draw, 58805   size:2.54,Price: ,3.75,ok
1.122742567, Sport: ,Handball, Time: ,Tue Jan 26 20:30:00 CET 2016, Time: ,Tue Jan 26 20:30:00 CET 2016, Event: ,Sweden v Denmark, Favorite: ,Denmark, 602688   size:767.78,Price: ,1.21,Sweden, 624135   size:30.73,Price: ,6.2,Draw, 330157   size:11.42,Price: ,12.5,x
1.122736566, Sport: ,Soccer, Time: ,Tue Jan 26 18:00:00 CET 2016, Time: ,Tue Jan 26 18:00:00 CET 2016, Event: ,Sektzia Nes Tziona v Bnei Sakhnin, Favorite: ,Bnei Sakhnin, 3157354   size:8.0,Price: ,1.28,Sektzia Nes Tziona, 5195928   size:8.0,Price: ,3.3,The Draw, 58805   size:16.0,Price: ,3.05,x
1.122753461, Sport: ,Tennis, Time: ,Tue Jan 26 18:30:00 CET 2016, Time: ,Tue Jan 26 18:30:00 CET 2016, Event: ,Oceane Dodin v Sara Sorribes Tormo, Favorite: ,Oceane Dodin, 7289631   size:6.14,Price: ,1.09,Sara Sorribes Tormo, 6356637   size:6.14,Price: ,1.09,ok
1.122730466, Sport: ,Ice Hockey, Time: ,Tue Jan 26 17:30:00 CET 2016, Time: ,Tue Jan 26 17:30:00 CET 2016, Event: ,HPK Hameenlinna v Espoo Blues, Favorite: ,HPK Hameenlinna, 2266329   size:91.0,Price: ,1.65,Espoo Blues, 245509   size:146.6,Price: ,4.4,Tie, 60104   size:70.0,Price: ,4.8,x
1.122738193, Sport: ,Soccer, Time: ,Tue Jan 26 19:00:00 CET 2016, Time: ,Tue Jan 26 19:00:00 CET 2016, Event: ,Austria Salzburg v Union St Florian, Favorite: ,Austria Salzburg, 65363   size:2.54,Price: ,1.71,Union St Florian, 3258148   size:25.73,Price: ,3.55,The Draw, 58805   size:23.02,Price: ,3.85,ok
