1.122765097, Sport: ,Tennis, Time: ,Wed Jan 27 22:21:00 CET 2016, Time: ,Wed Jan 27 22:21:00 CET 2016, Event: ,Escobedo v Sandgren, Favorite: ,Ernesto Escobedo, 8700174   size:871.61,Price: ,1.31,Tennys Sandgren, 6604266   size:212.32,Price: ,3.85,ok
1.122773160, Sport: ,Tennis, Time: ,Thu Jan 28 09:30:00 CET 2016, Time: ,Thu Jan 28 09:30:00 CET 2016, Event: ,Magdalena Pantuckova v Audrey Albie, Favorite: ,Magdalena Pantuckova, 9629703   size:9.17,Price: ,1.06,Audrey Albie, 8948984   size:9.17,Price: ,1.06,x
1.122772294, Sport: ,Soccer, Time: ,Thu Jan 28 10:00:00 CET 2016, Time: ,Thu Jan 28 10:00:00 CET 2016, Event: ,Azerbaijan U21 v Bahrain U21, Favorite: ,Azerbaijan U21, 3938974   size:5.5,Price: ,1.1,Bahrain U21, 10748310   size:4.58,Price: ,1.12,The Draw, 58805   size:11.91,Price: ,3.5,ok
1.122773163, Sport: ,Tennis, Time: ,Thu Jan 28 11:00:00 CET 2016, Time: ,Thu Jan 28 11:00:00 CET 2016, Event: ,Gabriela Pantuckova v Alina Wessel, Favorite: ,Gabriela Pantuckova, 9148884   size:9.17,Price: ,1.06,Alina Wessel, 9627278   size:9.17,Price: ,1.06,ok
1.122673328, Sport: ,Soccer, Time: ,Thu Jan 28 04:00:00 CET 2016, Time: ,Thu Jan 28 04:00:00 CET 2016, Event: ,Jaguares v Lobos BUAP, Favorite: ,Lobos BUAP, 6138085   size:4.28,Price: ,2.56,Jaguares, 328953   size:2.61,Price: ,2.98,The Draw, 58805   size:133.71,Price: ,3.45,x
1.122753344, Sport: ,Basketball, Time: ,Thu Jan 28 11:00:00 CET 2016, Time: ,Thu Jan 28 11:00:00 CET 2016, Event: ,Jeonju KCC Egis v Wonju Dongbu Promy, Favorite: ,Jeonju KCC Egis, 8148243   size:2484.44,Price: ,1.06,Wonju Dongbu Promy, 7867863   size:2484.44,Price: ,1.06,ok
1.122753522, Sport: ,Basketball, Time: ,Thu Jan 28 01:35:00 CET 2016, Time: ,Thu Jan 28 01:35:00 CET 2016, Event: ,Philadelphia 76ers @ Detroit Pistons, Favorite: ,Detroit Pistons, 237474   size:50.4,Price: ,1.11,Philadelphia 76ers, 237473   size:15.47,Price: ,9.4,ok
1.122753348, Sport: ,Basketball, Time: ,Thu Jan 28 11:00:00 CET 2016, Time: ,Thu Jan 28 11:00:00 CET 2016, Event: ,Seoul Samsung Thunders v Busan KT Sonicboom, Favorite: ,Seoul Samsung Thunders, 8998276   size:2.55,Price: ,1.39,Busan KT Sonicboom, 7867864   size:2.55,Price: ,3.15,ok
1.122753505, Sport: ,Basketball, Time: ,Thu Jan 28 02:05:00 CET 2016, Time: ,Thu Jan 28 02:05:00 CET 2016, Event: ,Los Angeles Clippers @ Atlanta Hawks, Favorite: ,Atlanta Hawks, 237490   size:141.92,Price: ,1.5,Los Angeles Clippers, 6023845   size:121.9,Price: ,2.92,x
1.122671626, Sport: ,Soccer, Time: ,Wed Jan 27 23:00:00 CET 2016, Time: ,Wed Jan 27 23:00:00 CET 2016, Event: ,CD FAS U20 v CD Dragon U20, Favorite: ,CD FAS U20, 10726064   size:11.01,Price: ,1.15,CD Dragon U20, 10738648   size:11.01,Price: ,1.15,The Draw, 58805   size:3.67,Price: ,2.9,x
1.122744024, Sport: ,Soccer, Time: ,Thu Jan 28 00:00:00 CET 2016, Time: ,Thu Jan 28 00:00:00 CET 2016, Event: ,San Luis (Chile) v Universidad de Chile, Favorite: ,Universidad de Chile, 1069686   size:46.99,Price: ,1.87,San Luis (Chile), 5129872   size:60.38,Price: ,4.3,The Draw, 58805   size:73.86,Price: ,4.1,x
1.122765267, Sport: ,Tennis, Time: ,Thu Jan 28 16:30:00 CET 2016, Time: ,Thu Jan 28 16:30:00 CET 2016, Event: ,Elena Gabriela Ruse v Grace Min, Favorite: ,Elena Gabriela Ruse, 9186040   size:12.08,Price: ,1.05,Grace Min, 6280340   size:3.68,Price: ,1.36
1.122673161, Sport: ,Soccer, Time: ,Thu Jan 28 02:00:00 CET 2016, Time: ,Thu Jan 28 02:00:00 CET 2016, Event: ,Guadalajara v FC Juarez, Favorite: ,Guadalajara, 230909   size:24.92,Price: ,1.81,FC Juarez, 10002706   size:17.52,Price: ,5.5,The Draw, 58805   size:2.55,Price: ,3.65
1.122772239, Sport: ,Soccer, Time: ,Thu Jan 28 14:00:00 CET 2016, Time: ,Thu Jan 28 14:00:00 CET 2016, Event: ,Kosovo U21 v Albania U21, Favorite: ,Kosovo U21, 10748228   size:28.03,Price: ,1.02,Albania U21, 30081   size:28.03,Price: ,1.02,The Draw, 58805   size:44.0,Price: ,1.26
1.122773049, Sport: ,Tennis, Time: ,Thu Jan 28 12:30:00 CET 2016, Time: ,Thu Jan 28 12:30:00 CET 2016, Event: ,Michele Alexandra Zmau v Anastasia Vdovenco, Favorite: ,Michele Alexandra Zmau, 9286484   size:9.17,Price: ,1.06,Anastasia Vdovenco, 9288393   size:9.17,Price: ,1.06
1.122753482, Sport: ,Basketball, Time: ,Thu Jan 28 01:35:00 CET 2016, Time: ,Thu Jan 28 01:35:00 CET 2016, Event: ,Denver Nuggets @ Boston Celtics, Favorite: ,Boston Celtics, 60427   size:376.99,Price: ,1.21,Denver Nuggets, 237492   size:62.39,Price: ,5.5
1.122773165, Sport: ,Tennis, Time: ,Thu Jan 28 09:30:00 CET 2016, Time: ,Thu Jan 28 09:30:00 CET 2016, Event: ,Alice Bacquie v Mallaurie Noel, Favorite: ,Alice Bacquie, 9345623   size:9.17,Price: ,1.06,Mallaurie Noel, 9631691   size:9.17,Price: ,1.06
1.122773164, Sport: ,Tennis, Time: ,Thu Jan 28 09:30:00 CET 2016, Time: ,Thu Jan 28 09:30:00 CET 2016, Event: ,Cristina Ene v Andreea Ghitescu, Favorite: ,Cristina Ene, 8679178   size:9.17,Price: ,1.06,Andreea Ghitescu, 9286492   size:9.17,Price: ,1.06
1.122773167, Sport: ,Tennis, Time: ,Thu Jan 28 09:30:00 CET 2016, Time: ,Thu Jan 28 09:30:00 CET 2016, Event: ,Alexandra Perper v Jasmin Ladurner, Favorite: ,Alexandra Perper, 9627411   size:9.17,Price: ,1.06,Jasmin Ladurner, 9626917   size:9.17,Price: ,1.06
1.122673105, Sport: ,Soccer, Time: ,Thu Jan 28 02:00:00 CET 2016, Time: ,Thu Jan 28 02:00:00 CET 2016, Event: ,Monarcas Morelia v Mineros de Zacatecas, Favorite: ,Monarcas Morelia, 343015   size:19.87,Price: ,1.64,Mineros de Zacatecas, 8692849   size:16.75,Price: ,6.2,The Draw, 58805   size:4.52,Price: ,3.85
1.122753464, Sport: ,Basketball, Time: ,Thu Jan 28 03:05:00 CET 2016, Time: ,Thu Jan 28 03:05:00 CET 2016, Event: ,Charlotte Hornets @ Utah Jazz, Favorite: ,Utah Jazz, 237484   size:103.0,Price: ,1.36,Charlotte Hornets, 8622709   size:107.99,Price: ,3.5
1.122773161, Sport: ,Tennis, Time: ,Thu Jan 28 11:00:00 CET 2016, Time: ,Thu Jan 28 11:00:00 CET 2016, Event: ,Irene Lavino v Anastasia Grymalska, Favorite: ,Irene Lavino, 9657515   size:9.17,Price: ,1.06,Anastasia Grymalska, 6374157   size:9.17,Price: ,1.06
1.122765262, Sport: ,Tennis, Time: ,Thu Jan 28 15:00:00 CET 2016, Time: ,Thu Jan 28 15:00:00 CET 2016, Event: ,Robin Anderson v Chiara Scholl, Favorite: ,Chiara Scholl, 7049665   size:2.61,Price: ,1.06,Robin Anderson, 8947134   size:2.61,Price: ,1.28
1.122763442, Sport: ,Soccer, Time: ,Thu Jan 28 12:15:00 CET 2016, Time: ,Thu Jan 28 12:15:00 CET 2016, Event: ,FK Ventspils v FC Caramba D Riga, Favorite: ,FK Ventspils, 46957   size:11.01,Price: ,1.15,FC Caramba D Riga, 10424372   size:11.01,Price: ,4.1,The Draw, 58805   size:11.01,Price: ,4.3
