1.122773165, Sport: ,Tennis, Time: ,Thu Jan 28 09:30:00 CET 2016, Time: ,Thu Jan 28 09:30:00 CET 2016, Event: ,Alice Bacquie v Mallaurie Noel, Favorite: ,Alice Bacquie, 9345623   size:9.17,Price: ,1.06,Mallaurie Noel, 9631691   size:9.17,Price: ,1.06,ok
1.122773164, Sport: ,Tennis, Time: ,Thu Jan 28 09:30:00 CET 2016, Time: ,Thu Jan 28 09:30:00 CET 2016, Event: ,Cristina Ene v Andreea Ghitescu, Favorite: ,Cristina Ene, 8679178   size:9.17,Price: ,1.06,Andreea Ghitescu, 9286492   size:9.17,Price: ,1.06,ok
1.122773167, Sport: ,Tennis, Time: ,Thu Jan 28 09:30:00 CET 2016, Time: ,Thu Jan 28 09:30:00 CET 2016, Event: ,Alexandra Perper v Jasmin Ladurner, Favorite: ,Alexandra Perper, 9627411   size:9.17,Price: ,1.06,Jasmin Ladurner, 9626917   size:9.17,Price: ,1.06,ok
1.122773161, Sport: ,Tennis, Time: ,Thu Jan 28 11:00:00 CET 2016, Time: ,Thu Jan 28 11:00:00 CET 2016, Event: ,Irene Lavino v Anastasia Grymalska, Favorite: ,Irene Lavino, 9657515   size:9.17,Price: ,1.06,Anastasia Grymalska, 6374157   size:9.17,Price: ,1.06,x
1.122773160, Sport: ,Tennis, Time: ,Thu Jan 28 09:30:00 CET 2016, Time: ,Thu Jan 28 09:30:00 CET 2016, Event: ,Magdalena Pantuckova v Audrey Albie, Favorite: ,Magdalena Pantuckova, 9629703   size:9.17,Price: ,1.06,Audrey Albie, 8948984   size:9.17,Price: ,1.06,x
1.122772294, Sport: ,Soccer, Time: ,Thu Jan 28 10:00:00 CET 2016, Time: ,Thu Jan 28 10:00:00 CET 2016, Event: ,Azerbaijan U21 v Bahrain U21, Favorite: ,Azerbaijan U21, 3938974   size:2.55,Price: ,1.18,Bahrain U21, 10748310   size:11.01,Price: ,2.2,The Draw, 58805   size:11.93,Price: ,3.6,ok
1.122773163, Sport: ,Tennis, Time: ,Thu Jan 28 11:00:00 CET 2016, Time: ,Thu Jan 28 11:00:00 CET 2016, Event: ,Gabriela Pantuckova v Alina Wessel, Favorite: ,Gabriela Pantuckova, 9148884   size:9.17,Price: ,1.06,Alina Wessel, 9627278   size:9.17,Price: ,1.06,ok
1.122773162, Sport: ,Tennis, Time: ,Thu Jan 28 11:00:00 CET 2016, Time: ,Thu Jan 28 11:00:00 CET 2016, Event: ,Ilona Kremen v Harriet Dart, Favorite: ,Ilona Kremen, 7447218   size:9.17,Price: ,1.06,Harriet Dart, 8595916   size:9.17,Price: ,1.06,ok
1.122753348, Sport: ,Basketball, Time: ,Thu Jan 28 11:00:00 CET 2016, Time: ,Thu Jan 28 11:00:00 CET 2016, Event: ,Seoul Samsung Thunders v Busan KT Sonicboom, Favorite: ,Seoul Samsung Thunders, 8998276   size:26.14,Price: ,1.44,Busan KT Sonicboom, 7867864   size:2.55,Price: ,2.88,ok
1.122753472, Sport: ,Basketball, Time: ,Thu Jan 28 04:50:00 CET 2016, Time: ,Thu Jan 28 04:50:00 CET 2016, Event: ,Dallas Mavericks @ Golden State Warriors, Favorite: ,Golden State Warriors, 237493   size:6172.79,Price: ,1.05,Dallas Mavericks, 237472   size:3.93,Price: ,12.0,ok
1.122765267, Sport: ,Tennis, Time: ,Thu Jan 28 16:30:00 CET 2016, Time: ,Thu Jan 28 16:30:00 CET 2016, Event: ,Elena Gabriela Ruse v Grace Min, Favorite: ,Grace Min, 6280340   size:2.59,Price: ,1.28,Elena Gabriela Ruse, 9186040   size:5.32,Price: ,3.55,x
