1.122760963, Sport: ,Volleyball, Time: ,Sat Jan 30 06:00:00 CET 2016, Time: ,Sat Jan 30 06:00:00 CET 2016, Event: ,Seoul Woori Card Hansae v Cheonan Hyundai Capital, Favorite: ,Cheonan Hyundai Capital, 10391679   size:7.57,Price: ,1.16,Seoul Woori Card Hansae, 10391680   size:3.77,Price: ,5.6,ok
1.122805207, Sport: ,Ice Hockey, Time: ,Sat Jan 30 15:00:00 CET 2016, Time: ,Sat Jan 30 15:00:00 CET 2016, Event: ,TPS Turku v Lukko Rauma, Favorite: ,TPS Turku, 284691   size:13.9,Price: ,1.04,Lukko Rauma, 10653342   size:13.9,Price: ,1.04,Tie, 60104   size:13.9,Price: ,1.04,x
1.122681266, Sport: ,Soccer, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,C Palace v Stoke, Favorite: ,C Palace, 52689   size:581.09,Price: ,2.08,Stoke, 69720   size:83.7,Price: ,4.3,The Draw, 58805   size:100.2,Price: ,3.45,ok
1.122685420, Sport: ,Soccer, Time: ,Sat Jan 30 15:30:00 CET 2016, Time: ,Sat Jan 30 15:30:00 CET 2016, Event: ,Augsburg v Eintracht Frankfurt, Favorite: ,Augsburg, 498560   size:83.82,Price: ,2.06,Eintracht Frankfurt, 347774   size:804.62,Price: ,3.95,The Draw, 58805   size:808.16,Price: ,3.7,x
1.122681526, Sport: ,Soccer, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,West Brom v Peterborough, Favorite: ,West Brom, 1703   size:31.34,Price: ,1.71,Peterborough, 18563   size:19.69,Price: ,5.7,The Draw, 58805   size:19.19,Price: ,4.0,x
1.122726978, Sport: ,Cricket, Time: ,Sat Jan 30 05:30:00 CET 2016, Time: ,Sat Jan 30 05:30:00 CET 2016, Event: ,Galle v Kandy, Favorite: ,Galle, 10749486   size:159.8,Price: ,1.03,Kandy, 10749488   size:159.8,Price: ,1.03,ok
1.122713081, Sport: ,Soccer, Time: ,Sat Jan 30 18:00:00 CET 2016, Time: ,Sat Jan 30 18:00:00 CET 2016, Event: ,Atalanta v Sassuolo, Favorite: ,Atalanta, 215817   size:21.09,Price: ,2.58,Sassuolo, 2013140   size:6.5,Price: ,3.25,The Draw, 58805   size:1375.61,Price: ,3.25,x
1.122760957, Sport: ,Volleyball, Time: ,Sat Jan 30 15:00:00 CET 2016, Time: ,Sat Jan 30 15:00:00 CET 2016, Event: ,Gubernija Nizhny Novgor v Lokomotiv Novosibirsk, Favorite: ,Lokomotiv Novosibirsk, 6024996   size:2.56,Price: ,1.23,Gubernija Nizhny Novgor, 10444924   size:6.45,Price: ,4.2,ok
1.122760958, Sport: ,Volleyball, Time: ,Sat Jan 30 15:00:00 CET 2016, Time: ,Sat Jan 30 15:00:00 CET 2016, Event: ,Guvd Dinamo Krasnodar v Dinamo Moscow, Favorite: ,Dinamo Moscow, 1288570   size:2.56,Price: ,1.05,Guvd Dinamo Krasnodar, 10444923   size:2.0,Price: ,8.8,ok
1.122760955, Sport: ,Volleyball, Time: ,Sat Jan 30 17:00:00 CET 2016, Time: ,Sat Jan 30 17:00:00 CET 2016, Event: ,Ostrowiec Swietokrzyski v Aluprof Bielsko-Biala, Favorite: ,Ostrowiec Swietokrzyski, 10399355   size:2.63,Price: ,1.03,Aluprof Bielsko-Biala, 10399381   size:16.01,Price: ,1.21,x
1.122814510, Sport: ,Soccer, Time: ,Sat Jan 30 13:00:00 CET 2016, Time: ,Sat Jan 30 13:00:00 CET 2016, Event: ,Berliner AK v Optik Rathenow, Favorite: ,Berliner AK, 4901948   size:49.91,Price: ,1.02,Optik Rathenow, 6561505   size:4.28,Price: ,1.13,The Draw, 58805   size:2.63,Price: ,1.25,x
1.122760956, Sport: ,Volleyball, Time: ,Sat Jan 30 14:00:00 CET 2016, Time: ,Sat Jan 30 14:00:00 CET 2016, Event: ,Fakel Novy Urengoy v FK Yenisey Krasnoyarsk, Favorite: ,Fakel Novy Urengoy, 10444931   size:2.56,Price: ,1.26,FK Yenisey Krasnoyarsk, 10444932   size:11.6,Price: ,4.0
1.122698884, Sport: ,Soccer, Time: ,Fri Jan 29 20:30:00 CET 2016, Time: ,Fri Jan 29 20:30:00 CET 2016, Event: ,Avellino v Cagliari, Favorite: ,Cagliari, 60297   size:209.62,Price: ,1.66,Avellino, 501202   size:56.6,Price: ,9.0,The Draw, 58805   size:17.5,Price: ,3.35
1.122699852, Sport: ,Soccer, Time: ,Fri Jan 29 20:30:00 CET 2016, Time: ,Fri Jan 29 20:30:00 CET 2016, Event: ,Sint Truiden v Anderlecht, Favorite: ,Anderlecht, 58163   size:101.51,Price: ,1.81,Sint Truiden, 189832   size:47.22,Price: ,6.6,The Draw, 58805   size:150.0,Price: ,3.35
1.122805283, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,IK Pantern v Asploven HC, Favorite: ,IK Pantern, 9001037   size:14.23,Price: ,1.9,Asploven HC, 7669828   size:5.37,Price: ,2.9,Tie, 60104   size:97.4,Price: ,3.7
1.122805261, Sport: ,Ice Hockey, Time: ,Sat Jan 30 18:30:00 CET 2016, Time: ,Sat Jan 30 18:30:00 CET 2016, Event: ,Rogle BK v Vaxjo Lakers, Favorite: ,Vaxjo Lakers, 539706   size:109.49,Price: ,1.97,Rogle BK, 4138401   size:93.42,Price: ,3.05,Tie, 60104   size:93.42,Price: ,4.4
1.122805220, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Keupa HT v Jyp-Akatemia, Favorite: ,Keupa HT, 10669694   size:55.63,Price: ,1.01,JYP-Akatemia, 10670740   size:55.63,Price: ,1.01,Tie, 60104   size:58.26,Price: ,1.01
1.122805187, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Ilves Tampere v Espoo Blues, Favorite: ,Ilves Tampere, 261249   size:13.9,Price: ,1.04,Espoo Blues, 245509   size:13.9,Price: ,1.04,Tie, 60104   size:13.9,Price: ,1.04
1.122805221, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Leki Hockey v Jokipojat Joensuu, Favorite: ,Leki Hockey, 10670787   size:55.63,Price: ,1.01,Jokipojat Joensuu, 10672368   size:55.63,Price: ,1.01,Tie, 60104   size:58.26,Price: ,1.01
1.122805202, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Saipa Lappeenranta v Kookoo Kouvola, Favorite: ,SaiPa Lappeenranta, 292307   size:13.9,Price: ,1.04,KooKoo Kouvola, 10653340   size:13.9,Price: ,1.04,Tie, 60104   size:13.9,Price: ,1.04
1.122805218, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Heinolan Peliitat v Hermes, Favorite: ,Heinolan Peliitat, 6022874   size:55.63,Price: ,1.01,Hermes, 272755   size:55.63,Price: ,1.01,Tie, 60104   size:58.26,Price: ,1.01
1.122805219, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Kajaanin Edustushokki v Savonlinnan Pallokerho, Favorite: ,Kajaanin Edustushokki, 10672369   size:55.63,Price: ,1.01,Savonlinnan Pallokerho, 10670738   size:55.63,Price: ,1.01,Tie, 60104   size:58.26,Price: ,1.01
1.122681396, Sport: ,Soccer, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Portsmouth v Bournemouth, Favorite: ,Bournemouth, 1141   size:31.82,Price: ,2.32,Portsmouth, 58344   size:21.9,Price: ,3.35,The Draw, 58805   size:516.76,Price: ,3.55
1.122681136, Sport: ,Soccer, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Arsenal v Burnley, Favorite: ,Arsenal, 1096   size:282.99,Price: ,1.39,Burnley, 56299   size:67.59,Price: ,9.6,The Draw, 58805   size:92.35,Price: ,5.4
1.122760959, Sport: ,Volleyball, Time: ,Sat Jan 30 12:00:00 CET 2016, Time: ,Sat Jan 30 12:00:00 CET 2016, Event: ,Kuzbass Kemerovo v Gazprom-Ugra Surgut, Favorite: ,Kuzbass Kemerovo, 6068578   size:28.85,Price: ,1.82,Gazprom-Ugra Surgut, 10410542   size:2.55,Price: ,2.02
1.122805192, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,JYP Jyvaskyla v Kalpa Hockey, Favorite: ,JYP Jyvaskyla, 4192588   size:13.9,Price: ,1.04,Kalpa Hockey, 10653341   size:13.9,Price: ,1.04,Tie, 60104   size:13.9,Price: ,1.04
1.122806162, Sport: ,Basketball, Time: ,Sat Jan 30 00:00:00 CET 2016, Time: ,Sat Jan 30 00:00:00 CET 2016, Event: ,VCU @ Davidson, Favorite: ,VCU, 2328616   size:2.6,Price: ,1.77,Davidson, 705251   size:132.0,Price: ,2.14
1.122726981, Sport: ,Cricket, Time: ,Sat Jan 30 10:30:00 CET 2016, Time: ,Sat Jan 30 10:30:00 CET 2016, Event: ,Kurunegala v Colombo, Favorite: ,Kurunegala, 10749490   size:159.8,Price: ,1.03,Colombo, 484222   size:159.8,Price: ,1.03
1.122760965, Sport: ,Volleyball, Time: ,Sat Jan 30 08:00:00 CET 2016, Time: ,Sat Jan 30 08:00:00 CET 2016, Event: ,GS Caltex Kixx v IBK Altos, Favorite: ,IBK Altos, 10391692   size:2.56,Price: ,1.23,GS Caltex Kixx, 10391693   size:2.56,Price: ,4.4
1.122805273, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,BIK Karlskoga v Leksands IF, Favorite: ,BIK Karlskoga, 7670004   size:6.33,Price: ,1.9,Leksands IF, 221649   size:7.36,Price: ,3.2,Tie, 60104   size:18.79,Price: ,4.5
1.122805197, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Pelicans Lahti v Assat Pori, Favorite: ,Pelicans Lahti, 9122536   size:13.9,Price: ,1.04,Assat Pori, 292306   size:13.9,Price: ,1.04,Tie, 60104   size:13.9,Price: ,1.04
1.122805276, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,HC Vita Hasten v AIK Stockholm, Favorite: ,AIK Stockholm, 702159   size:64.23,Price: ,2.12,HC Vita Hasten, 8408826   size:38.22,Price: ,2.72,Tie, 60104   size:21.21,Price: ,4.1
1.122760961, Sport: ,Volleyball, Time: ,Sat Jan 30 13:00:00 CET 2016, Time: ,Sat Jan 30 13:00:00 CET 2016, Event: ,UFA Ural v Nova Novokuybyishevsk, Favorite: ,Ufa Ural, 10444921   size:35.3,Price: ,1.48,Nova Novokuybyishevsk, 8864835   size:2.55,Price: ,2.68
1.122805212, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Vaasan Sport v Tappara Tampere, Favorite: ,Vaasan Sport, 3328655   size:13.9,Price: ,1.04,Tappara Tampere, 4214404   size:13.9,Price: ,1.04,Tie, 60104   size:13.9,Price: ,1.04
1.122805256, Sport: ,Ice Hockey, Time: ,Sat Jan 30 18:30:00 CET 2016, Time: ,Sat Jan 30 18:30:00 CET 2016, Event: ,Modo Hockey v Farjestads BK, Favorite: ,Farjestads BK, 61442   siz,ok
