1.122746901, Sport: ,Soccer, Time: ,Sun Jan 31 12:15:00 CET 2016, Time: ,Sun Jan 31 12:15:00 CET 2016, Event: ,Mafra v Portimonense, Favorite: ,Portimonense, 505982   size:3.94,Price: ,2.64,Mafra, 2268747   size:37.53,Price: ,3.15,The Draw, 58805   size:316.45,Price: ,3.05
1.122712297, Sport: ,Soccer, Time: ,Sun Jan 31 12:00:00 CET 2016, Time: ,Sun Jan 31 12:00:00 CET 2016, Event: ,Sevilla v Levante, Favorite: ,Sevilla, 44508   size:605.44,Price: ,1.38,Levante, 214865   size:628.68,Price: ,10.5,The Draw, 58805   size:485.72,Price: ,5.4
1.122712772, Sport: ,Soccer, Time: ,Sun Jan 31 15:00:00 CET 2016, Time: ,Sun Jan 31 15:00:00 CET 2016, Event: ,Bologna v Sampdoria, Favorite: ,Bologna, 199545   size:4.86,Price: ,2.2,Sampdoria, 60311   size:135.04,Price: ,3.95,The Draw, 58805   size:1279.67,Price: ,3.4
1.122759421, Sport: ,Soccer, Time: ,Sun Jan 31 17:00:00 CET 2016, Time: ,Sun Jan 31 17:00:00 CET 2016, Event: ,Leonesa v Guijuelo, Favorite: ,Leonesa, 565022   size:19.46,Price: ,1.63,Guijuelo, 2250340   size:2.63,Price: ,7.4,The Draw, 58805   size:2.61,Price: ,3.85,x
1.122759424, Sport: ,Soccer, Time: ,Sun Jan 31 16:00:00 CET 2016, Time: ,Sun Jan 31 16:00:00 CET 2016, Event: ,Pena Sport FC v Coruxo, Favorite: ,Pena Sport FC, 9310977   size:5.75,Price: ,2.68,Coruxo, 4943232   size:7.75,Price: ,2.8,The Draw, 58805   size:42.47,Price: ,3.25
1.122837239, Sport: ,Snooker, Time: ,Sun Jan 31 18:00:00 CET 2016, Time: ,Sun Jan 31 18:00:00 CET 2016, Event: ,Robert Milkins v Mark Davis, Favorite: ,Mark Davis, 2278869   size:131.51,Price: ,1.74,Robert Milkins, 2278803   size:131.51,Price: ,1.99,ok
1.122719882, Sport: ,Soccer, Time: ,Sun Jan 31 19:00:00 CET 2016, Time: ,Sun Jan 31 19:00:00 CET 2016, Event: ,Toluca v Puebla, Favorite: ,Toluca, 230914   size:46.23,Price: ,1.85,Puebla, 328956   size:285.8,Price: ,4.7,The Draw, 58805   size:307.0,Price: ,3.7
1.122814637, Sport: ,Soccer, Time: ,Sun Jan 31 22:00:00 CET 2016, Time: ,Sun Jan 31 22:00:00 CET 2016, Event: ,Walter Ferreti v UNAN Managua, Favorite: ,Walter Ferreti, 9461738   size:2.04,Price: ,1.36,UNAN Managua, 9198508   size:10.6,Price: ,7.2,The Draw, 58805   size:21.2,Price: ,4.1
1.122719364, Sport: ,Soccer, Time: ,Sun Jan 31 11:30:00 CET 2016, Time: ,Sun Jan 31 11:30:00 CET 2016, Event: ,Salgaocar v Aizawl, Favorite: ,Salgaocar, 4427250   size:256.48,Price: ,2.3,Aizawl, 10676373   size:58.57,Price: ,3.2,The Draw, 58805   size:172.48,Price: ,3.3
1.122747271, Sport: ,Soccer, Time: ,Sun Jan 31 16:00:00 CET 2016, Time: ,Sun Jan 31 16:00:00 CET 2016, Event: ,Guimaraes B v Famalicao, Favorite: ,Famalicao, 5875376   size:17.62,Price: ,2.3,Guimaraes B, 6563316   size:17.75,Price: ,3.55,The Draw, 58805   size:241.53,Price: ,3.3
1.122837238, Sport: ,Snooker, Time: ,Sun Jan 31 16:00:00 CET 2016, Time: ,Sun Jan 31 16:00:00 CET 2016, Event: ,Darren Morgan v Anthony Hamilton, Favorite: ,Anthony Hamilton, 2278810   size:131.51,Price: ,1.49,Darren Morgan, 5935895   size:131.51,Price: ,2.48
