1.119155914, Sport: ,Baseball, Time: ,Sun Jun 21 04:10:00 CEST 2015, Time: ,Sun Jun 21 04:10:00 CEST 2015, Event: ,HOU @ SEA, Favorite: ,Houston (D Keuchel), 6453422   size:458.0,Price: ,1.85,Seattle (T Walker), 7617352   size:347.99,Price: ,2.06,x
1.119173330, Sport: ,Basketball, Time: ,Sun Jun 21 02:30:00 CEST 2015, Time: ,Sun Jun 21 02:30:00 CEST 2015, Event: ,Gecr Indalo v Quilmes, Favorite: ,Gecr Indalo, 6719074   size:78.49,Price: ,1.18,Quilmes, 7753472   size:32.69,Price: ,5.4,ok
1.119216622, Sport: ,Tennis, Time: ,Sun Jun 21 04:00:00 CEST 2015, Time: ,Sun Jun 21 04:00:00 CEST 2015, Event: ,Osaki v C Liu, Favorite: ,Risa Ozaki, 7593284   size:2.55,Price: ,1.62,Chang Liu, 7656823   size:3.62,Price: ,2.2,ok
1.118497675, Sport: ,Boxing, Time: ,Sun Jun 21 04:00:00 CEST 2015, Time: ,Sun Jun 21 04:00:00 CEST 2015, Event: ,Ward v Smith, Favorite: ,Andre Ward, 4255695   size:96332.58,Price: ,1.02,Paul Smith, 4276917   size:8.67,Price: ,42.0,Draw, 31162   size:7.74,Price: ,160.0,ok
1.119168001, Sport: ,Boxing, Time: ,Sun Jun 21 03:00:00 CEST 2015, Time: ,Sun Jun 21 03:00:00 CEST 2015, Event: ,Lemieux v NDam, Favorite: ,David Lemieux, 9611199   size:24.79,Price: ,1.61,Hassan NDam NJikam, 6730037   size:7.98,Price: ,2.7,Draw, 31162   size:2.2,Price: ,22.0,ok
1.119155906, Sport: ,Baseball, Time: ,Sun Jun 21 04:10:00 CEST 2015, Time: ,Sun Jun 21 04:10:00 CEST 2015, Event: ,SD @ ARI, Favorite: ,San Diego (T Ross), 7184181   size:204.48,Price: ,1.97,Arizona (R Ray), 9458902   size:107.41,Price: ,2.0,ok
1.119025627, Sport: ,Boxing, Time: ,Sun Jun 21 03:30:00 CEST 2015, Time: ,Sun Jun 21 03:30:00 CEST 2015, Event: ,Broner v Porter, Favorite: ,Adrien Broner, 6089961   size:132.74,Price: ,1.91,Shawn Porter, 8063010   size:845.23,Price: ,2.2,Draw, 31162   size:7.86,Price: ,32.0,x
1.119216675, Sport: ,Basketball, Time: ,Sun Jun 21 03:00:00 CEST 2015, Time: ,Sun Jun 21 03:00:00 CEST 2015, Event: ,British Virgin Islands v Bahamas, Favorite: ,Bahamas, 6425174   size:5.59,Price: ,1.01,British Virgin Islands, 4819935   size:2633.67,Price: ,1.1,ok
1.119217681, Sport: ,Tennis, Time: ,Sun Jun 21 07:30:00 CEST 2015, Time: ,Sun Jun 21 07:30:00 CEST 2015, Event: ,Gabashvili v Kudryavtsev, Favorite: ,Teymuraz Gabashvili, 4877292   size:5.23,Price: ,1.35,Alexander Kudryavtsev, 5908538   size:5.72,Price: ,3.5,ok
1.119172639, Sport: ,Rugby Union, Time: ,Sat Jun 20 20:30:00 CEST 2015, Time: ,Sat Jun 20 20:30:00 CEST 2015, Event: ,England U20 v New Zealand U20, Favorite: ,New Zealand U20, 7323988   size:1160.78,Price: ,1.33,England U20, 2296904   size:26.29,Price: ,4.3,Draw, 246289   size:6.99,Price: ,25.0,ok
1.119173268, Sport: ,Basketball, Time: ,Sat Jun 20 20:30:00 CEST 2015, Time: ,Sat Jun 20 20:30:00 CEST 2015, Event: ,Serbia (W) v Spain (W), Favorite: ,Spain (W), 6427242   size:7.4,Price: ,1.31,Serbia (W), 6427235   size:146.24,Price: ,4.0,ok
1.119155858, Sport: ,Baseball, Time: ,Sun Jun 21 01:10:00 CEST 2015, Time: ,Sun Jun 21 01:10:00 CEST 2015, Event: ,BOS @ KC, Favorite: ,Kansas City (E Volquez), 9385643   size:101.62,Price: ,1.81,Boston (R Porcello), 9385112   size:23.24,Price: ,2.2,ok
