1.119173748, Sport: ,Rugby Union, Time: ,Sat Jun 20 15:00:00 CEST 2015, Time: ,Sat Jun 20 15:00:00 CEST 2015, Event: ,Wales U20 v Australia U20, Favorite: ,Wales U20, 2818059   size:4.69,Price: ,1.4,Australia U20, 7323962   size:3.82,Price: ,1.72,Draw, 246289   size:9.59,Price: ,22.0,x
1.119209143, Sport: ,Tennis, Time: ,Sat Jun 20 15:30:00 CEST 2015, Time: ,Sat Jun 20 15:30:00 CEST 2015, Event: ,Munoz-De La Nava v Gonzalez, Favorite: ,Daniel Munoz De La Nava, 2835300   size:4.33,Price: ,1.48,Alejandro Gonzalez, 6604262   size:5.21,Price: ,2.74,ok
1.119214983, Sport: ,Tennis, Time: ,Sat Jun 20 13:30:00 CEST 2015, Time: ,Sat Jun 20 13:30:00 CEST 2015, Event: ,Lucic-Baroni v Hercog, Favorite: ,Mirjana Lucic Baroni, 6975134   size:3.13,Price: ,1.52,Polona Hercog, 2548781   size:59.56,Price: ,2.44,x
1.119216047, Sport: ,Tennis, Time: ,Sat Jun 20 16:00:00 CEST 2015, Time: ,Sat Jun 20 16:00:00 CEST 2015, Event: ,Seppi v Nishikori, Favorite: ,Kei Nishikori, 2483001   size:245.93,Price: ,1.29,Andreas Seppi, 2257535   size:53.74,Price: ,4.3,x
1.119216247, Sport: ,Tennis, Time: ,Sat Jun 20 14:00:00 CEST 2015, Time: ,Sat Jun 20 14:00:00 CEST 2015, Event: ,Pancaldi v Bernardi, Favorite: ,Luca Pancaldi, 9624735   size:8.45,Price: ,1.26,Pedro Bernardi, 8326769   size:7.63,Price: ,3.85,ok
1.119173752, Sport: ,Rugby Union, Time: ,Sat Jun 20 16:30:00 CEST 2015, Time: ,Sat Jun 20 16:30:00 CEST 2015, Event: ,Italy U20 v Samoa U20, Favorite: ,Samoa U20, 7324017   size:4.68,Price: ,1.32,Italy U20, 2296658   size:2.61,Price: ,2.36,Draw, 246289   size:9.59,Price: ,27.0,x
1.119211259, Sport: ,Tennis, Time: ,Sat Jun 20 13:00:00 CEST 2015, Time: ,Sat Jun 20 13:00:00 CEST 2015, Event: ,Mladenovic v Pliskova, Favorite: ,Karolina Pliskova, 6199453   size:118.53,Price: ,1.63,Kristina Mladenovic, 3622052   size:29.77,Price: ,2.44,ok
1.119216315, Sport: ,Tennis, Time: ,Sat Jun 20 13:45:00 CEST 2015, Time: ,Sat Jun 20 13:45:00 CEST 2015, Event: ,Kutrovsky v Smith, Favorite: ,Dimitar Kutrovsky, 6163094   size:2.64,Price: ,1.35,Connor Smith, 8732289   size:5.99,Price: ,3.05,ok
1.119212573, Sport: ,Tennis, Time: ,Sat Jun 20 15:00:00 CEST 2015, Time: ,Sat Jun 20 15:00:00 CEST 2015, Event: ,Carreno Busta v Cecchinato, Favorite: ,Pablo Carreno Busta, 5479878   size:115.25,Price: ,1.79,Marco Cecchinato, 6374165   size:3.4,Price: ,2.08,ok
1.119211682, Sport: ,Tennis, Time: ,Sat Jun 20 16:00:00 CEST 2015, Time: ,Sat Jun 20 16:00:00 CEST 2015, Event: ,Dominguez Lino v Hogenkamp, Favorite: ,Lourdes Dominguez Lino, 2256484   size:3.08,Price: ,1.63,Richel Hogenkamp, 6440521   size:2.92,Price: ,2.28,ok
1.119216239, Sport: ,Tennis, Time: ,Sat Jun 20 14:45:00 CEST 2015, Time: ,Sat Jun 20 14:45:00 CEST 2015, Event: ,Escobar v Dutra Silva, Favorite: ,Rogerio Dutra Silva, 2301068   size:5.57,Price: ,1.7,Gonzalo Escobar, 7660810   size:4.79,Price: ,1.98,ok
1.119215008, Sport: ,Tennis, Time: ,Sat Jun 20 13:30:00 CEST 2015, Time: ,Sat Jun 20 13:30:00 CEST 2015, Event: ,Webley-Smith v Zheng, Favorite: ,Saisai Zheng, 5829453   size:8.14,Price: ,1.26,Emily Webley Smith, 5595220   size:8.74,Price: ,4.2,ok
