1.119217433, Sport: ,Tennis, Time: ,Mon Jun 22 21:30:00 CEST 2015, Time: ,Mon Jun 22 21:30:00 CEST 2015, Event: ,Garcia/Katarina Srebotn v Jans-Ignaci/Andreja Kle, Favorite: ,Garcia/Srebotnik, 9128646   size:2.54,Price: ,1.29,Jans-Ignacik/Klepac, 8964497   size:2.54,Price: ,3.35,ok
1.119217430, Sport: ,Tennis, Time: ,Mon Jun 22 21:30:00 CEST 2015, Time: ,Mon Jun 22 21:30:00 CEST 2015, Event: ,Chan/Jie Zheng v Babos/Kristina Mladenovic, Favorite: ,Babos/Mladenovic, 8242001   size:5.72,Price: ,1.56,Chan/Zheng, 8461906   size:3.36,Price: ,2.62,x
1.119225509, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Erakovic v Pironkova, Favorite: ,Tsvetana Pironkova, 2263606   size:47.15,Price: ,1.76,Marina Erakovic, 2250859   size:93.0,Price: ,2.22,ok
1.119187669, Sport: ,Basketball, Time: ,Mon Jun 22 20:05:00 CEST 2015, Time: ,Mon Jun 22 20:05:00 CEST 2015, Event: ,Hapoel Eilat v Hapoel M Jerusalem, Favorite: ,Hapoel M Jerusalem, 7758971   size:627.55,Price: ,1.6,Hapoel Eilat, 7758974   size:3.43,Price: ,2.56,ok
1.119226059, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Kovalik v Rublev, Favorite: ,Andrey Rublev, 7797771   size:166.42,Price: ,1.39,Jozef Kovalik, 7287668   size:11.85,Price: ,3.35,ok
1.119225587, Sport: ,Tennis, Time: ,Mon Jun 22 18:00:00 CEST 2015, Time: ,Mon Jun 22 18:00:00 CEST 2015, Event: ,Zverev v Bellucci, Favorite: ,Alexander Zverev, 7430944   size:229.19,Price: ,1.65,Thomaz Bellucci, 2830908   size:105.0,Price: ,2.44,ok
1.119225980, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Basic v Nedovyesov, Favorite: ,Mirza Basic, 5499167   size:5.72,Price: ,1.48,Aleksandr Nedovyesov, 8188266   size:7.25,Price: ,2.88,x
1.119223123, Sport: ,Tennis, Time: ,Mon Jun 22 19:15:00 CEST 2015, Time: ,Mon Jun 22 19:15:00 CEST 2015, Event: ,Bouchard v Riske, Favorite: ,Alison Riske, 4566011   size:189.86,Price: ,1.81,Eugenie Bouchard, 5704759   size:23.61,Price: ,2.18,x
1.119225485, Sport: ,Tennis, Time: ,Mon Jun 22 20:45:00 CEST 2015, Time: ,Mon Jun 22 20:45:00 CEST 2015, Event: ,Mchale v Giorgi, Favorite: ,Camila Giorgi, 5619012   size:135.63,Price: ,1.53,Christina McHale, 8765475   size:5.0,Price: ,2.78,ok
1.119226157, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Kudryavtsev v Bourgue, Favorite: ,Alexander Kudryavtsev, 5908538   size:16.84,Price: ,1.87,Mathias Bourgue, 7066925   size:4.74,Price: ,1.99,x
1.119225984, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Boutillier v Mitchell, Favorite: ,Remi Boutillier, 8596370   size:82.27,Price: ,1.57,Benjamin Mitchell, 4822932   size:5.79,Price: ,2.52,x
1.119225963, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Gonzalez v Viola, Favorite: ,Alejandro Gonzalez, 6604262   size:7.2,Price: ,1.77,Matteo Viola, 4946664   size:22.83,Price: ,2.22,x
1.119226027, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Gonzalez v Fucsovics, Favorite: ,Marton Fucsovics, 4827766   size:2.54,Price: ,1.3,Maximo Gonzalez, 2489416   size:4.67,Price: ,3.75,ok
1.119226024, Sport: ,Tennis, Time: ,Mon Jun 22 17:08:00 CEST 2015, Time: ,Mon Jun 22 17:08:00 CEST 2015, Event: ,Herbert v Podlipnik-Castillo, Favorite: ,Pierre-Hugues Herbert, 8266399   size:25.08,Price: ,1.12,Hans Podlipnik-Castillo, 8461633   size:8.87,Price: ,7.4,ok
1.119225991, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Krajicek v Mertens, Favorite: ,Austin Krajicek, 3288367   size:2.54,Price: ,1.31,Yannick Mertens, 4521608   size:4.86,Price: ,3.8,x
1.119226124, Sport: ,Tennis, Time: ,Mon Jun 22 17:15:00 CEST 2015, Time: ,Mon Jun 22 17:15:00 CEST 2015, Event: ,Basilashvili v Hanescu, Favorite: ,Victor Hanescu, 2263612   size:14.83,Price: ,1.84,Nikoloz Basilashvili, 8257807   size:6.77,Price: ,2.18,x
