1.119179605, Sport: ,Baseball, Time: ,Wed Jun 24 02:10:00 CEST 2015, Time: ,Wed Jun 24 02:10:00 CEST 2015, Event: ,NYM @ MIL, Favorite: ,Milwaukee (M Fiers), 6408787   size:36.4,Price: ,1.77,NY Mets (J Niese), 3340416   size:464.65,Price: ,2.22,ok
1.119173364, Sport: ,Basketball, Time: ,Wed Jun 24 02:00:00 CEST 2015, Time: ,Wed Jun 24 02:00:00 CEST 2015, Event: ,Quilmes v Gecr Indalo, Favorite: ,Quilmes, 7753472   size:294.99,Price: ,1.74,Gecr Indalo, 6719074   size:7.61,Price: ,2.18,x
1.119179565, Sport: ,Baseball, Time: ,Wed Jun 24 01:10:00 CEST 2015, Time: ,Wed Jun 24 01:10:00 CEST 2015, Event: ,DET @ CLE, Favorite: ,Cleveland (D Salazar), 7423005   size:8.07,Price: ,1.93,Detroit (D Price), 8753728   size:342.74,Price: ,2.02,x
1.119179597, Sport: ,Baseball, Time: ,Wed Jun 24 02:10:00 CEST 2015, Time: ,Wed Jun 24 02:10:00 CEST 2015, Event: ,CWS @ MIN, Favorite: ,Chi White Sox (J Samardzija), 9439851   size:969.48,Price: ,1.86,Minnesota (M Pelfrey), 7177264   size:475.08,Price: ,1.95,ok
1.119179589, Sport: ,Baseball, Time: ,Wed Jun 24 02:05:00 CEST 2015, Time: ,Wed Jun 24 02:05:00 CEST 2015, Event: ,OAK @ TEX, Favorite: ,Oakland (J Chavez), 8432625   size:3.2,Price: ,1.72,Texas (C Gonzalez), 9558038   size:483.25,Price: ,2.18,ok
1.119179573, Sport: ,Baseball, Time: ,Wed Jun 24 01:10:00 CEST 2015, Time: ,Wed Jun 24 01:10:00 CEST 2015, Event: ,TOR @ TB, Favorite: ,Tampa Bay (C Archer), 6457877   size:537.73,Price: ,1.64,Toronto (R Dickey), 7172150   size:473.63,Price: ,2.36,ok
1.119179581, Sport: ,Baseball, Time: ,Wed Jun 24 02:05:00 CEST 2015, Time: ,Wed Jun 24 02:05:00 CEST 2015, Event: ,LAD @ CHC, Favorite: ,LA Dodgers (Z Greinke), 7179922   size:498.38,Price: ,1.82,Chicago Cubs (J Hammel), 8450037   size:107.95,Price: ,2.06,x
1.119149442, Sport: ,Basketball, Time: ,Wed Jun 24 02:00:00 CEST 2015, Time: ,Wed Jun 24 02:00:00 CEST 2015, Event: ,Los Angeles @ Washington, Favorite: ,Washington, 13105   size:34.18,Price: ,1.12,Los Angeles, 3213264   size:34.1,Price: ,7.4,ok
1.119218518, Sport: ,Tennis, Time: ,Tue Jun 23 20:45:00 CEST 2015, Time: ,Tue Jun 23 20:45:00 CEST 2015, Event: ,Andujar/Marach v Cuevas/Marrero, Favorite: ,Cuevas/Marrero, 8491495   size:14.68,Price: ,1.62,Andujar/Marach, 9219422   size:43.27,Price: ,2.44,ok
1.119233659, Sport: ,Baseball, Time: ,Wed Jun 24 01:05:00 CEST 2015, Time: ,Wed Jun 24 01:05:00 CEST 2015, Event: ,CIN @ PIT, Favorite: ,Pittsburgh (J Locke), 5810057   size:305.71,Price: ,1.72,Cincinnati (J Smith), 9664765   size:512.51,Price: ,2.22,ok
1.119232524, Sport: ,Tennis, Time: ,Tue Jun 23 18:45:00 CEST 2015, Time: ,Tue Jun 23 18:45:00 CEST 2015, Event: ,Gavrilova v Giorgi, Favorite: ,Camila Giorgi, 5619012   size:1724.08,Price: ,1.36,Daria Gavrilova, 5053424   size:91.6,Price: ,3.7,x
1.119211732, Sport: ,Cricket, Time: ,Wed Jun 24 00:00:00 CEST 2015, Time: ,Wed Jun 24 00:00:00 CEST 2015, Event: ,Barbados v Jamaica, Favorite: ,Jamaica, 2312313   size:2126.17,Price: ,1.81,Barbados, 2312315   size:26.89,Price: ,2.16,x
1.119232265, Sport: ,Tennis, Time: ,Tue Jun 23 19:00:00 CEST 2015, Time: ,Tue Jun 23 19:00:00 CEST 2015, Event: ,Sanders v Whoriskey, Favorite: ,Caitlin Whoriskey, 8776880   size:21.97,Price: ,1.73,Storm Sanders, 7594131   size:3.67,Price: ,2.2,x
1.119179524, Sport: ,Baseball, Time: ,Wed Jun 24 01:00:00 CEST 2015, Time: ,Wed Jun 24 01:00:00 CEST 2015, Event: ,STL @ MIA, Favorite: ,St Louis (C Martinez), 7564048   size:354.1,Price: ,1.73,Miami (J Urena), 9521925   size:325.65,Price: ,2.28,ok
1.119179557, Sport: ,Baseball, Time: ,Wed Jun 24 01:10:00 CEST 2015, Time: ,Wed Jun 24 01:10:00 CEST 2015, Event: ,BAL @ BOS, Favorite: ,Boston (J Kelly), 8755664   size:18.25,Price: ,1.94,Baltimore (U Jimenez), 8432626   size:944.22,Price: ,1.95,x
1.119232274, Sport: ,Tennis, Time: ,Tue Jun 23 19:00:00 CEST 2015, Time: ,Tue Jun 23 19:00:00 CEST 2015, Event: ,Neffa De Los Rios v Vale Costa, Favorite: ,Ana Paula Neffa De Los Rios, 9069693   size:3.44,Price: ,1.49,Joana Vale Costa, 7233899   size:3.98,Price: ,2.88,x
