1.119231417, Sport: ,Tennis, Time: ,Tue Jun 23 12:00:00 CEST 2015, Time: ,Tue Jun 23 12:00:00 CEST 2015, Event: ,Sawayanagi v Hogenkamp, Favorite: ,Richel Hogenkamp, 6440521   size:5.57,Price: ,1.44,Riko Sawayanagi, 8839049   size:4.12,Price: ,3.1,ok
1.119231418, Sport: ,Tennis, Time: ,Tue Jun 23 12:00:00 CEST 2015, Time: ,Tue Jun 23 12:00:00 CEST 2015, Event: ,Kudryavtseva v Yang, Favorite: ,Alla Kudryavtseva, 2263696   size:6.21,Price: ,1.29,Zhaoxuan Yang, 8172570   size:6.17,Price: ,3.95,x
1.119226027, Sport: ,Tennis, Time: ,Tue Jun 23 12:00:00 CEST 2015, Time: ,Tue Jun 23 12:00:00 CEST 2015, Event: ,Gonzalez v Fucsovics, Favorite: ,Marton Fucsovics, 4827766   size:32.89,Price: ,1.31,Maximo Gonzalez, 2489416   size:4.66,Price: ,3.85,ok
1.119225991, Sport: ,Tennis, Time: ,Tue Jun 23 12:00:00 CEST 2015, Time: ,Tue Jun 23 12:00:00 CEST 2015, Event: ,Krajicek v Mertens, Favorite: ,Austin Krajicek, 3288367   size:562.47,Price: ,1.33,Yannick Mertens, 4521608   size:4.87,Price: ,3.8,x
1.119226079, Sport: ,Tennis, Time: ,Tue Jun 23 13:00:00 CEST 2015, Time: ,Tue Jun 23 13:00:00 CEST 2015, Event: ,Andreozzi v Harrison, Favorite: ,Ryan Harrison, 2923247   size:16.79,Price: ,1.46,Guido Andreozzi, 6603914   size:5.91,Price: ,3.05,x
1.119223123, Sport: ,Tennis, Time: ,Tue Jun 23 13:30:00 CEST 2015, Time: ,Tue Jun 23 13:30:00 CEST 2015, Event: ,Bouchard v Riske, Favorite: ,Alison Riske, 4566011   size:329.84,Price: ,1.79,Eugenie Bouchard, 5704759   size:85.8,Price: ,2.24,x
1.119226157, Sport: ,Tennis, Time: ,Tue Jun 23 12:00:00 CEST 2015, Time: ,Tue Jun 23 12:00:00 CEST 2015, Event: ,Kudryavtsev v Bourgue, Favorite: ,Mathias Bourgue, 7066925   size:20.98,Price: ,1.88,Alexander Kudryavtsev, 5908538   size:27.43,Price: ,2.02,ok
1.119226124, Sport: ,Tennis, Time: ,Tue Jun 23 12:00:00 CEST 2015, Time: ,Tue Jun 23 12:00:00 CEST 2015, Event: ,Basilashvili v Hanescu, Favorite: ,Victor Hanescu, 2263612   size:6.09,Price: ,1.9,Nikoloz Basilashvili, 8257807   size:2.55,Price: ,1.99,x
1.119228517, Sport: ,Tennis, Time: ,Tue Jun 23 12:00:00 CEST 2015, Time: ,Tue Jun 23 12:00:00 CEST 2015, Event: ,Bedene v Mannarino, Favorite: ,Adrian Mannarino, 3066621   size:84.37,Price: ,1.44,Aljaz Bedene, 5706996   size:3.77,Price: ,3.15,ok
1.119226105, Sport: ,Tennis, Time: ,Tue Jun 23 13:00:00 CEST 2015, Time: ,Tue Jun 23 13:00:00 CEST 2015, Event: ,Cervantes v Devvarman, Favorite: ,Inigo Cervantes, 6297238   size:41.16,Price: ,1.86,Somdev Devvarman, 3261618   size:17.0,Price: ,2.14,ok
1.119225831, Sport: ,Tennis, Time: ,Tue Jun 23 13:00:00 CEST 2015, Time: ,Tue Jun 23 13:00:00 CEST 2015, Event: ,Dellacqua v Pliskova, Favorite: ,Karolina Pliskova, 6199453   size:234.76,Price: ,1.46,Casey Dellacqua, 2256494   size:67.19,Price: ,3.1,ok
1.119226132, Sport: ,Tennis, Time: ,Tue Jun 23 12:00:00 CEST 2015, Time: ,Tue Jun 23 12:00:00 CEST 2015, Event: ,Mertl v Hernandez-Fernandez, Favorite: ,Jan Mertl, 3034493   size:5.91,Price: ,1.52,Jose Hernandez-Fernandez, 9646481   size:255.69,Price: ,2.78,ok
