1.119294393, Sport: ,Tennis, Time: ,Sat Jun 27 13:30:00 CEST 2015, Time: ,Sat Jun 27 13:30:00 CEST 2015, Event: ,Veger v Fava, Favorite: ,Filip Veger, 7032182   size:18.33,Price: ,1.07,Andrea Fava, 8641560   size:14.45,Price: ,5.7,ok
1.119294350, Sport: ,Tennis, Time: ,Sat Jun 27 17:00:00 CEST 2015, Time: ,Sat Jun 27 17:00:00 CEST 2015, Event: ,Ma Miran v Gonzales, Favorite: ,Ruben Gonzales, 8265126   size:94.62,Price: ,1.02,ok
1.119294330, Sport: ,Tennis, Time: ,Sat Jun 27 15:15:00 CEST 2015, Time: ,Sat Jun 27 15:15:00 CEST 2015, Event: ,Jebavy v Folie, Favorite: ,Alexandre Folie, 8520900   size:3.8,Price: ,1.43,Roman Jebavy, 7797781   size:2.57,Price: ,2.66,x
1.119213672, Sport: ,Cricket, Time: ,Sat Jun 27 15:30:00 CEST 2015, Time: ,Sat Jun 27 15:30:00 CEST 2015, Event: ,Nottinghamshire v Northamptonshire, Favorite: ,Nottinghamshire, 2780   size:208.59,Price: ,1.57,Northamptonshire, 475559   size:7.63,Price: ,2.46,ok
1.119293910, Sport: ,Tennis, Time: ,Sat Jun 27 14:00:00 CEST 2015, Time: ,Sat Jun 27 14:00:00 CEST 2015, Event: ,Dutra Silva v Cecchinato, Favorite: ,Marco Cecchinato, 6374165   size:2.82,Price: ,1.43,Rogerio Dutra Silva, 2301068   size:20.78,Price: ,3.15,x
1.119294405, Sport: ,Tennis, Time: ,Sat Jun 27 15:15:00 CEST 2015, Time: ,Sat Jun 27 15:15:00 CEST 2015, Event: ,Cheong- Kim v Bejtulahi, Favorite: ,Cheong-Eui Kim, 8505207   size:3.5,Price: ,1.44,Denis Bejtulahi, 8520667   size:4.41,Price: ,2.72,x
1.119294469, Sport: ,Tennis, Time: ,Sat Jun 27 15:15:00 CEST 2015, Time: ,Sat Jun 27 15:15:00 CEST 2015, Event: ,Diarra v Ledovskikh, Favorite: ,Mikhail Ledovskikh, 2568599   size:4.08,Price: ,1.53,Gibril Diarra, 8505872   size:2.57,Price: ,2.42,ok
1.119294465, Sport: ,Tennis, Time: ,Sat Jun 27 17:00:00 CEST 2015, Time: ,Sat Jun 27 17:00:00 CEST 2015, Event: ,F Gil v Garanganga, Favorite: ,Frederico Gil, 2387270   size:2.95,Price: ,1.71,Takanyi Garanganga, 7048673   size:2.53,Price: ,1.99,ok
1.119294323, Sport: ,Tennis, Time: ,Sat Jun 27 15:30:00 CEST 2015, Time: ,Sat Jun 27 15:30:00 CEST 2015, Event: ,Verdasco v J Sock, Favorite: ,Jack Sock, 4596957   size:3.29,Price: ,1.86,ok
1.119294389, Sport: ,Tennis, Time: ,Sat Jun 27 17:00:00 CEST 2015, Time: ,Sat Jun 27 17:00:00 CEST 2015, Event: ,Elgin v Schmid, Favorite: ,Lorenzo Schmid, 8639175   size:94.62,Price: ,1.02,x
1.119294482, Sport: ,Basketball, Time: ,Sat Jun 27 16:00:00 CEST 2015, Time: ,Sat Jun 27 16:00:00 CEST 2015, Event: ,Lithuania (W) v Montenegro (W), Favorite: ,Montenegro (W), 6427234   size:5.41,Price: ,1.92,Lithuania (W), 6427230   size:2.57,Price: ,1.94,ok
