1.119201446, Sport: ,Baseball, Time: ,Sat Jun 27 22:05:00 CEST 2015, Time: ,Sat Jun 27 22:05:00 CEST 2015, Event: ,KC @ OAK, Favorite: ,Oakland (S Kazmir), 8431596   size:280.45,Price: ,1.72,Kansas City (C Young), 9448847   size:255.53,Price: ,2.32,x
1.119201462, Sport: ,Baseball, Time: ,Sat Jun 27 22:05:00 CEST 2015, Time: ,Sat Jun 27 22:05:00 CEST 2015, Event: ,COL @ SF, Favorite: ,San Francisco (T Lincecum), 2403237   size:281.79,Price: ,1.79,Colorado (C Rusin), 9565222   size:276.74,Price: ,2.18,ok
1.119227755, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 02:00:00 CEST 2015, Time: ,Sun Jun 28 02:00:00 CEST 2015, Event: ,Oliveira v Merritt, Favorite: ,Alex Oliveira, 9326408   size:997.91,Price: ,1.24,Joe Merritt, 9660112   size:44.31,Price: ,4.1,ok
1.119227673, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 04:00:00 CEST 2015, Time: ,Sun Jun 28 04:00:00 CEST 2015, Event: ,Machida v Romero, Favorite: ,Lyoto Machida, 3762731   size:1685.67,Price: ,1.61,Yoel Romero, 7203232   size:7.27,Price: ,2.6,x
1.119083942, Sport: ,Cricket, Time: ,Sun Jun 28 05:30:00 CEST 2015, Time: ,Sun Jun 28 05:30:00 CEST 2015, Event: ,India (W) v New Zealand (W) (1st ODI), Favorite: ,New Zealand (W), 900885   size:2.31,Price: ,1.34,India (W), 1110140   size:2.57,Price: ,2.18,x
1.119227694, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 04:00:00 CEST 2015, Time: ,Sun Jun 28 04:00:00 CEST 2015, Event: ,Santos v Bosse, Favorite: ,Thiago Santos, 7535680   size:1018.15,Price: ,1.47,Steve Bosse, 9410740   size:2.36,Price: ,2.56,ok
1.119212100, Sport: ,Cricket, Time: ,Sat Jun 27 22:00:00 CEST 2015, Time: ,Sat Jun 27 22:00:00 CEST 2015, Event: ,Barbados v St Kitts and Nevis, Favorite: ,Barbados, 2312315   size:229.63,Price: ,1.55,St Kitts and Nevis, 2312318   size:39.92,Price: ,2.72,x
1.119295417, Sport: ,Baseball, Time: ,Sun Jun 28 01:15:00 CEST 2015, Time: ,Sun Jun 28 01:15:00 CEST 2015, Event: ,CHC @ STL, Favorite: ,St Louis (M Wacha), 7309496   size:296.94,Price: ,1.61,Chicago Cubs (D Roach), 9691284   size:121.72,Price: ,2.54,ok
1.119201518, Sport: ,Baseball, Time: ,Sun Jun 28 01:15:00 CEST 2015, Time: ,Sun Jun 28 01:15:00 CEST 2015, Event: ,SEA @ LAA, Favorite: ,LA Angels (G Richards), 5741327   size:310.08,Price: ,1.7,Seattle (J A Happ), 9391060   size:110.39,Price: ,2.36,ok
1.119227849, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 02:00:00 CEST 2015, Time: ,Sun Jun 28 02:00:00 CEST 2015, Event: ,Montgomery v Sims, Favorite: ,Steve Montgomery, 9660126   size:159.09,Price: ,1.84,Tony Sims, 9660127   size:3.13,Price: ,1.99,x
1.119294485, Sport: ,Basketball, Time: ,Sat Jun 27 20:00:00 CEST 2015, Time: ,Sat Jun 27 20:00:00 CEST 2015, Event: ,Turkey (W) v Russia (W), Favorite: ,Russia (W), 7306785   size:383.75,Price: ,1.8,Turkey (W), 6469561   size:531.13,Price: ,2.16,x
1.119201438, Sport: ,Baseball, Time: ,Sat Jun 27 21:05:00 CEST 2015, Time: ,Sat Jun 27 21:05:00 CEST 2015, Event: ,WSH @ PHI, Favorite: ,Washington (G Gonzalez), 6292847   size:318.26,Price: ,1.71,Philadelphia (A Morgan), 9653348   size:23.28,Price: ,2.38,x
1.119129631, Sport: ,Boxing, Time: ,Sun Jun 28 04:00:00 CEST 2015, Time: ,Sun Jun 28 04:00:00 CEST 2015, Event: ,Bradley v Vargas, Favorite: ,Timothy Bradley, 2868379   size:22.22,Price: ,1.32,Jessie Vargas, 8455187   size:7.07,Price: ,4.8,Draw, 31162   size:25.25,Price: ,24.0,ok
1.119201454, Sport: ,Baseball, Time: ,Sat Jun 27 22:05:00 CEST 2015, Time: ,Sat Jun 27 22:05:00 CEST 2015, Event: ,ATL @ PIT, Favorite: ,Pittsburgh (C Morton), 3966279   size:793.54,Price: ,1.62,Atlanta (J Teheran), 5530617   size:332.28,Price: ,2.48,ok
1.119201510, Sport: ,Baseball, Time: ,Sun Jun 28 01:15:00 CEST 2015, Time: ,Sun Jun 28 01:15:00 CEST 2015, Event: ,CLE @ BAL, Favorite: ,Baltimore (C Tillman), 4079994   size:282.8,Price: ,1.82,Cleveland (C Anderson), 9653347   size:70.04,Price: ,2.18,x
1.119227785, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 02:00:00 CEST 2015, Time: ,Sun Jun 28 02:00:00 CEST 2015, Event: ,Silva v Gonzalez, Favorite: ,Leandro Silva, 7313538   size:3.26,Price: ,1.55,Lewis Gonzalez, 9660117   size:93.79,Price: ,2.44,ok
1.119201534, Sport: ,Baseball, Time: ,Sun Jun 28 04:10:00 CEST 2015, Time: ,Sun Jun 28 04:10:00 CEST 2015, Event: ,ARI @ SD, Favorite: ,San Diego (A Cashner), 6436041   size:5.05,Price: ,1.78,Arizona (J Hellickson), 9385116   size:781.53,Price: ,2.14,ok
1.119201494, Sport: ,Baseball, Time: ,Sat Jun 27 22:10:00 CEST 2015, Time: ,Sat Jun 27 22:10:00 CEST 2015, Event: ,BOS @ TB, Favorite: ,Tampa Bay (M Andriese), 9389910   size:282.8,Price: ,1.9,Boston (W Miley), 9389894   size:311.09,Price: ,2.04,ok
1.119201430, Sport: ,Baseball, Time: ,Sat Jun 27 20:10:00 CEST 2015, Time: ,Sat Jun 27 20:10:00 CEST 2015, Event: ,MIN @ MIL, Favorite: ,Milwaukee (M Garza), 8432623   size:259.57,Price: ,1.76,Minnesota (K Gibson), 7395517   size:27.32,Price: ,2.26,x
1.119227723, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 04:00:00 CEST 2015, Time: ,Sun Jun 28 04:00:00 CEST 2015, Event: ,Dias v Makashvili, Favorite: ,Hacran Dias, 6453421   size:5.05,Price: ,1.54,Levan Makashvili, 9222035   size:6.38,Price: ,2.58,ok
1.119149707, Sport: ,Basketball, Time: ,Sun Jun 28 02:00:00 CEST 2015, Time: ,Sun Jun 28 02:00:00 CEST 2015, Event: ,Phoenix @ Minnesota, Favorite: ,Minnesota, 13118   size:147.65,Price: ,1.32,Phoenix, 13128   size:29.67,Price: ,3.6,ok
1.119201470, Sport: ,Baseball, Time: ,Sat Jun 27 22:10:00 CEST 2015, Time: ,Sat Jun 27 22:10:00 CEST 2015, Event: ,NYY @ HOU, Favorite: ,New York Yankees (M Tanaka), 8571050   size:418.62,Price: ,1.87,Houston (B Oberholtzer), 7544086   size:259.85,Price: ,2.08,ok
1.119233808, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 02:00:00 CEST 2015, Time: ,Sun Jun 28 02:00:00 CEST 2015, Event: ,Martinez v Kakai, Favorite: ,Danny Martinez, 8242900   size:2.89,Price: ,1.74,Sirwan Kakai, 9664980   size:5.79,Price: ,2.04,x
1.119227683, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 04:00:00 CEST 2015, Time: ,Sun Jun 28 04:00:00 CEST 2015, Event: ,Carlos Junior v Gordon, Favorite: ,Antonio Carlos Junior, 8572553   size:23.6,Price: ,1.54,Eddie Gordon, 8682417   size:2.0,Price: ,2.44,ok
1.119201502, Sport: ,Baseball, Time: ,Sat Jun 27 22:08:00 CEST 2015, Time: ,Sat Jun 27 22:08:00 CEST 2015, Event: ,CHW @ DET, Favorite: ,Detroit (K Ryan), 8812015   size:1040.01,Price: ,1.64,Chicago White Sox (J Danks), 2942998   size:257.65,Price: ,2.4,x
1.119149710, Sport: ,Basketball, Time: ,Sun Jun 28 02:00:00 CEST 2015, Time: ,Sun Jun 28 02:00:00 CEST 2015, Event: ,Seattle @ San Antonio, Favorite: ,San Antonio, 13121   size:2.87,Price: ,1.5,Seattle, 13130   size:23.71,Price: ,2.88,ok
1.119201486, Sport: ,Baseball, Time: ,Sat Jun 27 22:10:00 CEST 2015, Time: ,Sat Jun 27 22:10:00 CEST 2015, Event: ,LAD @ MIA, Favorite: ,LA Dodgers (C Kershaw), 3068257   size:342.2,Price: ,1.37,Miami (T Koehler), 6720895   size:342.4,Price: ,3.5,x
1.119227678, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 04:00:00 CEST 2015, Time: ,Sun Jun 28 04:00:00 CEST 2015, Event: ,Ponzinibbio v Larkin, Favorite: ,Lorenz Larkin, 5822657   size:5.05,Price: ,1.54,Santiago Ponzinibbio, 7886164   size:209.33,Price: ,2.66,ok
