1.119201543, Sport: ,Baseball, Time: ,Sun Jun 28 19:07:00 CEST 2015, Time: ,Sun Jun 28 19:07:00 CEST 2015, Event: ,TEX @ TOR, Favorite: ,Toronto (D Hutchison), 6325405   size:826.19,Price: ,1.58,Texas (C Gonzalez), 9558038   size:106.05,Price: ,2.64,ok
1.119201576, Sport: ,Baseball, Time: ,Sun Jun 28 19:10:00 CEST 2015, Time: ,Sun Jun 28 19:10:00 CEST 2015, Event: ,BOS @ TB, Favorite: ,Tampa Bay (C Archer), 6457877   size:323.13,Price: ,1.58,Boston (J Masterson), 2996232   size:314.61,Price: ,2.64,x
1.119149826, Sport: ,Basketball, Time: ,Mon Jun 29 01:00:00 CEST 2015, Time: ,Mon Jun 29 01:00:00 CEST 2015, Event: ,Seattle @ Tulsa, Favorite: ,Tulsa, 711056   size:2.57,Price: ,1.13,Seattle, 13130   size:2.7,Price: ,6.8,ok
1.119201632, Sport: ,Baseball, Time: ,Sun Jun 28 22:05:00 CEST 2015, Time: ,Sun Jun 28 22:05:00 CEST 2015, Event: ,KC @ OAK, Favorite: ,Oakland (J Chavez), 8432625   size:103.02,Price: ,1.75,Kansas City (J Guthrie), 6582227   size:324.17,Price: ,2.28,x
1.119201600, Sport: ,Baseball, Time: ,Sun Jun 28 19:35:00 CEST 2015, Time: ,Sun Jun 28 19:35:00 CEST 2015, Event: ,ATL @ PIT, Favorite: ,Pittsburgh (J Locke), 5810057   size:6.08,Price: ,1.72,Atlanta (A Wood), 7368437   size:313.93,Price: ,2.34,x
1.119201551, Sport: ,Baseball, Time: ,Sun Jun 28 19:08:00 CEST 2015, Time: ,Sun Jun 28 19:08:00 CEST 2015, Event: ,CHW @ DET, Favorite: ,Detroit (D Price), 8753728   size:513.73,Price: ,1.63,Chi White Sox (J Samardzija), 9439851   size:316.14,Price: ,2.5,ok
1.119201584, Sport: ,Baseball, Time: ,Sun Jun 28 19:35:00 CEST 2015, Time: ,Sun Jun 28 19:35:00 CEST 2015, Event: ,CLE @ BAL (Game 1), Favorite: ,Baltimore (U Jimenez), 8432626   size:2.82,Price: ,1.73,Cleveland (T Bauer), 7184184   size:795.49,Price: ,2.12,ok
1.119149829, Sport: ,Basketball, Time: ,Sun Jun 28 22:00:00 CEST 2015, Time: ,Sun Jun 28 22:00:00 CEST 2015, Event: ,Chicago @ Washington, Favorite: ,Washington, 13105   size:437.31,Price: ,1.94,Chicago, 13117   size:49.55,Price: ,1.96,ok
1.119294491, Sport: ,Basketball, Time: ,Sun Jun 28 19:00:00 CEST 2015, Time: ,Sun Jun 28 19:00:00 CEST 2015, Event: ,Serbia (W) v France (W), Favorite: ,France (W), 6469563   size:5.05,Price: ,1.41,Serbia (W), 6427235   size:15.79,Price: ,3.35,x
1.119201640, Sport: ,Baseball, Time: ,Sun Jun 28 22:05:00 CEST 2015, Time: ,Sun Jun 28 22:05:00 CEST 2015, Event: ,COL @ SF, Favorite: ,San Francisco (M Bumgarner), 4171027   size:943.12,Price: ,1.45,Colorado (K Kendrick), 9378789   size:1879.88,Price: ,3.05,ok
1.119300066, Sport: ,Baseball, Time: ,Sun Jun 28 19:05:00 CEST 2015, Time: ,Sun Jun 28 19:05:00 CEST 2015, Event: ,WSH @ PHI (Game 1), Favorite: ,Washington (S Strasburg), 4768649   size:549.19,Price: ,1.6,Philadelphia (K Correia), 9594872   size:305.33,Price: ,2.56,ok
1.119160583, Sport: ,Basketball, Time: ,Sun Jun 28 19:00:00 CEST 2015, Time: ,Sun Jun 28 19:00:00 CEST 2015, Event: ,Egypt U19 v Iran U19, Favorite: ,Iran U19, 7375440   size:2.57,Price: ,1.29,Egypt U19, 9607909   size:2.57,Price: ,3.6,x
1.119149761, Sport: ,Basketball, Time: ,Sun Jun 28 21:00:00 CEST 2015, Time: ,Sun Jun 28 21:00:00 CEST 2015, Event: ,Los Angeles @ New York, Favorite: ,New York, 13106   size:6.62,Price: ,1.54,Los Angeles, 3213264   size:5.0,Price: ,2.56,ok
1.119201568, Sport: ,Baseball, Time: ,Sun Jun 28 19:10:00 CEST 2015, Time: ,Sun Jun 28 19:10:00 CEST 2015, Event: ,LAD @ MIA, Favorite: ,LA Dodgers (Z Greinke), 7179922   size:453.9,Price: ,1.48,Miami (J Urena), 9521925   size:339.05,Price: ,3.0,ok
1.119212195, Sport: ,Cricket, Time: ,Sun Jun 28 22:00:00 CEST 2015, Time: ,Sun Jun 28 22:00:00 CEST 2015, Event: ,St Lucia v Jamaica, Favorite: ,Jamaica, 2312313   size:65.45,Price: ,1.87,St Lucia, 2312314   size:5.05,Price: ,2.1,ok
1.119201656, Sport: ,Baseball, Time: ,Mon Jun 29 02:00:00 CEST 2015, Time: ,Mon Jun 29 02:00:00 CEST 2015, Event: ,CHC @ STL, Favorite: ,St Louis (C Martinez), 7564048   size:108.07,Price: ,1.8,Chicago Cubs (J Hammel), 8450037   size:129.23,Price: ,2.2,ok
1.119160588, Sport: ,Basketball, Time: ,Sun Jun 28 19:30:00 CEST 2015, Time: ,Sun Jun 28 19:30:00 CEST 2015, Event: ,Greece U19 v Dominican Republic U19, Favorite: ,Greece U19, 9608169   size:2.57,Price: ,1.07,Dominican Republic U19, 9608160   size:5.79,Price: ,1.68,ok
1.119201624, Sport: ,Baseball, Time: ,Sun Jun 28 21:35:00 CEST 2015, Time: ,Sun Jun 28 21:35:00 CEST 2015, Event: ,SEA @ LAA, Favorite: ,Seattle (F Hernandez), 1216734   size:535.04,Price: ,1.9,LA Angels (H Santiago), 8432634   size:508.08,Price: ,2.02,x
1.119201559, Sport: ,Baseball, Time: ,Sun Jun 28 20:30:00 CEST 2015, Time: ,Sun Jun 28 20:30:00 CEST 2015, Event: ,CIN @ NYM, Favorite: ,NY Mets (S Matz), 9693169   size:557.65,Price: ,1.72,Cincinnati (J Smith), 9664765   size:337.35,Price: ,2.3,ok
1.119201648, Sport: ,Baseball, Time: ,Sun Jun 28 22:10:00 CEST 2015, Time: ,Sun Jun 28 22:10:00 CEST 2015, Event: ,ARI @ SD, Favorite: ,San Diego (O Despaigne), 8643885   size:367.26,Price: ,1.9,Arizona (C Anderson), 8522020   size:277.8,Price: ,2.04,x
1.119201616, Sport: ,Baseball, Time: ,Sun Jun 28 20:10:00 CEST 2015, Time: ,Sun Jun 28 20:10:00 CEST 2015, Event: ,NYY @ HOU, Favorite: ,Houston (C McHugh), 8480882   size:274.72,Price: ,1.95,NY Yankees (M Pineda), 8442736   size:290.16,Price: ,1.98,ok
