1.119279516, Sport: ,Tennis, Time: ,Mon Jun 29 16:15:00 CEST 2015, Time: ,Mon Jun 29 16:15:00 CEST 2015, Event: ,Kovinic v Stosur, Favorite: ,Samantha Stosur, 2248502   size:702.22,Price: ,1.16,Danka Kovinic, 7414059   size:4.92,Price: ,6.8,ok
1.119276522, Sport: ,Tennis, Time: ,Mon Jun 29 14:00:00 CEST 2015, Time: ,Mon Jun 29 14:00:00 CEST 2015, Event: ,Soeda v Isner, Favorite: ,John Isner, 2474763   size:28921.1,Price: ,1.08,Go Soeda, 2249835   size:16.34,Price: ,12.5,ok
1.119279319, Sport: ,Tennis, Time: ,Mon Jun 29 18:30:00 CEST 2015, Time: ,Mon Jun 29 18:30:00 CEST 2015, Event: ,Watson v Garcia, Favorite: ,Heather Watson, 4174997   size:62.24,Price: ,1.84,Caroline Garcia, 5248977   size:32.45,Price: ,2.12,ok
1.119301291, Sport: ,Basketball, Time: ,Mon Jun 29 13:00:00 CEST 2015, Time: ,Mon Jun 29 13:00:00 CEST 2015, Event: ,San Miguel Beermen v Meralco Bolts, Favorite: ,San Miguel Beermen, 3803247   size:2.6,Price: ,1.34,Meralco Bolts, 5023541   size:2.6,Price: ,3.65,ok
1.119280028, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Pliskova v Falconi, Favorite: ,Karolina Pliskova, 6199453   size:55.23,Price: ,1.19,Irina Falconi, 4946384   size:4.49,Price: ,6.2,ok
1.119281599, Sport: ,Tennis, Time: ,Mon Jun 29 17:45:00 CEST 2015, Time: ,Mon Jun 29 17:45:00 CEST 2015, Event: ,Hsieh v Kanepi, Favorite: ,Su-Wei Hsieh, 8244521   size:70.05,Price: ,1.71,Kaia Kanepi, 2250864   size:27.31,Price: ,2.36,ok
1.119279082, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Groth/Stakhovsky v Pospisil/Sock, Favorite: ,Pospisil/Sock, 8638693   size:4.13,Price: ,1.23,Groth/Stakhovsky, 9683220   size:2.6,Price: ,3.45,ok
1.119273929, Sport: ,Tennis, Time: ,Mon Jun 29 15:30:00 CEST 2015, Time: ,Mon Jun 29 15:30:00 CEST 2015, Event: ,Bolelli v Nishikori, Favorite: ,Kei Nishikori, 2483001   size:93.96,Price: ,1.28,Simone Bolelli, 2309797   size:5.11,Price: ,4.5,ok
1.119273849, Sport: ,Tennis, Time: ,Mon Jun 29 17:45:00 CEST 2015, Time: ,Mon Jun 29 17:45:00 CEST 2015, Event: ,Ilhan v Janowicz, Favorite: ,Jerzy Janowicz, 3103303   size:3085.95,Price: ,1.12,Marsel Ilhan, 4147957   size:15.33,Price: ,9.0,x
1.119274190, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Zeballos v Goffin, Favorite: ,David Goffin, 5224084   size:40.31,Price: ,1.16,Horacio Zeballos, 3506037   size:60.16,Price: ,6.8,ok
1.119295915, Sport: ,Tennis, Time: ,Mon Jun 29 13:30:00 CEST 2015, Time: ,Mon Jun 29 13:30:00 CEST 2015, Event: ,Masur v Ignatik, Favorite: ,Uladzimir Ignatik, 3259323   size:3.9,Price: ,1.31,Daniel Masur, 8659524   size:2.6,Price: ,3.65,ok
1.119275365, Sport: ,Tennis, Time: ,Mon Jun 29 14:45:00 CEST 2015, Time: ,Mon Jun 29 14:45:00 CEST 2015, Event: ,Nieminen v L Hewitt, Favorite: ,Lleyton Hewitt, 2249395   size:129.0,Price: ,1.57,Jarkko Nieminen, 2257304   size:5.11,Price: ,2.54,x
1.119301162, Sport: ,Tennis, Time: ,Mon Jun 29 12:00:00 CEST 2015, Time: ,Mon Jun 29 12:00:00 CEST 2015, Event: ,N Barrientos v Giannessi, Favorite: ,Alessandro Giannessi, 5829494   size:5.13,Price: ,1.47,Nicolas Barrientos, 7083200   size:2.6,Price: ,2.3,ok
1.119275626, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Kyrgios v Schwartzman, Favorite: ,Nick Kyrgios, 7299658   size:1559.65,Price: ,1.07,Diego Schwartzman, 8736474   size:40.64,Price: ,15.0,ok
1.119281224, Sport: ,Tennis, Time: ,Mon Jun 29 12:30:00 CEST 2015, Time: ,Mon Jun 29 12:30:00 CEST 2015, Event: ,Flipkens v Beck, Favorite: ,Kirsten Flipkens, 2264530   size:46.37,Price: ,1.68,Annika Beck, 4174996   size:29.73,Price: ,2.42,ok
1.119303862, Sport: ,Tennis, Time: ,Mon Jun 29 13:45:00 CEST 2015, Time: ,Mon Jun 29 13:45:00 CEST 2015, Event: ,Krstin v Ledovskikh, Favorite: ,Pedja Krstin, 8257862   size:2.92,Price: ,1.02,Mikhail Ledovskikh, 2568599   size:6.47,Price: ,1.47,x
1.119281223, Sport: ,Tennis, Time: ,Mon Jun 29 17:00:00 CEST 2015, Time: ,Mon Jun 29 17:00:00 CEST 2015, Event: ,Riske v Safarova, Favorite: ,Lucie Safarova, 2256462   size:441.31,Price: ,1.4,Alison Riske, 4566011   size:5.11,Price: ,3.3,ok
1.119281225, Sport: ,Tennis, Time: ,Mon Jun 29 17:00:00 CEST 2015, Time: ,Mon Jun 29 17:00:00 CEST 2015, Event: ,Erakovic v Putintseva, Favorite: ,Marina Erakovic, 2250859   size:10.23,Price: ,1.29,Yulia Putintseva, 4259580   size:116.86,Price: ,4.0,x
1.119303504, Sport: ,Tennis, Time: ,Mon Jun 29 12:00:00 CEST 2015, Time: ,Mon Jun 29 12:00:00 CEST 2015, Event: ,Dellien v Balleret, Favorite: ,Benjamin Balleret, 2377738   size:2.6,Price: ,1.85,x
1.119300511, Sport: ,Tennis, Time: ,Mon Jun 29 12:00:00 CEST 2015, Time: ,Mon Jun 29 12:00:00 CEST 2015, Event: ,De Greef v Michon, Favorite: ,Arthur De Greef, 7287672   size:2.6,Price: ,1.8,Axel Michon, 4994683   size:2.6,Price: ,1.89,ok
1.119295901, Sport: ,Tennis, Time: ,Mon Jun 29 18:00:00 CEST 2015, Time: ,Mon Jun 29 18:00:00 CEST 2015, Event: ,Olivo v Brands, Favorite: ,Daniel Brands, 2395076   size:2.6,Price: ,1.83,Renzo Olivo, 4822931   size:5.1,Price: ,2.04,ok
1.119279992, Sport: ,Tennis, Time: ,Mon Jun 29 18:30:00 CEST 2015, Time: ,Mon Jun 29 18:30:00 CEST 2015, Event: ,Gavrilova v Begu, Favorite: ,Daria Gavrilova, 5053424   size:94.25,Price: ,1.54,Irina-Camelia Begu, 7642289   size:4.49,Price: ,2.74,x
