1.119150252, Sport: ,Basketball, Time: ,Wed Jul 01 04:00:00 CEST 2015, Time: ,Wed Jul 01 04:00:00 CEST 2015, Event: ,Tulsa @ Seattle, Favorite: ,Tulsa, 711056   size:8.37,Price: ,1.7,Seattle, 13130   size:27.97,Price: ,2.26,x
1.119201818, Sport: ,Baseball, Time: ,Wed Jul 01 02:10:00 CEST 2015, Time: ,Wed Jul 01 02:10:00 CEST 2015, Event: ,CHW @ STL, Favorite: ,St Louis (L Lynn), 5588102   size:274.79,Price: ,1.92,Chicago White Sox (C Sale), 6296975   size:300.12,Price: ,2.02,x
1.119201810, Sport: ,Baseball, Time: ,Wed Jul 01 02:10:00 CEST 2015, Time: ,Wed Jul 01 02:10:00 CEST 2015, Event: ,KC @ HOU, Favorite: ,Houston (D Keuchel), 6453422   size:304.17,Price: ,1.7,Kansas City (D Duffy), 5554272   size:5.05,Price: ,2.36,ok
1.119201778, Sport: ,Baseball, Time: ,Wed Jul 01 01:10:00 CEST 2015, Time: ,Wed Jul 01 01:10:00 CEST 2015, Event: ,MIN @ CIN, Favorite: ,Cincinnati (A DeSclafani), 9385641   size:281.93,Price: ,1.84,Minnesota (P Hughes), 8436206   size:95.29,Price: ,2.12,x
1.119201834, Sport: ,Baseball, Time: ,Wed Jul 01 04:05:00 CEST 2015, Time: ,Wed Jul 01 04:05:00 CEST 2015, Event: ,NYY @ LAA, Favorite: ,LA Angels (A Heaney), 9671427   size:337.51,Price: ,1.8,NY Yankees (I Nova), 5445498   size:95.99,Price: ,2.2,ok
1.119201850, Sport: ,Baseball, Time: ,Wed Jul 01 04:10:00 CEST 2015, Time: ,Wed Jul 01 04:10:00 CEST 2015, Event: ,SEA @ SD, Favorite: ,San Diego (I Kennedy), 7551799   size:2.39,Price: ,1.86,Seattle (M Montgomery), 9547472   size:109.55,Price: ,2.12,x
1.119201746, Sport: ,Baseball, Time: ,Wed Jul 01 01:05:00 CEST 2015, Time: ,Wed Jul 01 01:05:00 CEST 2015, Event: ,MIL @ PHI, Favorite: ,Philadelphia (C Hamels), 1474613   size:4.45,Price: ,1.86,Milwaukee (T Jungmann), 9573008   size:293.23,Price: ,2.1,x
1.119201762, Sport: ,Baseball, Time: ,Wed Jul 01 01:08:00 CEST 2015, Time: ,Wed Jul 01 01:08:00 CEST 2015, Event: ,PIT @ DET, Favorite: ,Pittsburgh (G Cole), 7340947   size:483.53,Price: ,1.91,Detroit (J Verlander), 1189590   size:2.26,Price: ,2.06,ok
1.119201786, Sport: ,Baseball, Time: ,Wed Jul 01 01:10:00 CEST 2015, Time: ,Wed Jul 01 01:10:00 CEST 2015, Event: ,CHC @ NYM, Favorite: ,Chicago Cubs (K Hendricks), 8688427   size:96.0,Price: ,1.86,NY Mets (J Niese), 3340416   size:98.02,Price: ,2.1,ok
1.119201842, Sport: ,Baseball, Time: ,Wed Jul 01 04:05:00 CEST 2015, Time: ,Wed Jul 01 04:05:00 CEST 2015, Event: ,COL @ OAK, Favorite: ,Oakland (S Gray), 7569852   size:455.75,Price: ,1.51,Colorado (J De La Rosa), 3017245   size:110.14,Price: ,2.84,x
1.119266041, Sport: ,Cricket, Time: ,Wed Jul 01 00:00:00 CEST 2015, Time: ,Wed Jul 01 00:00:00 CEST 2015, Event: ,Jamaica v St Kitts and Nevis, Favorite: ,Jamaica, 2312313   size:2302.24,Price: ,1.44,St Kitts and Nevis, 2312318   size:2.84,Price: ,3.25,ok
