1.119276445, Sport: ,Tennis, Time: ,Tue Jun 30 16:15:00 CEST 2015, Time: ,Tue Jun 30 16:15:00 CEST 2015, Event: ,R Haase v Falla, Favorite: ,Alejandro Falla, 2284300   size:41.82,Price: ,1.78,Robin Haase, 2309796   size:113.88,Price: ,2.22,x
1.119282101, Sport: ,Tennis, Time: ,Tue Jun 30 12:30:00 CEST 2015, Time: ,Tue Jun 30 12:30:00 CEST 2015, Event: ,Paszek v Dellacqua, Favorite: ,Casey Dellacqua, 2256494   size:24.83,Price: ,1.66,Tamira Paszek, 2263715   size:213.1,Price: ,2.38,ok
1.119295913, Sport: ,Tennis, Time: ,Tue Jun 30 11:00:00 CEST 2015, Time: ,Tue Jun 30 11:00:00 CEST 2015, Event: ,Choinski v Cervantes, Favorite: ,Inigo Cervantes, 6297238   size:5.77,Price: ,1.11,Jan Choinski, 8679715   size:4.12,Price: ,7.8,ok
1.119318631, Sport: ,Tennis, Time: ,Tue Jun 30 15:00:00 CEST 2015, Time: ,Tue Jun 30 15:00:00 CEST 2015, Event: ,Albie v Y Morderger, Favorite: ,Audrey Albie, 8948984   size:22.19,Price: ,1.04,Yana Morderger, 8476167   size:14.8,Price: ,1.06,x
1.119277884, Sport: ,Tennis, Time: ,Tue Jun 30 12:30:00 CEST 2015, Time: ,Tue Jun 30 12:30:00 CEST 2015, Event: ,Jaziri v Duckworth, Favorite: ,Malek Jaziri, 5776215   size:3.77,Price: ,1.82,James Duckworth, 6064287   size:25.08,Price: ,2.12,x
1.119277943, Sport: ,Tennis, Time: ,Tue Jun 30 16:15:00 CEST 2015, Time: ,Tue Jun 30 16:15:00 CEST 2015, Event: ,Fel Lopez v Darcis, Favorite: ,Feliciano Lopez, 2265109   size:2062.33,Price: ,1.15,Steve Darcis, 2481589   size:18.74,Price: ,7.2,ok
1.119280239, Sport: ,Tennis, Time: ,Tue Jun 30 16:15:00 CEST 2015, Time: ,Tue Jun 30 16:15:00 CEST 2015, Event: ,Cepelova v Halep, Favorite: ,Simona Halep, 4625563   size:37982.98,Price: ,1.07,Jana Cepelova, 5303559   size:7.32,Price: ,15.0,x
1.119295909, Sport: ,Tennis, Time: ,Tue Jun 30 14:30:00 CEST 2015, Time: ,Tue Jun 30 14:30:00 CEST 2015, Event: ,Khachanov v Riba, Favorite: ,Pere Riba, 2489421   size:17.42,Price: ,1.66,Karen Khachanov, 7659623   size:7.09,Price: ,2.3,x
1.119280032, Sport: ,Tennis, Time: ,Tue Jun 30 15:00:00 CEST 2015, Time: ,Tue Jun 30 15:00:00 CEST 2015, Event: ,Radwanska v Hradecka, Favorite: ,Agnieszka Radwanska, 2263577   size:1261.43,Price: ,1.14,Lucie Hradecka, 2387876   size:40.78,Price: ,7.0,ok
1.119295949, Sport: ,Tennis, Time: ,Tue Jun 30 15:00:00 CEST 2015, Time: ,Tue Jun 30 15:00:00 CEST 2015, Event: ,Dutra Silva v Kovalik, Favorite: ,Jozef Kovalik, 7287668   size:5.77,Price: ,1.78,Rogerio Dutra Silva, 2301068   size:5.03,Price: ,2.14,x
1.119295929, Sport: ,Tennis, Time: ,Tue Jun 30 15:00:00 CEST 2015, Time: ,Tue Jun 30 15:00:00 CEST 2015, Event: ,Zopp v Langer, Favorite: ,Jurgen Zopp, 5223695   size:20.57,Price: ,1.52,Nils Langer, 7066939   size:2.56,Price: ,2.7,x
1.119295902, Sport: ,Tennis, Time: ,Tue Jun 30 12:45:00 CEST 2015, Time: ,Tue Jun 30 12:45:00 CEST 2015, Event: ,A Golubev v Mina, Favorite: ,Andrey Golubev, 2454785   size:11.95,Price: ,1.39,Gianni Mina, 4720523   size:2.56,Price: ,3.1,x
1.119277252, Sport: ,Tennis, Time: ,Tue Jun 30 16:15:00 CEST 2015, Time: ,Tue Jun 30 16:15:00 CEST 2015, Event: ,Krajinovic v Mahut, Favorite: ,Nicolas Mahut, 2257317   size:81.46,Price: ,1.15,Filip Krajinovic, 3509265   size:16.42,Price: ,7.0,ok
1.119277176, Sport: ,Tennis, Time: ,Tue Jun 30 16:15:00 CEST 2015, Time: ,Tue Jun 30 16:15:00 CEST 2015, Event: ,Andujar v Garcia-Lopez, Favorite: ,Guillermo Garcia-Lopez, 8260126   size:378.78,Price: ,1.17,Pablo Andujar, 2303153   size:74.92,Price: ,6.2,x
1.119296636, Sport: ,Tennis, Time: ,Tue Jun 30 10:00:00 CEST 2015, Time: ,Tue Jun 30 10:00:00 CEST 2015, Event: ,Bellotti v Carballes Baena, Favorite: ,Roberto Carballes Baena, 7185192   size:5.77,Price: ,1.36,Riccardo Bellotti, 7533686   size:3.84,Price: ,3.35,x
1.119295921, Sport: ,Tennis, Time: ,Tue Jun 30 14:00:00 CEST 2015, Time: ,Tue Jun 30 14:00:00 CEST 2015, Event: ,Puetz v Kamke, Favorite: ,Tobias Kamke, 2581407   size:2.96,Price: ,1.63,Tim Puetz, 7593247   size:2.56,Price: ,2.36,ok
