1.119249225, Sport: ,Baseball, Time: ,Sat Jul 04 22:05:00 CEST 2015, Time: ,Sat Jul 04 22:05:00 CEST 2015, Event: ,SEA @ OAK, Favorite: ,Seattle (F Hernandez), 1216734   size:323.9,Price: ,1.82,Oakland (K Graveman), 9385645   size:8.9,Price: ,2.18,x
1.119252751, Sport: ,Soccer, Time: ,Sun Jul 05 00:00:00 CEST 2015, Time: ,Sun Jul 05 00:00:00 CEST 2015, Event: ,Tampa Bay Rowdies v Atlanta Silverbacks, Favorite: ,Tampa Bay Rowdies, 6295051   size:8.23,Price: ,1.71,The Draw, 58805   size:5.13,Price: ,3.8,Atlanta Silverbacks, 5744831   size:58.73,Price: ,5.8,ok
1.119379084, Sport: ,Soccer, Time: ,Sun Jul 05 01:00:00 CEST 2015, Time: ,Sun Jul 05 01:00:00 CEST 2015, Event: ,FUS Rabat v AS Sale, Favorite: ,FUS Rabat, 6681575   size:9.0,Price: ,1.49,The Draw, 58805   size:113.45,Price: ,3.5,AS Sale, 7708283   size:59.14,Price: ,5.8,x
1.119380432, Sport: ,Soccer, Time: ,Sun Jul 05 02:45:00 CEST 2015, Time: ,Sun Jul 05 02:45:00 CEST 2015, Event: ,Toronto Atomic FC v Burlington, Favorite: ,Toronto Atomic FC, 9493042   size:2.56,Price: ,1.22,The Draw, 58805   size:29.18,Price: ,2.0,Burlington, 7560973   size:5.94,Price: ,4.3,ok
1.119387504, Sport: ,Baseball, Time: ,Sun Jul 05 01:15:00 CEST 2015, Time: ,Sun Jul 05 01:15:00 CEST 2015, Event: ,MIA @ CHC, Favorite: ,Chicago Cubs (C Richard), 9836578   size:478.74,Price: ,1.81,Miami (J Cosart), 8749484   size:104.42,Price: ,2.16,ok
1.119380995, Sport: ,Soccer, Time: ,Sun Jul 05 06:00:00 CEST 2015, Time: ,Sun Jul 05 06:00:00 CEST 2015, Event: ,Nara Club v Honda Lock SC, Favorite: ,Honda Lock SC, 7441164   size:5.75,Price: ,1.23,The Draw, 58805   size:10.04,Price: ,3.0,x
1.119338896, Sport: ,Soccer, Time: ,Sun Jul 05 01:00:00 CEST 2015, Time: ,Sun Jul 05 01:00:00 CEST 2015, Event: ,Independiente Rivadavia v Gimnasia Jujuy, Favorite: ,Independiente Rivadavia, 5333044   size:26.78,Price: ,2.56,The Draw, 58805   size:9.24,Price: ,3.05,Gimnasia Jujuy, 1213580   size:2.56,Price: ,3.25,x
1.119267451, Sport: ,Soccer, Time: ,Sat Jul 04 21:30:00 CEST 2015, Time: ,Sat Jul 04 21:30:00 CEST 2015, Event: ,Nautico v Oeste, Favorite: ,Nautico, 2397366   size:760.76,Price: ,1.49,The Draw, 58805   size:97.12,Price: ,4.3,Oeste, 3618374   size:35.77,Price: ,9.2,ok
1.119249981, Sport: ,Soccer, Time: ,Sat Jul 04 21:30:00 CEST 2015, Time: ,Sat Jul 04 21:30:00 CEST 2015, Event: ,Vitoria BA v Bahia, Favorite: ,Vitoria BA, 5310329   size:5.6,Price: ,2.74,Bahia, 198139   size:12.84,Price: ,2.86,The Draw, 58805   size:45.18,Price: ,3.35,ok
1.119323886, Sport: ,Soccer, Time: ,Sun Jul 05 03:00:00 CEST 2015, Time: ,Sun Jul 05 03:00:00 CEST 2015, Event: ,Universitario v Deportivo Municipal, Favorite: ,Universitario, 330229   size:18.21,Price: ,1.68,The Draw, 58805   size:4.62,Price: ,3.75,Deportivo Municipal, 7295377   size:56.28,Price: ,6.4,x
1.119346366, Sport: ,Soccer, Time: ,Sat Jul 04 22:00:00 CEST 2015, Time: ,Sat Jul 04 22:00:00 CEST 2015, Event: ,Germany (W) v England (W), Favorite: ,Germany (W), 541839   size:382.66,Price: ,1.58,The Draw, 58805   size:411.08,Price: ,4.6,England (W), 605319   size:16.63,Price: ,6.6,x
1.119321268, Sport: ,Basketball, Time: ,Sat Jul 04 21:45:00 CEST 2015, Time: ,Sat Jul 04 21:45:00 CEST 2015, Event: ,Ukraine (W) v Portugal (W), Favorite: ,Portugal (W), 6427227   size:140.11,Price: ,1.06,Ukraine (W), 6427226   size:2.75,Price: ,6.2,ok
1.119269704, Sport: ,Soccer, Time: ,Sun Jul 05 04:30:00 CEST 2015, Time: ,Sun Jul 05 04:30:00 CEST 2015, Event: ,LA Galaxy v Toronto FC, Favorite: ,LA Galaxy, 2658589   size:3.32,Price: ,1.66,The Draw, 58805   size:136.9,Price: ,4.1,Toronto FC, 2362969   size:85.49,Price: ,6.0,ok
1.119313124, Sport: ,Boxing, Time: ,Sat Jul 04 21:00:00 CEST 2015, Time: ,Sat Jul 04 21:00:00 CEST 2015, Event: ,Burnett v Kovacs, Favorite: ,Ryan Burnett, 9731719   size:23036.36,Price: ,1.01,Draw, 31162   size:2.72,Price: ,60.0,Csaba Kovacs, 9731720   size:52.19,Price: ,70.0,ok
1.119381051, Sport: ,Soccer, Time: ,Sun Jul 05 08:00:00 CEST 2015, Time: ,Sun Jul 05 08:00:00 CEST 2015, Event: ,Ryutsu Keizai Dragons v Sony Sendai FC, Favorite: ,Sony Sendai FC, 5852913   size:138.7,Price: ,1.06,The Draw, 58805   size:10.04,Price: ,3.5,ok
1.119256209, Sport: ,Volleyball, Time: ,Sun Jul 05 01:00:00 CEST 2015, Time: ,Sun Jul 05 01:00:00 CEST 2015, Event: ,Peru (W) v Cuba (W), Favorite: ,Cuba (W), 6489948   size:5.75,Price: ,1.28,Peru (W), 8723659   size:3.89,Price: ,4.2,x
1.119249217, Sport: ,Baseball, Time: ,Sat Jul 04 20:15:00 CEST 2015, Time: ,Sat Jul 04 20:15:00 CEST 2015, Event: ,SD @ STL, Favorite: ,St Louis (C Martinez), 7564048   size:538.18,Price: ,1.51,San Diego (O Despaigne), 8643885   size:57.18,Price: ,2.9,ok
1.119383139, Sport: ,Tennis, Time: ,Sat Jul 04 20:02:00 CEST 2015, Time: ,Sat Jul 04 20:02:00 CEST 2015, Event: ,Matkowski/Vesnina v Dodig/Tomljanovic, Favorite: ,Matkowski/Vesnina, 9830917   size:2.2,Price: ,1.77,Dodig/Tomljanovic, 9778489   size:2.8,Price: ,1.97,ok
1.119268158, Sport: ,Soccer, Time: ,Sun Jul 05 02:00:00 CEST 2015, Time: ,Sun Jul 05 02:00:00 CEST 2015, Event: ,Montreal Impact v New York City, Favorite: ,Montreal Impact, 3382205   size:15.55,Price: ,2.02,The Draw, 58805   size:108.91,Price: ,3.75,New York City, 9280784   size:29.98,Price: ,3.95,x
1.119341579, Sport: ,Basketball, Time: ,Sat Jul 04 21:00:00 CEST 2015, Time: ,Sat Jul 04 21:00:00 CEST 2015, Event: ,Charlotte v Oklahoma City, Favorite: ,Charlotte, 13110   size:3.49,Price: ,1.65,Oklahoma City, 3363394   size:3.43,Price: ,1.68,x
1.119269128, Sport: ,Soccer, Time: ,Sun Jul 05 01:30:00 CEST 2015, Time: ,Sun Jul 05 01:30:00 CEST 2015, Event: ,Columbus v New York Red Bulls, Favorite: ,Columbus, 171903   size:52.76,Price: ,2.1,New York Red Bulls, 2362970   size:18.6,Price: ,3.65,The Draw, 58805   size:144.51,Price: ,3.8,ok
1.119249254, Sport: ,Baseball, Time: ,Sun Jul 05 01:15:00 CEST 2015, Time: ,Sun Jul 05 01:15:00 CEST 2015, Event: ,PHI @ ATL, Favorite: ,Atlanta (A Wood), 7368437   size:549.23,Price: ,1.53,Philadelphia (K Correia), 9594872   size:102.41,Price: ,2.76,ok
1.119267542, Sport: ,Soccer, Time: ,Sun Jul 05 02:00:00 CEST 2015, Time: ,Sun Jul 05 02:00:00 CEST 2015, Event: ,Cruzeiro v Atletico PR, Favorite: ,Cruzeiro, 192807   size:367.89,Price: ,1.72,The Draw, 58805   size:18.22,Price: ,3.7,Atletico PR, 442159   size:253.96,Price: ,6.4,ok
1.119323207, Sport: ,Soccer, Time: ,Sat Jul 04 22:30:00 CEST 2015, Time: ,Sat Jul 04 22:30:00 CEST 2015, Event: ,Nacional (Par) v Rubio Nu, Favorite: ,Nacional (Par), 1370433   size:28.02,Price: ,2.18,Rubio Nu, 5363620   size:6.4,Price: ,3.5,The Draw, 58805   size:2.56,Price: ,3.55,x
1.119266568, Sport: ,Cricket, Time: ,Sat Jul 04 22:00:00 CEST 2015, Time: ,Sat Jul 04 22:00:00 CEST 2015, Event: ,Trinidad and Tobago v Guyana, Favorite: ,Guyana, 2009654   size:810.26,Price: ,1.9,Trinidad and Tobago, 2009675   size:7.0,Price: ,2.06,x
1.119341582, Sport: ,Basketball, Time: ,Sat Jul 04 23:00:00 CEST 2015, Time: ,Sat Jul 04 23:00:00 CEST 2015, Event: ,Memphis v Brooklyn, Favorite: ,Brooklyn, 6758557   size:2.8,Price: ,1.02,x
1.119256211, Sport: ,Volleyball, Time: ,Sat Jul 04 21:10:00 CEST 2015, Time: ,Sat Jul 04 21:10:00 CEST 2015, Event: ,Mexico (W) v Algeria (W), Favorite: ,Algeria (W), 8723661   size:5.75,Price: ,1.53,Mexico (W), 8723663   size:5.75,Price: ,2.44,x
1.119250272, Sport: ,Soccer, Time: ,Sat Jul 04 21:30:00 CEST 2015, Time: ,Sat Jul 04 21:30:00 CEST 2015, Event: ,ABC v Macae, Favorite: ,abc, 3794139   size:5.08,Price: ,1.74,The Draw, 58805   size:25.84,Price: ,4.0,Macae, 2763328   size:54.6,Price: ,5.3,x
1.119250074, Sport: ,Soccer, Time: ,Sat Jul 04 21:30:00 CEST 2015, Time: ,Sat Jul 04 21:30:00 CEST 2015, Event: ,Bragantino SP v Santa Cruz PE, Favorite: ,Bragantino SP, 4701919   size:185.75,Price: ,2.42,Santa Cruz PE, 6132724   size:4.67,Price: ,3.3,The Draw, 58805   size:116.87,Price: ,3.45,x
