1.119087901, Sport: ,Basketball, Time: ,Sat Jun 06 18:00:00 CEST 2015, Time: ,Sat Jun 06 18:00:00 CEST 2015, Event: ,Crvena Zvezda v Mega Vizura, Favorite: ,Crvena Zvezda, 1275898   size:2.9,Price: ,1.07,Mega Vizura, 7735104   size:3.37,Price: ,8.2,okok
1.119099291, Sport: ,Baseball, Time: ,Sat Jun 06 22:10:00 CEST 2015, Time: ,Sat Jun 06 22:10:00 CEST 2015, Event: ,SD @ CIN, Favorite: ,Cincinnati (M Lorenzen), 9444109   size:741.34,Price: ,1.91,San Diego (A Cashner), 6436041   size:675.08,Price: ,1.96,xx
1.119038914, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 02:00:00 CEST 2015, Time: ,Sun Jun 07 02:00:00 CEST 2015, Event: ,Wade v Giagos, Favorite: ,Chris Wade, 8800427   size:2.68,Price: ,1.59,Christos Giagos, 8894076   size:2.63,Price: ,2.52,okok
1.119051250, Sport: ,Baseball, Time: ,Sat Jun 06 22:05:00 CEST 2015, Time: ,Sat Jun 06 22:05:00 CEST 2015, Event: ,OAK @ BOS, Favorite: ,Oakland (J Chavez), 8432625   size:461.44,Price: ,1.94,Boston (J Kelly), 8755664   size:4.11,Price: ,1.97,xx
1.119103912, Sport: ,Tennis, Time: ,Sat Jun 06 17:30:00 CEST 2015, Time: ,Sat Jun 06 17:30:00 CEST 2015, Event: ,Hlavackova v Boserup, Favorite: ,Julia Boserup, 3738415   size:9.56,Price: ,1.69,Andrea Hlavackova, 2405315   size:17.47,Price: ,2.14,xx
1.119044516, Sport: ,Basketball, Time: ,Sat Jun 06 18:15:00 CEST 2015, Time: ,Sat Jun 06 18:15:00 CEST 2015, Event: ,Armani Milano v Dinamo Sassari, Favorite: ,Armani Milano, 952727   size:624.5,Price: ,1.19,Dinamo Sassari, 5520916   size:42.67,Price: ,6.0,okok
1.119026017, Sport: ,Basketball, Time: ,Sat Jun 06 17:30:00 CEST 2015, Time: ,Sat Jun 06 17:30:00 CEST 2015, Event: ,Lietuvos Rytas v Zalgiris, Favorite: ,Lietuvos Rytas, 702559   size:76.17,Price: ,1.64,Zalgiris, 1305967   size:2.55,Price: ,2.38,xx
1.119051207, Sport: ,Baseball, Time: ,Sat Jun 06 19:07:00 CEST 2015, Time: ,Sat Jun 06 19:07:00 CEST 2015, Event: ,HOU @ TOR, Favorite: ,Toronto (D Hutchison), 6325405   size:342.91,Price: ,1.65,Houston (B Oberholtzer), 7544086   size:340.0,Price: ,2.46,okok
1.118924885, Sport: ,Basketball, Time: ,Sun Jun 07 03:00:00 CEST 2015, Time: ,Sun Jun 07 03:00:00 CEST 2015, Event: ,Los Angeles @ Seattle, Favorite: ,Los Angeles, 3213264   size:2.58,Price: ,1.9,Seattle, 13130   size:5.07,Price: ,1.95,xx
1.119104673, Sport: ,Tennis, Time: ,Sat Jun 06 18:10:00 CEST 2015, Time: ,Sat Jun 06 18:10:00 CEST 2015, Event: ,Couacaud v Ma Willis, Favorite: ,Marcus Willis, 3985839   size:210.48,Price: ,1.07,okok
1.119090570, Sport: ,Handball, Time: ,Sat Jun 06 18:00:00 CEST 2015, Time: ,Sat Jun 06 18:00:00 CEST 2015, Event: ,Serbia (W) v Romania (W), Favorite: ,Romania (W), 6257656   size:10.22,Price: ,1.57,Serbia (W), 6257655   size:8.51,Price: ,3.1,Draw, 330157   size:2.66,Price: ,8.4,okok
