1.119038914, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 02:00:00 CEST 2015, Time: ,Sun Jun 07 02:00:00 CEST 2015, Event: ,Wade v Giagos, Favorite: ,Chris Wade, 8800427   size:2.68,Price: ,1.59,Christos Giagos, 8894076   size:2.66,Price: ,2.52,okokokok
1.119100966, Sport: ,Tennis, Time: ,Sun Jun 07 10:00:00 CEST 2015, Time: ,Sun Jun 07 10:00:00 CEST 2015, Event: ,Zaitcev v Sakamoto, Favorite: ,Pedro Sakamoto, 8304915   size:149.22,Price: ,1.07,xxxx
1.118924885, Sport: ,Basketball, Time: ,Sun Jun 07 03:00:00 CEST 2015, Time: ,Sun Jun 07 03:00:00 CEST 2015, Event: ,Los Angeles @ Seattle, Favorite: ,Los Angeles, 3213264   size:7.55,Price: ,1.91,Seattle, 13130   size:5.07,Price: ,1.95,xxxx
1.119051349, Sport: ,Baseball, Time: ,Sun Jun 07 04:10:00 CEST 2015, Time: ,Sun Jun 07 04:10:00 CEST 2015, Event: ,TB @ SEA, Favorite: ,Seattle (F Hernandez), 1216734   size:261.68,Price: ,1.63,Tampa Bay (A Colome), 7310998   size:136.51,Price: ,2.52,okokokok
1.119099962, Sport: ,Tennis, Time: ,Sun Jun 07 10:00:00 CEST 2015, Time: ,Sun Jun 07 10:00:00 CEST 2015, Event: ,Dubarenco v Heras, Favorite: ,Patricio Heras, 8461064   size:216.41,Price: ,1.07,okokokok
1.118924861, Sport: ,Basketball, Time: ,Sun Jun 07 01:00:00 CEST 2015, Time: ,Sun Jun 07 01:00:00 CEST 2015, Event: ,New York @ Washington, Favorite: ,Washington, 13105   size:2.55,Price: ,1.35,New York, 13106   size:2.68,Price: ,3.85,okokokok
1.119051341, Sport: ,Baseball, Time: ,Sun Jun 07 04:10:00 CEST 2015, Time: ,Sun Jun 07 04:10:00 CEST 2015, Event: ,STL @ LAD, Favorite: ,LA Dodgers (C Kershaw), 3068257   size:264.0,Price: ,1.54,St Louis (J Garcia), 3201713   size:299.0,Price: ,2.72,okokokok
1.119051024, Sport: ,Basketball, Time: ,Sun Jun 07 09:00:00 CEST 2015, Time: ,Sun Jun 07 09:00:00 CEST 2015, Event: ,Global Port v Barako Bull Energy, Favorite: ,Global Port Batang Pier, 6676516   size:12.29,Price: ,1.76,Barako Bull Energy, 5087272   size:2.55,Price: ,2.16,xxxx
1.119039754, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 04:00:00 CEST 2015, Time: ,Sun Jun 07 04:00:00 CEST 2015, Event: ,Poirier v Medeiros, Favorite: ,Dustin Poirier, 5200678   size:5.42,Price: ,1.4,Yancy Medeiros, 7221213   size:16.32,Price: ,3.2,okokokok
1.118924868, Sport: ,Basketball, Time: ,Sun Jun 07 01:00:00 CEST 2015, Time: ,Sun Jun 07 01:00:00 CEST 2015, Event: ,Minnesota @ Indiana, Favorite: ,Minnesota, 13118   size:7.06,Price: ,1.3,Indiana, 13116   size:33.51,Price: ,4.0,okokokok
1.119038801, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 02:00:00 CEST 2015, Time: ,Sun Jun 07 02:00:00 CEST 2015, Event: ,Jordan v Lewis, Favorite: ,Shawn Jordan, 5822664   size:2.87,Price: ,1.98,Derrick Lewis, 8477136   size:359.79,Price: ,2.0,okokokok
1.118850056, Sport: ,Boxing, Time: ,Sun Jun 07 03:00:00 CEST 2015, Time: ,Sun Jun 07 03:00:00 CEST 2015, Event: ,Cotto v Geale, Favorite: ,Miguel Cotto, 3656147   size:487.35,Price: ,1.2,Daniel Geale, 2689264   size:20.24,Price: ,6.2,Draw, 31162   size:27.47,Price: ,36.0,okokokok
1.119040407, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 04:00:00 CEST 2015, Time: ,Sun Jun 07 04:00:00 CEST 2015, Event: ,Boetsch v Henderson, Favorite: ,Tim Boetsch, 4853099   size:7.32,Price: ,1.54,Dan Henderson, 3832562   size:8.4,Price: ,2.8,xxxx
1.119035333, Sport: ,Ice Hockey, Time: ,Sun Jun 07 01:20:00 CEST 2015, Time: ,Sun Jun 07 01:20:00 CEST 2015, Event: ,Chicago @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:474.0,Price: ,2.32,Chicago, 2109831   size:340.0,Price: ,2.88,Tie, 60104   size:117.6,Price: ,3.85,okokokok
1.119099265, Sport: ,Tennis, Time: ,Sun Jun 07 06:45:00 CEST 2015, Time: ,Sun Jun 07 06:45:00 CEST 2015, Event: ,Sarkissian v Co Smith, Favorite: ,Connor Smith, 8732289   size:2.55,Price: ,1.85,Alexander Sarkissian, 8734382   size:27.95,Price: ,2.0,xxxx
1.119044396, Sport: ,Basketball, Time: ,Sun Jun 07 01:30:00 CEST 2015, Time: ,Sun Jun 07 01:30:00 CEST 2015, Event: ,Obras v Quilmes, Favorite: ,Obras, 6269780   size:118.49,Price: ,1.26,Quilmes, 7753472   size:68.26,Price: ,4.2,xxxx
1.119044397, Sport: ,Basketball, Time: ,Sun Jun 07 02:30:00 CEST 2015, Time: ,Sun Jun 07 02:30:00 CEST 2015, Event: ,Gecr Indalo v Penarol, Favorite: ,Gecr Indalo, 6719074   size:2.55,Price: ,1.37,Penarol, 6719113   size:97.0,Price: ,3.25,okokokok
1.119051319, Sport: ,Baseball, Time: ,Sun Jun 07 01:15:00 CEST 2015, Time: ,Sun Jun 07 01:15:00 CEST 2015, Event: ,LAA @ NYY, Favorite: ,LA Angels (G Richards), 5741327   size:59.0,Price: ,1.93,NY Yankees (A Warren), 6476458   size:209.65,Price: ,2.0,xxxx
1.119038791, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 01:00:00 CEST 2015, Time: ,Sun Jun 07 01:00:00 CEST 2015, Event: ,Abreu v Collier, Favorite: ,Ricardo Abreu, 8572569   size:2.93,Price: ,1.57,Jake Collier, 9086747   size:230.44,Price: ,2.5,xxxx
1.119038795, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 01:00:00 CEST 2015, Time: ,Sun Jun 07 01:00:00 CEST 2015, Event: ,Quinonez v Morales, Favorite: ,Leonardo Morales, 8991659   size:4.44,Price: ,1.59,Jose Quinonez, 8991658   size:242.86,Price: ,2.48,xxx
1.119051311, Sport: ,Baseball, Time: ,Sun Jun 07 01:15:00 CEST 2015, Time: ,Sun Jun 07 01:15:00 CEST 2015, Event: ,DET @ CWS, Favorite: ,Detroit (D Price), 8753728   size:344.0,Price: ,1.63,Chicago White Sox (J Danks), 2942998   size:193.1,Price: ,2.52,ok
1.119051333, Sport: ,Baseball, Time: ,Sun Jun 07 04:10:00 CEST 2015, Time: ,Sun Jun 07 04:10:00 CEST 2015, Event: ,NYM @ ARI, Favorite: ,Arizona (C Anderson), 8522020   size:318.0,Price: ,1.79,NY Mets (B Colon), 8432627   size:316.99,Price: ,2.18,okokokok
1.119039742, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 04:00:00 CEST 2015, Time: ,Sun Jun 07 04:00:00 CEST 2015, Event: ,Soto v Birchak, Favorite: ,Joe Soto, 8800389   size:5.39,Price: ,1.57,Anthony Birchak, 8800390   size:26.99,Price: ,2.56,xxxx
1.119039600, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 04:00:00 CEST 2015, Time: ,Sun Jun 07 04:00:00 CEST 2015, Event: ,Tavares v Ortega, Favorite: ,Thiago Tavares, 4099604   size:2.67,Price: ,1.66,Brian Ortega, 8702179   size:5.37,Price: ,2.38,xxxx
1.119039106, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 02:00:00 CEST 2015, Time: ,Sun Jun 07 02:00:00 CEST 2015, Event: ,Proctor v Edwards, Favorite: ,Joe Proctor, 6883642   size:2.72,Price: ,1.51,Justin Edwards, 5928862   size:208.62,Price: ,2.76,okokokok
1.118924877, Sport: ,Basketball, Time: ,Sun Jun 07 02:00:00 CEST 2015, Time: ,Sun Jun 07 02:00:00 CEST 2015, Event: ,Chicago @ Tulsa, Favorite: ,Tulsa, 711056   size:7.99,Price: ,1.77,Chicago, 13117   size:2.25,Price: ,2.18,okokokok
