1.119088215, Sport: ,Tennis, Time: ,Sat Jun 06 10:30:00 CEST 2015, Time: ,Sat Jun 06 10:30:00 CEST 2015, Event: ,Kerkhove v I De Vroome, Favorite: ,Indy De Vroome, 8679190   size:2.79,Price: ,1.76,Lesley Kerkhove, 7283298   size:36.87,Price: ,2.22,xx
1.119098661, Sport: ,Tennis, Time: ,Sat Jun 06 10:30:00 CEST 2015, Time: ,Sat Jun 06 10:30:00 CEST 2015, Event: ,Ouellette v H Cunha, Favorite: ,Henrique Cunha, 7444875   size:3.06,Price: ,1.6,Greg Ouellette, 3740767   size:2.07,Price: ,2.36,okok
1.119099113, Sport: ,Tennis, Time: ,Sat Jun 06 13:45:00 CEST 2015, Time: ,Sat Jun 06 13:45:00 CEST 2015, Event: ,Nielsen v Zhukov, Favorite: ,Pavlo Zhukov, 9564999   size:5.0,Price: ,1.03,xx
1.119044516, Sport: ,Basketball, Time: ,Sat Jun 06 18:15:00 CEST 2015, Time: ,Sat Jun 06 18:15:00 CEST 2015, Event: ,Armani Milano v Dinamo Sassari, Favorite: ,Armani Milano, 952727   size:157.01,Price: ,1.16,Dinamo Sassari, 5520916   size:3.44,Price: ,5.4,okok
1.119099074, Sport: ,Tennis, Time: ,Sat Jun 06 12:00:00 CEST 2015, Time: ,Sat Jun 06 12:00:00 CEST 2015, Event: ,O'Mara v Norrie, Favorite: ,Cameron Norrie, 7336089   size:89.94,Price: ,1.07,okok
1.119099073, Sport: ,Tennis, Time: ,Sat Jun 06 12:00:00 CEST 2015, Time: ,Sat Jun 06 12:00:00 CEST 2015, Event: ,Bambridge v Vorster, Favorite: ,Tucker Vorster, 8842203   size:212.09,Price: ,1.07,xx
1.119008788, Sport: ,Cricket, Time: ,Sat Jun 06 15:30:00 CEST 2015, Time: ,Sat Jun 06 15:30:00 CEST 2015, Event: ,Durham v Warwickshire, Favorite: ,Durham, 31374   size:5.0,Price: ,1.86,Warwickshire, 2120   size:3.02,Price: ,1.97,xx
1.119026017, Sport: ,Basketball, Time: ,Sat Jun 06 17:30:00 CEST 2015, Time: ,Sat Jun 06 17:30:00 CEST 2015, Event: ,Lietuvos Rytas v Zalgiris, Favorite: ,Lietuvos Rytas, 702559   size:2.78,Price: ,1.76,Zalgiris, 1305967   size:2.55,Price: ,2.14,xx
1.119093088, Sport: ,Tennis, Time: ,Sat Jun 06 14:00:00 CEST 2015, Time: ,Sat Jun 06 14:00:00 CEST 2015, Event: ,Parmentier v K Bondarenko, Favorite: ,Kateryna Bondarenko, 2291864   size:2.98,Price: ,1.65,Pauline Parmentier, 2309569   size:2.29,Price: ,2.14,xx
1.119098535, Sport: ,Tennis, Time: ,Sat Jun 06 14:45:00 CEST 2015, Time: ,Sat Jun 06 14:45:00 CEST 2015, Event: ,Teixeira v Safranek, Favorite: ,Maxime Teixeira, 5321113   size:37.08,Price: ,1.08,Vaclav Safranek, 8490631   size:30.22,Price: ,1.32,okok
1.119098657, Sport: ,Tennis, Time: ,Sat Jun 06 10:30:00 CEST 2015, Time: ,Sat Jun 06 10:30:00 CEST 2015, Event: ,Marchenko v Menendez-Maceiras, Favorite: ,Illya Marchenko, 3691700   size:5.85,Price: ,1.49,Adrian Menendez-Maceira, 9128710   size:54.44,Price: ,2.64,okok
1.119074446, Sport: ,Tennis, Time: ,Sat Jun 06 16:30:00 CEST 2015, Time: ,Sat Jun 06 16:30:00 CEST 2015, Event: ,Bryan/Bryan v Dodig/Melo, Favorite: ,Bryan/Bryan, 1502771   size:187.75,Price: ,1.42,Dodig/Melo, 6195133   size:23.18,Price: ,3.2,xx
1.119099105, Sport: ,Tennis, Time: ,Sat Jun 06 13:45:00 CEST 2015, Time: ,Sat Jun 06 13:45:00 CEST 2015, Event: ,Canter v Sharan, Favorite: ,Divij Sharan, 8292579   size:5.0,Price: ,1.03,okok
1.119098534, Sport: ,Tennis, Time: ,Sat Jun 06 13:00:00 CEST 2015, Time: ,Sat Jun 06 13:00:00 CEST 2015, Event: ,Konecny v Tiafoe, Favorite: ,Frances Tiafoe, 9399490   size:2.55,Price: ,1.21,Michal Konecny, 8522533   size:2.55,Price: ,1.84,okok
1.119063286, Sport: ,Tennis, Time: ,Sat Jun 06 13:00:00 CEST 2015, Time: ,Sat Jun 06 13:00:00 CEST 2015, Event: ,N Djokovic v A Murray, Favorite: ,Novak Djokovic, 2249229   size:269307.28,Price: ,1.14,Andy Murray, 2256509   size:3931.29,Price: ,7.8,okok
1.119092679, Sport: ,Tennis, Time: ,Sat Jun 06 13:30:00 CEST 2015, Time: ,Sat Jun 06 13:30:00 CEST 2015, Event: ,Ar Rodionova v An Rodionova, Favorite: ,Anastasia Rodionova, 2328019   size:64.04,Price: ,1.62,Arina Rodionova, 2967315   size:5.0,Price: ,2.56,xx
1.119099081, Sport: ,Tennis, Time: ,Sat Jun 06 12:00:00 CEST 2015, Time: ,Sat Jun 06 12:00:00 CEST 2015, Event: ,Raja v S Kozlov, Favorite: ,Stefan Kozlov, 7415002   size:5.0,Price: ,1.03,Purav Raja, 2561169   size:116.84,Price: ,1.07,okok
1.119098274, Sport: ,Tennis, Time: ,Sat Jun 06 09:00:00 CEST 2015, Time: ,Sat Jun 06 09:00:00 CEST 2015, Event: ,Bernardi v Vatutin, Favorite: ,Alexey Vatutin, 7797764   size:140.32,Price: ,1.07,Pedro Bernardi, 8326769   size:1123.85,Price: ,1.08,okok
1.119099085, Sport: ,Tennis, Time: ,Sat Jun 06 12:00:00 CEST 2015, Time: ,Sat Jun 06 12:00:00 CEST 2015, Event: ,Cannell v Marsalek, Favorite: ,James Marsalek, 8326210   size:5.0,Price: ,1.03,okok
1.119098272, Sport: ,Tennis, Time: ,Sat Jun 06 09:00:00 CEST 2015, Time: ,Sat Jun 06 09:00:00 CEST 2015, Event: ,Elfimov v Dzhanashiya, Favorite: ,Shalva Dzhanashiya, 9321018   size:4.49,Price: ,1.04,okok
1.119099119, Sport: ,Tennis, Time: ,Sat Jun 06 15:30:00 CEST 2015, Time: ,Sat Jun 06 15:30:00 CEST 2015, Event: ,Smethurst v Gabb, Favorite: ,Richard Gabb, 7364197   size:179.89,Price: ,1.07,xx
1.119098546, Sport: ,Tennis, Time: ,Sat Jun 06 14:45:00 CEST 2015, Time: ,Sat Jun 06 14:45:00 CEST 2015, Event: ,Neis v De Greef, Favorite: ,Arthur De Greef, 7287672   size:37.08,Price: ,1.08,Fabricio Neis, 8326758   size:26.1,Price: ,1.52,xx
1.119098668, Sport: ,Tennis, Time: ,Sat Jun 06 12:00:00 CEST 2015, Time: ,Sat Jun 06 12:00:00 CEST 2015, Event: ,Al Kuznetsov v P Herbert, Favorite: ,Pierre-Hugues Herbert, 8266399   size:72.53,Price: ,1.5,Alex Kuznetsov, 2263691   size:3.97,Price: ,2.66,okok
1.119098547, Sport: ,Tennis, Time: ,Sat Jun 06 14:45:00 CEST 2015, Time: ,Sat Jun 06 14:45:00 CEST 2015, Event: ,Laaksonen v Horansky, Favorite: ,Filip Horansky, 4596961   size:37.08,Price: ,1.08,xx
1.119098701, Sport: ,Tennis, Time: ,Sat Jun 06 15:15:00 CEST 2015, Time: ,Sat Jun 06 15:15:00 CEST 2015, Event: ,Lavie v P Mathieu, Favorite: ,Paul-Henri Mathieu, 8259186   size:285.4,Price: ,1.05,Sebastian Lavie, 6344310   size:5.84,Price: ,10.5,okok
1.119099115, Sport: ,Tennis, Time: ,Sat Jun 06 15:30:00 CEST 2015, Time: ,Sat Jun 06 15:30:00 CEST 2015, Event: ,Ma Willis v Clayton, Favorite: ,Marcus Willis, 3985839   size:5.0,Price: ,1.03,Scott Clayton, 8596404   size:133.03,Price: ,1.07,okok
1.119098709, Sport: ,Tennis, Time: ,Sat Jun 06 15:30:00 CEST 2015, Time: ,Sat Jun 06 15:30:00 CEST 2015, Event: ,Hy Chung v Monroe, Favorite: ,Hyeon Chung, 7690576   size:2.55,Price: ,1.09,Nicholas Monroe, 3509358   size:25.95,Price: ,8.2,xx
1.119048171, Sport: ,Basketball, Time: ,Sat Jun 06 17:00:00 CEST 2015, Time: ,Sat Jun 06 17:00:00 CEST 2015, Event: ,Lithuania (W) v China (W), Favorite: ,China (W), 7886075   size:5.0,Price: ,1.03,xx
1.119098705, Sport: ,Tennis, Time: ,Sat Jun 06 15:30:00 CEST 2015, Time: ,Sat Jun 06 15:30:00 CEST 2015, Event: ,Pouille v Chiudinelli, Favorite: ,Lucas Pouille, 7031400   size:3.46,Price: ,1.42,Marco Chiudinelli, 2263632   size:27.97,Price: ,2.96,xx
1.119099091, Sport: ,Tennis, Time: ,Sat Jun 06 12:00:00 CEST 2015, Time: ,Sat Jun 06 12:00:00 CEST 2015, Event: ,Thornley v Whittington, Favorite: ,Andrew Whittington, 8172414   size:5.0,Price: ,1.03,xx
1.119098681, Sport: ,Tennis, Time: ,Sat Jun 06 13:30:00 CEST 2015, Time: ,Sat Jun 06 13:30:00 CEST 2015, Event: ,Bemelmans v Westerhof, Favorite: ,Ruben Bemelmans, 2831873   size:2.55,Price: ,1.19,Boy Westerhof, 7287694   size:8.54,Price: ,5.2,okok
1.119098560, Sport: ,Tennis, Time: ,Sat Jun 06 10:00:00 CEST 2015, Time: ,Sat Jun 06 10:00:00 CEST 2015, Event: ,Andrea Grazioso v Collarini, Favorite: ,Andrea Collarini, 8284716   size:4.49,Price: ,1.04,Andrea Grazioso, 8998785   size:107.84,Price: ,1.07,okok
1.119098286, Sport: ,Tennis, Time: ,Sat Jun 06 10:45:00 CEST 2015, Time: ,Sat Jun 06 10:45:00 CEST 2015, Event: ,Zaitcev v Pokotilov, Favorite: ,Boris Pokotilov, 7797776   size:4.49,Price: ,1.04,xx
1.119099099, Sport: ,Tennis, Time: ,Sat Jun 06 13:45:00 CEST 2015, Time: ,Sat Jun 06 13:45:00 CEST 2015, Event: ,Salisbury v A Ward, Favorite: ,Alexander Ward, 7234124   size:212.09,Price: ,1.07,xx
1.119098561, Sport: ,Tennis, Time: ,Sat Jun 06 10:00:00 CEST 2015, Time: ,Sat Jun 06 10:00:00 CEST 2015, Event: ,Krajinovic v Brands, Favorite: ,Filip Krajinovic, 3509265   size:5.59,Price: ,1.75,Daniel Brands, 2395076   size:5.84,Price: ,2.26,okok
1.119099095, Sport: ,Tennis, Time: ,Sat Jun 06 13:45:00 CEST 2015, Time: ,Sat Jun 06 13:45:00 CEST 2015, Event: ,D Evans v Agar, Favorite: ,Ryan Agar, 8241928   size:135.82,Price: ,1.07,xx
1.119098284, Sport: ,Tennis, Time: ,Sat Jun 06 10:45:00 CEST 2015, Time: ,Sat Jun 06 10:45:00 CEST 2015, Event: ,Matveenko v Heras, Favorite: ,Patricio Heras, 8461064   size:4.49,Price: ,1.04,okok
1.119098713, Sport: ,Tennis, Time: ,Sat Jun 06 15:45:00 CEST 2015, Time: ,Sat Jun 06 15:45:00 CEST 2015, Event: ,Jor Thompson v Hernych, Favorite: ,Jan Hernych, 2249394   size:6.22,Price: ,1.38,Jordan Thompson, 8145584   size:30.5,Price: ,3.1,okok
1.119098278, Sport: ,Tennis, Time: ,Sat Jun 06 09:00:00 CEST 2015, Time: ,Sat Jun 06 09:00:00 CEST 2015, Event: ,Yevseyev v Resnyanskiy, Favorite: ,Denis Yevseyev, 8304957   size:4.49,Price: ,1.04,Dmitry Resnyanskiy, 9453420   size:53.51,Price: ,1.08,okok
1.119090396, Sport: ,Tennis, Time: ,Sat Jun 06 12:00:00 CEST 2015, Time: ,Sat Jun 06 12:00:00 CEST 2015, Event: ,Kulichkova v Mar Sanchez, Favorite: ,Elizaveta Kulichkova, 7795296   size:3.66,Price: ,1.34,Maria Sanchez, 5374654   size:13.49,Price: ,3.8,xx
1.119098675, Sport: ,Tennis, Time: ,Sat Jun 06 13:30:00 CEST 2015, Time: ,Sat Jun 06 13:30:00 CEST 2015, Event: ,Marach v Mahut, Favorite: ,Nicolas Mahut, 2257317   size:2.55,Price: ,1.07,Oliver Marach, 2319549   size:21.9,Price: ,9.8,okok
1.119098556, Sport: ,Tennis, Time: ,Sat Jun 06 10:00:00 CEST 2015, Time: ,Sat Jun 06 10:00:00 CEST 2015, Event: ,P Sousa v F Gil, Favorite: ,Frederico Gil, 2387270   size:2.99,Price: ,1.64,xx
1.119092738, Sport: ,Tennis, Time: ,Sat Jun 06 16:00:00 CEST 2015, Time: ,Sat Jun 06 16:00:00 CEST 2015, Event: ,P Lorenzi v Kovalik, Favorite: ,Paolo Lorenzi, 2345099   size:38.67,Price: ,1.43,Jozef Kovalik, 7287668   size:5.0,Price: ,3.05,xx
1.119098718, Sport: ,Tennis, Time: ,Sat Jun 06 16:00:00 CEST 2015, Time: ,Sat Jun 06 16:00:00 CEST 2015, Event: ,K De Schepper v Jarry, Favorite: ,Kenny De Schepper, 5617034   size:2.55,Price: ,1.16,Nicolas Jarry, 8260515   size:5.86,Price: ,5.6,okok
1.119092906, Sport: ,Tennis, Time: ,Sat Jun 06 15:00:00 CEST 2015, Time: ,Sat Jun 06 15:00:00 CEST 2015, Event: ,L Zhu v Sramkova, Favorite: ,Lin Zhu, 8714569   size:14.81,Price: ,1.89,Rebecca Sramkova, 9151665   size:4.05,Price: ,2.02,okok
1.119098290, Sport: ,Tennis, Time: ,Sat Jun 06 12:30:00 CEST 2015, Time: ,Sat Jun 06 12:30:00 CEST 2015, Event: ,T Monteiro v Korshunov, Favorite: ,Thiago Monteiro, 8326656   size:36.2,Price: ,1.03,Stanislav Korshunov, 9564796   size:114.32,Price: ,1.07,okok
1.119092904, Sport: ,Tennis, Time: ,Sat Jun 06 15:00:00 CEST 2015, Time: ,Sat Jun 06 15:00:00 CEST 2015, Event: ,Y Chan v Parra Santonja, Favorite: ,Yung-Jan Chan, 8352773   size:6.12,Price: ,1.42,Arantxa Parra Santonja, 2309573   size:22.43,Price: ,2.9,xx
1.119098695, Sport: ,Tennis, Time: ,Sat Jun 06 15:15:00 CEST 2015, Time: ,Sat Jun 06 15:15:00 CEST 2015, Event: ,Mannapov v de Bakker, Favorite: ,Thiemo De Bakker, 8720949   size:141.71,Price: ,1.03,Alexander Mannapov, 7413020   size:98.6,Price: ,1.08,okok
1.119098574, Sport: ,Tennis, Time: ,Sat Jun 06 10:00:00 CEST 2015, Time: ,Sat Jun 06 10:00:00 CEST 2015, Event: ,Karatsev v Boutillier, Favorite: ,Aslan Karatsev, 7659748   size:2.89,Price: ,1.75,Remi Boutillier, 8596370   size:2.39,Price: ,2.12,xx
1.119098294, Sport: ,Tennis, Time: ,Sat Jun 06 10:45:00 CEST 2015, Time: ,Sat Jun 06 10:45:00 CEST 2015, Event: ,Dubarenco v Dunenkov, Favorite: ,Valentine Dunenkov, 9564790   size:92.81,Price: ,1.04,xx
1.119098295, Sport: ,Tennis, Time: ,Sat Jun 06 12:30:00 CEST 2015, Time: ,Sat Jun 06 12:30:00 CEST 2015, Event: ,Rybenkov v Sakamoto, Favorite: ,Pedro Sakamoto, 8304915   size:36.2,Price: ,1.03,okok
1.119087958, Sport: ,Tennis, Time: ,Sat Jun 06 10:30:00 CEST 2015, Time: ,Sat Jun 06 10:30:00 CEST 2015, Event: ,Bonaventure v Ostapenko, Favorite: ,Jelena Ostapenko, 8827537   size:8.24,Price: ,1.26,Ysaline Bonaventure, 6390243   size:7.22,Price: ,4.8,okok
1.119098568, Sport: ,Tennis, Time: ,Sat Jun 06 10:00:00 CEST 2015, Time: ,Sat Jun 06 10:00:00 CEST 2015, Event: ,Hs Lee v Cammarata, Favorite: ,Alberto Cammarata, 8750024   size:4.49,Price: ,1.04,okok
1.119098689, Sport: ,Tennis, Time: ,Sat Jun 06 14:00:00 CEST 2015, Time: ,Sat Jun 06 14:00:00 CEST 2015, Event: ,A Sitak v Zopp, Favorite: ,Jurgen Zopp, 5223695   size:7.94,Price: ,1.2,Artem Sitak, 2912328   size:9.89,Price: ,5.0,okok
