1.119087889, Sport: ,Basketball, Time: ,Sun Jun 07 15:00:00 CEST 2015, Time: ,Sun Jun 07 15:00:00 CEST 2015, Event: ,Brose v Bayern Munchen, Favorite: ,Brose, 2120593   size:4.7,Price: ,1.4,Bayern Munchen, 5859175   size:5.0,Price: ,3.2,xx
1.119053151, Sport: ,Baseball, Time: ,Sun Jun 07 19:10:00 CEST 2015, Time: ,Sun Jun 07 19:10:00 CEST 2015, Event: ,SD @ CIN, Favorite: ,Cincinnati (J Cueto), 2942962   size:470.0,Price: ,1.56,San Diego (O Despaigne), 8643885   size:206.13,Price: ,2.56,okok
1.119057235, Sport: ,Basketball, Time: ,Sun Jun 07 20:00:00 CEST 2015, Time: ,Sun Jun 07 20:00:00 CEST 2015, Event: ,Turow Zgorzelec v Zielona Gora, Favorite: ,Turow Zgorzelec, 1434930   size:2.55,Price: ,1.45,Zielona Gora, 6703617   size:39.47,Price: ,2.86,xx
1.119053199, Sport: ,Baseball, Time: ,Sun Jun 07 20:10:00 CEST 2015, Time: ,Sun Jun 07 20:10:00 CEST 2015, Event: ,TEX @ KC, Favorite: ,Kansas City (J Guthrie), 6582227   size:92.0,Price: ,1.79,Texas (C Lewis), 4634645   size:311.0,Price: ,2.14,okok
1.119104669, Sport: ,Tennis, Time: ,Sun Jun 07 14:30:00 CEST 2015, Time: ,Sun Jun 07 14:30:00 CEST 2015, Event: ,Montanes v T Daniel, Favorite: ,Albert Montanes, 2263599   size:8.24,Price: ,1.86,Taro Daniel, 8173434   size:55.75,Price: ,1.92,xx
1.119105318, Sport: ,Tennis, Time: ,Sun Jun 07 14:30:00 CEST 2015, Time: ,Sun Jun 07 14:30:00 CEST 2015, Event: ,Bemelmans v K De Schepper, Favorite: ,Kenny De Schepper, 5617034   size:2.5,Price: ,1.86,Ruben Bemelmans, 2831873   size:8.39,Price: ,1.94,okok
1.119100909, Sport: ,Tennis, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,N Barrientos v Collarini, Favorite: ,Nicolas Barrientos, 7083200   size:21.97,Price: ,1.82,Andrea Collarini, 8284716   size:68.68,Price: ,2.06,okok
1.119104749, Sport: ,Tennis, Time: ,Sun Jun 07 11:45:00 CEST 2015, Time: ,Sun Jun 07 11:45:00 CEST 2015, Event: ,Grigelis v Elgin, Favorite: ,Mikhail Elgin, 5844509   size:35.51,Price: ,1.21,Laurynas Grigelis, 5707016   size:4.33,Price: ,1.52,okok
1.119103583, Sport: ,Tennis, Time: ,Sun Jun 07 13:00:00 CEST 2015, Time: ,Sun Jun 07 13:00:00 CEST 2015, Event: ,Choinski v Berrer, Favorite: ,Michael Berrer, 2263684   size:68.27,Price: ,1.14,Jan Choinski, 8679715   size:10.49,Price: ,7.0,okok
1.119105443, Sport: ,Tennis, Time: ,Sun Jun 07 14:30:00 CEST 2015, Time: ,Sun Jun 07 14:30:00 CEST 2015, Event: ,Bolt v Bambridge, Favorite: ,Alex Bolt, 7283330   size:3.38,Price: ,1.48,Luke Bambridge, 7364198   size:18.2,Price: ,3.05,okok
1.119105566, Sport: ,Tennis, Time: ,Sun Jun 07 14:30:00 CEST 2015, Time: ,Sun Jun 07 14:30:00 CEST 2015, Event: ,Ma Willis v Kutrovsky, Favorite: ,Dimitar Kutrovsky, 6163094   size:2.54,Price: ,1.83,okok
1.119090572, Sport: ,Handball, Time: ,Sun Jun 07 15:00:00 CEST 2015, Time: ,Sun Jun 07 15:00:00 CEST 2015, Event: ,Germany (W) v Russia (W), Favorite: ,Germany (W), 6257654   size:3.14,Price: ,1.53,Russia (W), 6257694   size:7.45,Price: ,2.98,Draw, 330157   size:69.26,Price: ,8.0,xx
1.119105326, Sport: ,Tennis, Time: ,Sun Jun 07 12:45:00 CEST 2015, Time: ,Sun Jun 07 12:45:00 CEST 2015, Event: ,Satral v Neis, Favorite: ,Fabricio Neis, 8326758   size:140.68,Price: ,1.07,xx
1.119092752, Sport: ,Tennis, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,Mattek Sands/Safarova v Dellacqua/Shvedova, Favorite: ,Mattek Sands/Safarova, 9166732   size:175.26,Price: ,1.64,Dellacqua/Shvedova, 9451227   size:79.41,Price: ,2.32,okok
1.119090574, Sport: ,Handball, Time: ,Sun Jun 07 15:00:00 CEST 2015, Time: ,Sun Jun 07 15:00:00 CEST 2015, Event: ,Spain (W) v Slovakia (W), Favorite: ,Spain (W), 6257933   size:237.36,Price: ,1.01,Draw, 330157   size:2.68,Price: ,22.0,Slovakia (W), 6257931   size:2.68,Price: ,27.0,okok
1.119105646, Sport: ,Tennis, Time: ,Sun Jun 07 16:15:00 CEST 2015, Time: ,Sun Jun 07 16:15:00 CEST 2015, Event: ,B Mitchell v Smethurst, Favorite: ,Benjamin Mitchell, 4822932   size:3.5,Price: ,1.33,Daniel Smethurst, 7364223   size:41.03,Price: ,2.94,xx
1.119090576, Sport: ,Handball, Time: ,Sun Jun 07 17:15:00 CEST 2015, Time: ,Sun Jun 07 17:15:00 CEST 2015, Event: ,Croatia (W) v Sweden (W), Favorite: ,Croatia (W), 6257930   size:2.38,Price: ,1.95,Sweden (W), 5987068   size:2.02,Price: ,2.3,Draw, 330157   size:69.28,Price: ,7.6,xx
1.119090575, Sport: ,Handball, Time: ,Sun Jun 07 17:00:00 CEST 2015, Time: ,Sun Jun 07 17:00:00 CEST 2015, Event: ,France (W) v Slovenia (W), Favorite: ,France (W), 6257658   size:237.36,Price: ,1.01,Slovenia (W), 6257927   size:69.02,Price: ,13.0,Draw, 330157   size:68.93,Price: ,18.0,okok
1.119105361, Sport: ,Tennis, Time: ,Sun Jun 07 12:30:00 CEST 2015, Time: ,Sun Jun 07 12:30:00 CEST 2015, Event: ,Hernych v P Mathieu, Favorite: ,Paul-Henri Mathieu, 8259186   size:2.55,Price: ,1.71,Jan Hernych, 2249394   size:2.55,Price: ,2.26,xx
1.119100958, Sport: ,Tennis, Time: ,Sun Jun 07 11:00:00 CEST 2015, Time: ,Sun Jun 07 11:00:00 CEST 2015, Event: ,Du Brown v Zhyrmont, Favorite: ,Dustin Brown, 4486603   size:26.97,Price: ,1.21,Dzmitry Zhyrmont, 7366760   size:15.38,Price: ,5.2,okok
