1.119117466, Sport: ,Basketball, Time: ,Wed Jun 10 20:45:00 CEST 2015, Time: ,Wed Jun 10 20:45:00 CEST 2015, Event: ,Armani Milano v Dinamo Sassari, Favorite: ,Armani Milano, 952727   size:326.62,Price: ,1.21,Dinamo Sassari, 5520916   size:6.19,Price: ,5.2,xx
1.118847371, Sport: ,Rugby Union, Time: ,Wed Jun 10 20:30:00 CEST 2015, Time: ,Wed Jun 10 20:30:00 CEST 2015, Event: ,New Zealand U20 v Ireland U20, Favorite: ,New Zealand U20, 7323988   size:7.05,Price: ,1.05,Ireland U20, 2880315   size:17.1,Price: ,17.5,Draw, 246289   size:56.31,Price: ,50.0,okok
1.119121983, Sport: ,Tennis, Time: ,Thu Jun 11 05:00:00 CEST 2015, Time: ,Thu Jun 11 05:00:00 CEST 2015, Event: ,Ling Zhang v F Y Xun, Favorite: ,Ling Zhang, 4182952   size:2.54,Price: ,1.32,Fang Ying Xun, 9456616   size:2.52,Price: ,3.5,xx
1.119053573, Sport: ,Baseball, Time: ,Thu Jun 11 04:10:00 CEST 2015, Time: ,Thu Jun 11 04:10:00 CEST 2015, Event: ,ARI @ LAD, Favorite: ,LA Dodgers (B Anderson), 9389898   size:111.7,Price: ,1.57,Arizona (J Hellickson), 9385116   size:5.0,Price: ,2.66,okok
1.119053493, Sport: ,Baseball, Time: ,Thu Jun 11 01:00:00 CEST 2015, Time: ,Thu Jun 11 01:00:00 CEST 2015, Event: ,BOS @ BAL, Favorite: ,Baltimore (W Chen), 6298659   size:503.48,Price: ,1.89,Boston (R Porcello), 9385112   size:100.89,Price: ,2.04,okok
1.119040530, Sport: ,Basketball, Time: ,Wed Jun 10 20:05:00 CEST 2015, Time: ,Wed Jun 10 20:05:00 CEST 2015, Event: ,Maccabi Tel Aviv v Hapoel Eilat, Favorite: ,Maccabi Tel Aviv, 266273   size:457.26,Price: ,1.15,Hapoel Eilat, 7758974   size:46.54,Price: ,5.8,xx
1.119128060, Sport: ,Tennis, Time: ,Thu Jun 11 04:00:00 CEST 2015, Time: ,Thu Jun 11 04:00:00 CEST 2015, Event: ,K Ahn v C Liu, Favorite: ,Kristie Ahn, 7445679   size:2.54,Price: ,1.45,Chang Liu, 7656823   size:5.74,Price: ,2.76,okok
1.119066844, Sport: ,Basketball, Time: ,Thu Jun 11 05:00:00 CEST 2015, Time: ,Thu Jun 11 05:00:00 CEST 2015, Event: ,Vietnam v Thailand, Favorite: ,Thailand, 4030991   size:4.99,Price: ,1.03,Vietnam, 9555589   size:907.07,Price: ,1.1,okok
1.119073018, Sport: ,Handball, Time: ,Wed Jun 10 20:00:00 CEST 2015, Time: ,Wed Jun 10 20:00:00 CEST 2015, Event: ,Netherlands v Croatia, Favorite: ,Croatia, 620377   size:19.64,Price: ,1.03,Netherlands, 626085   size:69.13,Price: ,14.0,Draw, 330157   size:69.01,Price: ,18.0,okok
1.119128046, Sport: ,Tennis, Time: ,Thu Jun 11 04:00:00 CEST 2015, Time: ,Thu Jun 11 04:00:00 CEST 2015, Event: ,S Lee v Y W Jeong, Favorite: ,So-Ra Lee, 8839149   size:2.55,Price: ,1.11,Yeong Won Jeong, 9580443   size:15.43,Price: ,6.6,okok
1.119053509, Sport: ,Baseball, Time: ,Thu Jun 11 01:05:00 CEST 2015, Time: ,Thu Jun 11 01:05:00 CEST 2015, Event: ,MIL @ PIT, Favorite: ,Pittsburgh (C Morton), 3966279   size:95.0,Price: ,1.73,Milwaukee (K Lohse), 7179919   size:256.83,Price: ,2.32,okok
1.119072584, Sport: ,Handball, Time: ,Wed Jun 10 20:00:00 CEST 2015, Time: ,Wed Jun 10 20:00:00 CEST 2015, Event: ,Switzerland v FYROM, Favorite: ,FYROM, 5376760   size:13.5,Price: ,1.57,Switzerland, 624131   size:53.38,Price: ,3.2,Draw, 330157   size:15.48,Price: ,9.0,okok
1.119053565, Sport: ,Baseball, Time: ,Thu Jun 11 04:05:00 CEST 2015, Time: ,Thu Jun 11 04:05:00 CEST 2015, Event: ,TEX @ OAK, Favorite: ,Oakland (J Hahn), 9381400   size:4.99,Price: ,1.74,Texas (Y Gallardo), 9378796   size:105.43,Price: ,2.32,okok
1.119087893, Sport: ,Basketball, Time: ,Wed Jun 10 20:00:00 CEST 2015, Time: ,Wed Jun 10 20:00:00 CEST 2015, Event: ,Bayern Munchen v Brose, Favorite: ,Bayern Munchen, 5859175   size:2.65,Price: ,1.44,Brose, 2120593   size:2.9,Price: ,3.2,xx
1.119073518, Sport: ,Handball, Time: ,Wed Jun 10 20:00:00 CEST 2015, Time: ,Wed Jun 10 20:00:00 CEST 2015, Event: ,Montenegro v Serbia, Favorite: ,Serbia, 2138737   size:4.81,Price: ,1.89,Montenegro, 2261747   size:2.63,Price: ,2.54,Draw, 330157   size:2.73,Price: ,8.6,xx
