1.119008364, Sport: ,Basketball, Time: ,Fri Jun 12 01:00:00 CEST 2015, Time: ,Fri Jun 12 01:00:00 CEST 2015, Event: ,Phoenix @ New York, Favorite: ,Phoenix, 13128   size:306.17,Price: ,1.69,New York, 13106   size:2.7,Price: ,2.34,x
1.119008374, Sport: ,Basketball, Time: ,Fri Jun 12 02:00:00 CEST 2015, Time: ,Fri Jun 12 02:00:00 CEST 2015, Event: ,Seattle @ Minnesota, Favorite: ,Minnesota, 13118   size:40.0,Price: ,1.11,Seattle, 13130   size:68.33,Price: ,8.2,ok
1.119008360, Sport: ,Basketball, Time: ,Fri Jun 12 01:00:00 CEST 2015, Time: ,Fri Jun 12 01:00:00 CEST 2015, Event: ,Chicago @ Connecticut, Favorite: ,Chicago, 13117   size:4.47,Price: ,1.46,Connecticut, 332194   size:2.64,Price: ,2.96,x
1.119008368, Sport: ,Basketball, Time: ,Fri Jun 12 01:00:00 CEST 2015, Time: ,Fri Jun 12 01:00:00 CEST 2015, Event: ,San Antonio @ Atlanta, Favorite: ,Atlanta, 13114   size:5.17,Price: ,1.35,San Antonio, 13121   size:5.24,Price: ,3.45,ok
1.119053629, Sport: ,Baseball, Time: ,Fri Jun 12 01:10:00 CEST 2015, Time: ,Fri Jun 12 01:10:00 CEST 2015, Event: ,LAA @ TB, Favorite: ,LA Angels (G Richards), 5741327   size:9.03,Price: ,1.95,Tampa Bay (A Colome), 7310998   size:110.12,Price: ,2.02,ok
1.119053605, Sport: ,Baseball, Time: ,Fri Jun 12 01:05:00 CEST 2015, Time: ,Fri Jun 12 01:05:00 CEST 2015, Event: ,BOS @ BAL, Favorite: ,Boston (W Miley), 9389894   size:132.18,Price: ,1.99,Baltimore (C Tillman), 4079994   size:5.0,Price: ,2.0,x
1.119111049, Sport: ,Basketball, Time: ,Fri Jun 12 02:00:00 CEST 2015, Time: ,Fri Jun 12 02:00:00 CEST 2015, Event: ,Penarol v Gecr Indalo, Favorite: ,Penarol, 6719113   size:267.21,Price: ,1.81,Gecr Indalo, 6719074   size:524.69,Price: ,2.04,x
1.119130655, Sport: ,Tennis, Time: ,Fri Jun 12 06:00:00 CEST 2015, Time: ,Fri Jun 12 06:00:00 CEST 2015, Event: ,F Xun v K Chang, Favorite: ,Kai-Chen Chang, 8887166   size:2.55,Price: ,1.12,Fang Ying Xun, 9456616   size:4.8,Price: ,6.2,okokok
1.119130657, Sport: ,Tennis, Time: ,Fri Jun 12 04:00:00 CEST 2015, Time: ,Fri Jun 12 04:00:00 CEST 2015, Event: ,So Ra Lee v N Han, Favorite: ,Na Lae Han, 8842691   size:7.87,Price: ,1.5,So Ra Lee, 6670618   size:5.54,Price: ,2.68,xxx
1.119053621, Sport: ,Baseball, Time: ,Fri Jun 12 01:10:00 CEST 2015, Time: ,Fri Jun 12 01:10:00 CEST 2015, Event: ,COL @ MIA, Favorite: ,Miami (D Phelps), 9407815   size:35.87,Price: ,1.8,Colorado (C Rusin), 9565222   size:17.51,Price: ,2.24,ok
1.119053597, Sport: ,Baseball, Time: ,Thu Jun 11 21:35:00 CEST 2015, Time: ,Thu Jun 11 21:35:00 CEST 2015, Event: ,TEX @ OAK, Favorite: ,Oakland (S Kazmir), 8431596   size:593.49,Price: ,1.63,Texas (C Gonzalez), 9558038   size:372.48,Price: ,2.5,ok
1.119053613, Sport: ,Baseball, Time: ,Fri Jun 12 01:10:00 CEST 2015, Time: ,Fri Jun 12 01:10:00 CEST 2015, Event: ,SF @ NYM, Favorite: ,NY Mets (J Niese), 3340416   size:98.0,Price: ,1.86,San Francisco (T Lincecum), 2403237   size:62.0,Price: ,2.1,ok
1.119121982, Sport: ,Tennis, Time: ,Fri Jun 12 05:30:00 CEST 2015, Time: ,Fri Jun 12 05:30:00 CEST 2015, Event: ,C W Hsu v A Omae, Favorite: ,Akiko Omae, 7749858   size:5.78,Price: ,1.33,Ching Wen Hsu, 7920996   size:10.22,Price: ,2.74,xxx
1.119130653, Sport: ,Tennis, Time: ,Fri Jun 12 05:30:00 CEST 2015, Time: ,Fri Jun 12 05:30:00 CEST 2015, Event: ,A Okuno v E Sema, Favorite: ,Erika Sema, 4151738   size:2.55,Price: ,1.44,Ayaka Okuno, 7750096   size:7.11,Price: ,2.94,ok
1.119130656, Sport: ,Tennis, Time: ,Fri Jun 12 05:30:00 CEST 2015, Time: ,Fri Jun 12 05:30:00 CEST 2015, Event: ,Minokoshi v M Inoue, Favorite: ,Miyabi Inoue, 8839053   size:5.0,Price: ,1.38,Mai Minokoshi, 7657300   size:2.39,Price: ,3.35,ok
