1.119155939, Sport: ,Tennis, Time: ,Sun Jun 14 08:00:00 CEST 2015, Time: ,Sun Jun 14 08:00:00 CEST 2015, Event: ,Mugevicius v Khabibulin, Favorite: ,Timur Khabibulin, 8304959   size:26.63,Price: ,1.07,x
1.119076505, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 14 00:30:00 CEST 2015, Time: ,Sun Jun 14 00:30:00 CEST 2015, Event: ,Benitez v Collard, Favorite: ,Clay Collard, 8793344   size:351.6,Price: ,1.41,Gabriel Benitez, 8991649   size:4.46,Price: ,3.05,x
1.119149426, Sport: ,Baseball, Time: ,Sun Jun 14 01:15:00 CEST 2015, Time: ,Sun Jun 14 01:15:00 CEST 2015, Event: ,NYY @ BAL, Favorite: ,Baltimore (B Norris), 7545089   size:301.23,Price: ,1.92,NY Yankees (CC Sabathia), 8431598   size:97.0,Price: ,2.02,ok
1.119122006, Sport: ,Boxing, Time: ,Sun Jun 14 01:00:00 CEST 2015, Time: ,Sun Jun 14 01:00:00 CEST 2015, Event: ,Redkach v Zlaticanin, Favorite: ,Ivan Redkach, 9587737   size:2.55,Price: ,1.72,Dejan Zlaticanin, 8625422   size:2.41,Price: ,2.42,Draw, 31162   size:2.76,Price: ,25.0,x
1.119084222, Sport: ,Baseball, Time: ,Sun Jun 14 01:15:00 CEST 2015, Time: ,Sun Jun 14 01:15:00 CEST 2015, Event: ,CIN @ CHC, Favorite: ,Chicago Cubs (K Hendricks), 8688427   size:549.33,Price: ,1.66,Cincinnati (M Leake), 4640134   size:7.71,Price: ,2.42,ok
1.119156262, Sport: ,Tennis, Time: ,Sun Jun 14 07:00:00 CEST 2015, Time: ,Sun Jun 14 07:00:00 CEST 2015, Event: ,Ledovskikh v Betov, Favorite: ,Sergey Betov, 6669343   size:26.63,Price: ,1.07,x
1.119076661, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 14 02:00:00 CEST 2015, Time: ,Sun Jun 14 02:00:00 CEST 2015, Event: ,Perez v Williams, Favorite: ,Alejandro Perez, 8991657   size:2.64,Price: ,1.62,Patrick Williams, 8478688   size:2.69,Price: ,2.42,x
1.119076581, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 14 02:00:00 CEST 2015, Time: ,Sun Jun 14 02:00:00 CEST 2015, Event: ,Escudero v Dober, Favorite: ,Drew Dober, 8066975   size:2.69,Price: ,1.66,Efrain Escudero, 4062818   size:5.31,Price: ,2.4,x
1.119128496, Sport: ,Ice Hockey, Time: ,Sun Jun 14 02:05:00 CEST 2015, Time: ,Sun Jun 14 02:05:00 CEST 2015, Event: ,Chicago @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:316.0,Price: ,2.42,Chicago, 2109831   size:2.0,Price: ,2.94,Tie, 60104   size:119.97,Price: ,3.75,x
1.119076576, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 14 02:00:00 CEST 2015, Time: ,Sun Jun 14 02:00:00 CEST 2015, Event: ,Cejudo v Camus, Favorite: ,Henry Cejudo, 8800381   size:1120.2,Price: ,1.1,Chico Camus, 6568047   size:46.17,Price: ,8.6,ok
1.119076674, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 14 02:00:00 CEST 2015, Time: ,Sun Jun 14 02:00:00 CEST 2015, Event: ,Trevino v Case, Favorite: ,Johnny Case, 8848341   size:4.81,Price: ,1.24,Francisco Trevino, 8381503   size:2.71,Price: ,4.6,ok
1.119084230, Sport: ,Baseball, Time: ,Sun Jun 14 01:15:00 CEST 2015, Time: ,Sun Jun 14 01:15:00 CEST 2015, Event: ,ARI @ SF, Favorite: ,San Francisco (R Vogelsong), 5504898   size:987.32,Price: ,1.7,Arizona (J Collmenter), 5544946   size:258.6,Price: ,2.24,x
1.119084166, Sport: ,Baseball, Time: ,Sat Jun 13 22:10:00 CEST 2015, Time: ,Sat Jun 13 22:10:00 CEST 2015, Event: ,WSH @ MIL, Favorite: ,Milwaukee (J Nelson), 7720203   size:7.55,Price: ,1.88,Washington (J Ross), 9565218   size:346.0,Price: ,2.1,x
1.119155923, Sport: ,Tennis, Time: ,Sun Jun 14 05:00:00 CEST 2015, Time: ,Sun Jun 14 05:00:00 CEST 2015, Event: ,R Ozaki v So Ra Lee, Favorite: ,Risa Ozaki, 7593284   size:5.77,Price: ,1.28,So Ra Lee, 6670618   size:5.77,Price: ,3.65,x
1.119155922, Sport: ,Tennis, Time: ,Sun Jun 14 05:00:00 CEST 2015, Time: ,Sun Jun 14 05:00:00 CEST 2015, Event: ,Sawayanagi v Sema, Favorite: ,Erika Sema, 4151738   size:2.87,Price: ,1.9,Riko Sawayanagi, 8839049   size:27.08,Price: ,2.02,ok
1.119084206, Sport: ,Baseball, Time: ,Sat Jun 13 22:10:00 CEST 2015, Time: ,Sat Jun 13 22:10:00 CEST 2015, Event: ,CHW @ TB, Favorite: ,Tampa Bay (C Archer), 6457877   size:298.4,Price: ,1.57,Chicago W Sox (J Samardzija), 9509338   size:2.21,Price: ,2.64,ok
1.119159769, Sport: ,Basketball, Time: ,Sun Jun 14 06:00:00 CEST 2015, Time: ,Sun Jun 14 06:00:00 CEST 2015, Event: ,Malaysia v Cambodia, Favorite: ,Cambodia, 9555584   size:165.76,Price: ,1.01,x
1.119041260, Sport: ,Boxing, Time: ,Sun Jun 14 03:00:00 CEST 2015, Time: ,Sun Jun 14 03:00:00 CEST 2015, Event: ,Wilder v Molina, Favorite: ,Deontay Wilder, 7179872   size:12734.38,Price: ,1.01,Eric Molina, 9546600   size:5.4,Price: ,46.0,Draw, 31162   size:5.0,Price: ,140.0,ok
1.119076798, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 14 04:00:00 CEST 2015, Time: ,Sun Jun 14 04:00:00 CEST 2015, Event: ,Rodriguez v Rosa, Favorite: ,Charles Rosa, 8889525   size:3.97,Price: ,1.47,Yair Rodriguez, 8991660   size:5.34,Price: ,2.86,x
1.119084150, Sport: ,Baseball, Time: ,Sat Jun 13 22:05:00 CEST 2015, Time: ,Sat Jun 13 22:05:00 CEST 2015, Event: ,PHI @ PIT, Favorite: ,Pittsburgh (G Cole), 7340947   size:961.27,Price: ,1.38,Philadelphia (S OSullivan), 8659035   size:286.56,Price: ,3.45,ok
1.119084174, Sport: ,Baseball, Time: ,Sat Jun 13 22:10:00 CEST 2015, Time: ,Sat Jun 13 22:10:00 CEST 2015, Event: ,SEA @ HOU, Favorite: ,Houston (C McHugh), 8480882   size:580.62,Price: ,1.77,Seattle (M Montgomery), 9547472   size:550.0,Price: ,2.22,x
1.119084190, Sport: ,Baseball, Time: ,Sat Jun 13 22:10:00 CEST 2015, Time: ,Sat Jun 13 22:10:00 CEST 2015, Event: ,KC @ STL, Favorite: ,St Louis (L Lynn), 5588102   size:2.71,Price: ,1.72,Kansas City (J Guthrie), 6582227   size:956.99,Price: ,2.28,x
1.119084182, Sport: ,Baseball, Time: ,Sat Jun 13 22:10:00 CEST 2015, Time: ,Sat Jun 13 22:10:00 CEST 2015, Event: ,ATL @ NYM, Favorite: ,NY Mets (J deGrom), 8530475   size:1026.96,Price: ,1.66,Atlanta (S Miller), 9385068   size:642.13,Price: ,2.36,x
1.119084142, Sport: ,Baseball, Time: ,Sat Jun 13 22:05:00 CEST 2015, Time: ,Sat Jun 13 22:05:00 CEST 2015, Event: ,MIN @ TEX, Favorite: ,Texas (C Lewis), 4634645   size:440.83,Price: ,1.82,Minnesota (M Pelfrey), 7177264   size:528.0,Price: ,2.14,ok
1.119084158, Sport: ,Baseball, Time: ,Sat Jun 13 22:08:00 CEST 2015, Time: ,Sat Jun 13 22:08:00 CEST 2015, Event: ,CLE @ DET, Favorite: ,Cleveland (C Carrasco), 4153692   size:171.08,Price: ,1.9,Detroit (J Verlander), 1189590   size:450.99,Price: ,2.06,ok
1.119078173, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 14 04:00:00 CEST 2015, Time: ,Sun Jun 14 04:00:00 CEST 2015, Event: ,Velasquez v Werdum, Favorite: ,Cain Velasquez, 3789400   size:64.89,Price: ,1.25,Fabricio Werdum, 4801015   size:56.9,Price: ,4.8,x
1.119076503, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 14 00:30:00 CEST 2015, Time: ,Sun Jun 14 00:30:00 CEST 2015, Event: ,Montano v Pendred, Favorite: ,Augusto Montano, 8991662   size:2.66,Price: ,1.75,Cathal Pendred, 7311769   size:311.38,Price: ,2.18,x
1.119084238, Sport: ,Baseball, Time: ,Sun Jun 14 04:05:00 CEST 2015, Time: ,Sun Jun 14 04:05:00 CEST 2015, Event: ,OAK @ LAA, Favorite: ,LA Angels (CJ Wilson), 8431601   size:504.16,Price: ,1.75,Oakland (K Graveman), 9385645   size:101.0,Price: ,2.24,ok
1.119106599, Sport: ,Rugby Union, Time: ,Sat Jun 13 21:00:00 CEST 2015, Time: ,Sat Jun 13 21:00:00 CEST 2015, Event: ,Stade Francais v Clermont, Favorite: ,Clermont, 1275770   size:7.11,Price: ,2.02,Stade Francais, 233949   size:121.23,Price: ,2.12,Draw, 246289   size:10.68,Price: ,24.0,x
1.119084198, Sport: ,Baseball, Time: ,Sat Jun 13 22:10:00 CEST 2015, Time: ,Sat Jun 13 22:10:00 CEST 2015, Event: ,COL @ MIA, Favorite: ,Miami (M Latos), 9381399   size:524.0,Price: ,1.77,Colorado (D Hale), 9515546   size:13.89,Price: ,2.24,ok
1.119077662, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 14 04:00:00 CEST 2015, Time: ,Sun Jun 14 04:00:00 CEST 2015, Event: ,Melendez v Alvarez, Favorite: ,Gilbert Melendez, 4654149   size:360.16,Price: ,1.59,Eddie Alvarez, 7644596   size:443.95,Price: ,2.4,x
1.119077321, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 14 04:00:00 CEST 2015, Time: ,Sun Jun 14 04:00:00 CEST 2015, Event: ,Torres v Hill, Favorite: ,Tecia Torres, 9082627   size:2.69,Price: ,1.35,Angela Hill, 9082629   size:6.4,Price: ,3.55,ok
1.119041031, Sport: ,Boxing, Time: ,Sun Jun 14 03:00:00 CEST 2015, Time: ,Sun Jun 14 03:00:00 CEST 2015, Event: ,Walters v Marriaga, Favorite: ,Nicholas Walters, 8912140   size:5.0,Price: ,1.22,Miguel Marriaga, 9546520   size:7.52,Price: ,5.8,Draw, 31162   size:4.33,Price: ,42.0,ok
1.119159763, Sport: ,Basketball, Time: ,Sun Jun 14 04:00:00 CEST 2015, Time: ,Sun Jun 14 04:00:00 CEST 2015, Event: ,Timor Leste v Vietnam, Favorite: ,Vietnam, 9555589   size:108.01,Price: ,1.01,Timor Leste, 9608056   size:110.51,Price: ,1.02,ok
1.119077325, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 14 04:00:00 CEST 2015, Time: ,Sun Jun 14 04:00:00 CEST 2015, Event: ,Gastelum v Marquardt, Favorite: ,Kelvin Gastelum, 7193003   size:4.71,Price: ,1.24,Nate Marquardt, 3991808   size:446.61,Price: ,4.8,ok
