1.119162395, Sport: ,Tennis, Time: ,Sun Jun 14 14:15:00 CEST 2015, Time: ,Sun Jun 14 14:15:00 CEST 2015, Event: ,Maria v Buyukakcay, Favorite: ,Cagla Buyukakcay, 3051579   size:174.02,Price: ,1.07,Tatjana Maria, 7299657   size:5.0,Price: ,1.16,x
1.119008387, Sport: ,Basketball, Time: ,Sun Jun 14 21:00:00 CEST 2015, Time: ,Sun Jun 14 21:00:00 CEST 2015, Event: ,Atlanta @ Connecticut, Favorite: ,Atlanta, 13114   size:2.69,Price: ,1.64,Connecticut, 332194   size:2.69,Price: ,2.4,x
1.119008384, Sport: ,Basketball, Time: ,Sun Jun 14 19:00:00 CEST 2015, Time: ,Sun Jun 14 19:00:00 CEST 2015, Event: ,Chicago @ Indiana, Favorite: ,Chicago, 13117   size:2.55,Price: ,1.82,Indiana, 13116   size:2.68,Price: ,2.1,ok
1.119159782, Sport: ,Basketball, Time: ,Sun Jun 14 14:00:00 CEST 2015, Time: ,Sun Jun 14 14:00:00 CEST 2015, Event: ,Singapore v Indonesia, Favorite: ,Singapore, 5767311   size:2.55,Price: ,1.24,Indonesia, 4096289   size:5.96,Price: ,4.6,x
1.119130085, Sport: ,Baseball, Time: ,Sun Jun 14 19:35:00 CEST 2015, Time: ,Sun Jun 14 19:35:00 CEST 2015, Event: ,NYY @ BAL, Favorite: ,Baltimore (M Wright), 9495701   size:3.59,Price: ,1.9,NY Yankees (A Warren), 6476458   size:69.07,Price: ,1.93,x
1.119130117, Sport: ,Baseball, Time: ,Sun Jun 14 20:10:00 CEST 2015, Time: ,Sun Jun 14 20:10:00 CEST 2015, Event: ,SEA @ HOU, Favorite: ,Houston (L McCullers), 9496284   size:110.69,Price: ,1.79,Seattle (R Elias), 8436207   size:86.56,Price: ,2.22,ok
1.118847832, Sport: ,Basketball, Time: ,Sun Jun 14 16:30:00 CEST 2015, Time: ,Sun Jun 14 16:30:00 CEST 2015, Event: ,Sweden (W) v Lithuania (W), Favorite: ,Sweden (W), 6427229   size:138.52,Price: ,1.77,Lithuania (W), 6427230   size:254.75,Price: ,2.2,x
1.119162386, Sport: ,Tennis, Time: ,Sun Jun 14 14:30:00 CEST 2015, Time: ,Sun Jun 14 14:30:00 CEST 2015, Event: ,K Bondarenko v Wickmayer, Favorite: ,Kateryna Bondarenko, 2291864   size:173.85,Price: ,1.07,Yanina Wickmayer, 2386943   size:5.0,Price: ,1.3,ok
1.118847871, Sport: ,Basketball, Time: ,Sun Jun 14 19:30:00 CEST 2015, Time: ,Sun Jun 14 19:30:00 CEST 2015, Event: ,Greece (W) v Turkey (W), Favorite: ,Turkey (W), 6469561   size:88.79,Price: ,1.25,Greece (W), 6427246   size:95.3,Price: ,4.2,ok
1.119008396, Sport: ,Basketball, Time: ,Sun Jun 14 23:00:00 CEST 2015, Time: ,Sun Jun 14 23:00:00 CEST 2015, Event: ,Seattle @ Los Angeles, Favorite: ,Los Angeles, 3213264   size:12.98,Price: ,1.46,Seattle, 13130   size:4.97,Price: ,2.8,x
1.119008399, Sport: ,Basketball, Time: ,Mon Jun 15 00:00:00 CEST 2015, Time: ,Mon Jun 15 00:00:00 CEST 2015, Event: ,Washington @ New York, Favorite: ,New York, 13106   size:4.87,Price: ,1.75,Washington, 13105   size:2.67,Price: ,2.16,x
