1.119121304, Sport: ,Basketball, Time: ,Wed Jun 17 03:00:00 CEST 2015, Time: ,Wed Jun 17 03:00:00 CEST 2015, Event: ,British Virgin Islands v Cayman Islands, Favorite: ,British Virgin Islands, 4819935   size:5.0,Price: ,1.04,Cayman Islands, 9582140   size:2618.61,Price: ,1.08,ok
1.119121301, Sport: ,Basketball, Time: ,Wed Jun 17 00:45:00 CEST 2015, Time: ,Wed Jun 17 00:45:00 CEST 2015, Event: ,Guyana v Bahamas, Favorite: ,Bahamas, 6425174   size:2.55,Price: ,1.06,Guyana, 9582143   size:2.55,Price: ,1.36,ok
1.119173724, Sport: ,Tennis, Time: ,Wed Jun 17 07:00:00 CEST 2015, Time: ,Wed Jun 17 07:00:00 CEST 2015, Event: ,M Ayukawa v J Choi, Favorite: ,Ji-Hee Choi, 8839153   size:5.13,Price: ,1.88,Mana Ayukawa, 7683134   size:5.05,Price: ,1.91,ok
1.119130381, Sport: ,Baseball, Time: ,Wed Jun 17 02:05:00 CEST 2015, Time: ,Wed Jun 17 02:05:00 CEST 2015, Event: ,LAD @ TEX, Favorite: ,LA Dodgers (B Anderson), 9389898   size:264.61,Price: ,1.77,Texas (C Gonzalez), 9558038   size:264.73,Price: ,2.2,x
1.119159667, Sport: ,Tennis, Time: ,Tue Jun 16 21:00:00 CEST 2015, Time: ,Tue Jun 16 21:00:00 CEST 2015, Event: ,Peya/Soares v Inglot/Murray, Favorite: ,Peya/Soares, 6504095   size:6.5,Price: ,1.6,Inglot/Murray, 9296439   size:37.94,Price: ,2.46,ok
1.119130341, Sport: ,Baseball, Time: ,Wed Jun 17 01:05:00 CEST 2015, Time: ,Wed Jun 17 01:05:00 CEST 2015, Event: ,CWS @ PIT, Favorite: ,Pittsburgh (C Morton), 3966279   size:95.43,Price: ,1.66,Chicago White Sox (J Quintana), 6401579   size:252.45,Price: ,2.4,ok
1.119130333, Sport: ,Baseball, Time: ,Wed Jun 17 01:05:00 CEST 2015, Time: ,Wed Jun 17 01:05:00 CEST 2015, Event: ,PHI @ BAL, Favorite: ,Baltimore (C Tillman), 4079994   size:280.1,Price: ,1.46,Philadelphia (J Williams), 8769955   size:355.89,Price: ,2.98,ok
1.119173693, Sport: ,Tennis, Time: ,Wed Jun 17 04:00:00 CEST 2015, Time: ,Wed Jun 17 04:00:00 CEST 2015, Event: ,R Ozaki v Miyamura, Favorite: ,Risa Ozaki, 7593284   size:14.15,Price: ,1.13,Miki Miyamura, 7445677   size:6.1,Price: ,5.8,ok
1.119130317, Sport: ,Baseball, Time: ,Tue Jun 16 21:45:00 CEST 2015, Time: ,Tue Jun 16 21:45:00 CEST 2015, Event: ,SEA @ SF, Favorite: ,Seattle (J Happ), 9520039   size:133.7,Price: ,1.86,San Francisco (T Lincecum), 2403237   size:368.5,Price: ,2.1,x
1.119092432, Sport: ,Basketball, Time: ,Wed Jun 17 04:00:00 CEST 2015, Time: ,Wed Jun 17 04:00:00 CEST 2015, Event: ,Connecticut @ Seattle, Favorite: ,Seattle, 13130   size:88.99,Price: ,1.67,Connecticut, 332194   size:3.05,Price: ,2.42,x
1.119121298, Sport: ,Basketball, Time: ,Tue Jun 16 22:15:00 CEST 2015, Time: ,Tue Jun 16 22:15:00 CEST 2015, Event: ,Barbados v St Vincent Grenadines, Favorite: ,Barbados, 9582188   size:5.0,Price: ,1.03,St Vincent Grenadines, 4846292   size:5.0,Price: ,1.04,x
1.119170403, Sport: ,Tennis, Time: ,Wed Jun 17 06:30:00 CEST 2015, Time: ,Wed Jun 17 06:30:00 CEST 2015, Event: ,S Lee v X Han, Favorite: ,Xinyun Han, 3172285   size:14.76,Price: ,1.48,So-Ra Lee, 8839149   size:3.49,Price: ,2.5,ok
1.119173738, Sport: ,Tennis, Time: ,Wed Jun 17 08:00:00 CEST 2015, Time: ,Wed Jun 17 08:00:00 CEST 2015, Event: ,Ismailov v Khachanov, Favorite: ,Karen Khachanov, 7659623   size:297.85,Price: ,1.35,Temur Ismailov, 8304044   size:95.51,Price: ,3.05,ok
1.119040627, Sport: ,Snooker, Time: ,Wed Jun 17 07:00:00 CEST 2015, Time: ,Wed Jun 17 07:00:00 CEST 2015, Event: ,Australia v Northern Ireland, Favorite: ,Australia, 5674298   size:445.03,Price: ,1.66,Northern Ireland, 5674271   size:3.28,Price: ,2.44,ok
1.119170407, Sport: ,Tennis, Time: ,Wed Jun 17 04:00:00 CEST 2015, Time: ,Wed Jun 17 04:00:00 CEST 2015, Event: ,Y Tanaka v Jia Lu, Favorite: ,Jia-Jing Lu, 9002321   size:6.38,Price: ,1.53,Yuuki Tanaka, 8839145   size:3.95,Price: ,2.48,ok
1.119142877, Sport: ,Basketball, Time: ,Wed Jun 17 03:00:00 CEST 2015, Time: ,Wed Jun 17 03:00:00 CEST 2015, Event: ,Golden State @ Cleveland, Favorite: ,Golden State, 13126   size:382.36,Price: ,1.59,Cleveland, 13112   size:55.39,Price: ,2.64,ok
