1.119184161, Sport: ,Tennis, Time: ,Thu Jun 18 05:00:00 CEST 2015, Time: ,Thu Jun 18 05:00:00 CEST 2015, Event: ,J Choi v X Han, Favorite: ,Xinyun Han, 3172285   size:14.79,Price: ,1.06,Ji Hee Choi, 7657226   size:2.16,Price: ,1.41,ok
1.119121323, Sport: ,Basketball, Time: ,Wed Jun 17 22:15:00 CEST 2015, Time: ,Wed Jun 17 22:15:00 CEST 2015, Event: ,Suriname v Bahamas, Favorite: ,Bahamas, 6425174   size:13.99,Price: ,1.07,Suriname, 9582187   size:2.55,Price: ,2.3,ok
1.119179708, Sport: ,Tennis, Time: ,Thu Jun 18 08:00:00 CEST 2015, Time: ,Thu Jun 18 08:00:00 CEST 2015, Event: ,Skugor v Albot, Favorite: ,Radu Albot, 6603898   size:3.76,Price: ,1.46,Franko Skugor, 2862839   size:3.15,Price: ,2.78,ok
1.119179705, Sport: ,Tennis, Time: ,Thu Jun 18 04:00:00 CEST 2015, Time: ,Thu Jun 18 04:00:00 CEST 2015, Event: ,Albanese v Y-H Lee, Favorite: ,Ya-Hsuan Lee, 8839147   size:2.55,Price: ,1.59,Lauren Albanese, 2309521   size:3.36,Price: ,2.38,ok
1.119187090, Sport: ,Baseball, Time: ,Thu Jun 18 01:05:00 CEST 2015, Time: ,Thu Jun 18 01:05:00 CEST 2015, Event: ,TB @ WSH, Favorite: ,Washington (J Zimmermann), 3830891   size:5.41,Price: ,1.64,Tampa Bay (S Geltz), 9641552   size:3.79,Price: ,2.34,x
1.119179707, Sport: ,Tennis, Time: ,Thu Jun 18 05:00:00 CEST 2015, Time: ,Thu Jun 18 05:00:00 CEST 2015, Event: ,Luangnam v N Han, Favorite: ,Na Lae Han, 8842691   size:2.79,Price: ,1.4,Nudnida Luangnam, 2301147   size:65.39,Price: ,3.4,x
1.119179706, Sport: ,Tennis, Time: ,Thu Jun 18 04:00:00 CEST 2015, Time: ,Thu Jun 18 04:00:00 CEST 2015, Event: ,S Kim v Jia Lu, Favorite: ,Jia Jing Lu, 9084837   size:106.82,Price: ,1.03,Sung Hee Kim, 9618533   size:15.31,Price: ,8.6,ok
1.119130461, Sport: ,Baseball, Time: ,Thu Jun 18 01:10:00 CEST 2015, Time: ,Thu Jun 18 01:10:00 CEST 2015, Event: ,DET @ CIN, Favorite: ,Detroit (D Price), 8753728   size:929.82,Price: ,1.95,Cincinnati (J Cueto), 2942962   size:5.0,Price: ,1.97,x
1.119130485, Sport: ,Baseball, Time: ,Thu Jun 18 02:10:00 CEST 2015, Time: ,Thu Jun 18 02:10:00 CEST 2015, Event: ,STL @ MIN, Favorite: ,St Louis (C Martinez), 7564048   size:480.0,Price: ,1.86,Minnesota (T Milone), 8767527   size:4.29,Price: ,2.08,x
1.119130453, Sport: ,Baseball, Time: ,Thu Jun 18 01:10:00 CEST 2015, Time: ,Thu Jun 18 01:10:00 CEST 2015, Event: ,BOS @ ATL, Favorite: ,Atlanta (A Wood), 7368437   size:368.12,Price: ,1.91,Boston (J Kelly), 8755664   size:398.76,Price: ,2.08,ok
1.119181923, Sport: ,Tennis, Time: ,Thu Jun 18 04:00:00 CEST 2015, Time: ,Thu Jun 18 04:00:00 CEST 2015, Event: ,Liu v Sema, Favorite: ,Erika Sema, 4151738   size:13.95,Price: ,1.64,Chang Liu, 7656823   size:6.27,Price: ,2.38,x
1.119130437, Sport: ,Baseball, Time: ,Thu Jun 18 01:05:00 CEST 2015, Time: ,Thu Jun 18 01:05:00 CEST 2015, Event: ,BAL @ PHI, Favorite: ,Baltimore (U Jimenez), 8432626   size:1324.94,Price: ,1.59,Philadelphia (K Correia), 9594872   size:341.0,Price: ,2.52,ok
1.119130517, Sport: ,Baseball, Time: ,Thu Jun 18 04:10:00 CEST 2015, Time: ,Thu Jun 18 04:10:00 CEST 2015, Event: ,SF @ SEA, Favorite: ,Seattle (F Hernandez), 1216734   size:247.72,Price: ,1.76,San Francisco (M Bumgarner), 4171027   size:97.0,Price: ,2.26,ok
1.119182136, Sport: ,Tennis, Time: ,Thu Jun 18 05:00:00 CEST 2015, Time: ,Thu Jun 18 05:00:00 CEST 2015, Event: ,Okamura v Kwon, Favorite: ,Kyoka Okamura, 8887170   size:4.09,Price: ,1.15,Mi Jeong Kwon, 9571991   size:3.7,Price: ,6.2,ok
1.119040646, Sport: ,Snooker, Time: ,Thu Jun 18 09:00:00 CEST 2015, Time: ,Thu Jun 18 09:00:00 CEST 2015, Event: ,Republic of Ireland v Germany, Favorite: ,Republic of Ireland, 5674272   size:2.55,Price: ,1.19,Germany, 5674278   size:36.71,Price: ,4.8,ok
1.119121338, Sport: ,Basketball, Time: ,Thu Jun 18 00:45:00 CEST 2015, Time: ,Thu Jun 18 00:45:00 CEST 2015, Event: ,St Vincent Grenadines v Virgin Islands, Favorite: ,Virgin Islands, 2512082   size:5.0,Price: ,1.04,St Vincent Grenadines, 4846292   size:5.77,Price: ,1.14,ok
1.119040640, Sport: ,Snooker, Time: ,Thu Jun 18 07:00:00 CEST 2015, Time: ,Thu Jun 18 07:00:00 CEST 2015, Event: ,Australia v Poland, Favorite: ,Australia, 5674298   size:2.55,Price: ,1.09,Poland, 5674281   size:36.19,Price: ,6.6,ok
1.119040641, Sport: ,Snooker, Time: ,Thu Jun 18 07:00:00 CEST 2015, Time: ,Thu Jun 18 07:00:00 CEST 2015, Event: ,Wales v Northern Ireland, Favorite: ,Wales, 20129   size:2.55,Price: ,1.45,Northern Ireland, 5674271   size:9.03,Price: ,2.72,ok
1.119174323, Sport: ,Tennis, Time: ,Thu Jun 18 08:00:00 CEST 2015, Time: ,Thu Jun 18 08:00:00 CEST 2015, Event: ,Molchanov v Du Lee, Favorite: ,Duckhee Lee, 8505197   size:2.55,Price: ,1.73,Denys Molchanov, 3474265   size:2.55,Price: ,2.12,x
1.119173315, Sport: ,Basketball, Time: ,Thu Jun 18 02:00:00 CEST 2015, Time: ,Thu Jun 18 02:00:00 CEST 2015, Event: ,Quimsa v San Martin, Favorite: ,Quimsa, 6243645   size:7.54,Price: ,1.18,San Martin, 8861781   size:4.0,Price: ,5.5,ok
1.119040645, Sport: ,Snooker, Time: ,Thu Jun 18 09:00:00 CEST 2015, Time: ,Thu Jun 18 09:00:00 CEST 2015, Event: ,China B v Thailand, Favorite: ,Thailand, 20133   size:2.55,Price: ,1.61,China B, 9546432   size:2.55,Price: ,2.26,x
1.119040643, Sport: ,Snooker, Time: ,Thu Jun 18 07:00:00 CEST 2015, Time: ,Thu Jun 18 07:00:00 CEST 2015, Event: ,Pakistan v Qatar, Favorite: ,Pakistan, 5674280   size:2.55,Price: ,1.83,Qatar, 9546437   size:2.55,Price: ,1.91,ok
1.119130421, Sport: ,Baseball, Time: ,Thu Jun 18 01:05:00 CEST 2015, Time: ,Thu Jun 18 01:05:00 CEST 2015, Event: ,CHC @ CLE, Favorite: ,Cleveland (S Marcum), 9502352   size:298.28,Price: ,1.77,Chicago Cubs (T Wada), 8684321   size:470.99,Price: ,2.2,x
1.119181711, Sport: ,Tennis, Time: ,Thu Jun 18 04:00:00 CEST 2015, Time: ,Thu Jun 18 04:00:00 CEST 2015, Event: ,Ozaki v Lukic, Favorite: ,Risa Ozaki, 7593284   size:3.9,Price: ,1.3,Vojislava Lukic, 9028631   size:5.41,Price: ,3.7,ok
1.119130445, Sport: ,Baseball, Time: ,Thu Jun 18 01:07:00 CEST 2015, Time: ,Thu Jun 18 01:07:00 CEST 2015, Event: ,NYM @ TOR, Favorite: ,Toronto (D Hutchison), 6325405   size:143.7,Price: ,1.49,NY Mets (J Niese), 3340416   size:571.44,Price: ,2.9,ok
1.119121380, Sport: ,Basketball, Time: ,Thu Jun 18 03:00:00 CEST 2015, Time: ,Thu Jun 18 03:00:00 CEST 2015, Event: ,British Virgin Islands v Barbados, Favorite: ,British Virgin Islands, 4819935   size:5.0,Price: ,1.1,Barbados, 9582188   size:5.77,Price: ,1.11,x
1.119130501, Sport: ,Baseball, Time: ,Thu Jun 18 03:40:00 CEST 2015, Time: ,Thu Jun 18 03:40:00 CEST 2015, Event: ,LAA @ ARI, Favorite: ,Arizona (C Anderson), 8522020   size:8.83,Price: ,1.86,LA Angels (H Santiago), 8432634   size:264.0,Price: ,2.12,ok
1.119130429, Sport: ,Baseball, Time: ,Thu Jun 18 01:05:00 CEST 2015, Time: ,Thu Jun 18 01:05:00 CEST 2015, Event: ,MIA @ NYY, Favorite: ,NY Yankees (M Pineda), 8442736   size:350.62,Price: ,1.51,Miami (J Urena), 9521925   size:66.61,Price: ,2.88,ok
1.119130509, Sport: ,Baseball, Time: ,Thu Jun 18 04:05:00 CEST 2015, Time: ,Thu Jun 18 04:05:00 CEST 2015, Event: ,SD @ OAK, Favorite: ,Oakland (J Chavez), 8432625   size:358.36,Price: ,1.52,San Diego (O Despaigne), 8643885   size:350.0,Price: ,2.78,ok
1.119181852, Sport: ,Tennis, Time: ,Thu Jun 18 05:00:00 CEST 2015, Time: ,Thu Jun 18 05:00:00 CEST 2015, Event: ,K Chang v Ahn, Favorite: ,Kai Chen Chang, 4148124   size:3.59,Price: ,1.68,Kristie Ahn, 7445679   size:2.55,Price: ,2.2,ok
