1.119172208, Sport: ,Tennis, Time: ,Wed Jun 17 13:30:00 CEST 2015, Time: ,Wed Jun 17 13:30:00 CEST 2015, Event: ,Pironkova v Kerber, Favorite: ,Angelique Kerber, 2411840   size:110.42,Price: ,1.45,Tsvetana Pironkova, 2263606   size:7.67,Price: ,3.1,ok
1.119178717, Sport: ,Tennis, Time: ,Wed Jun 17 13:30:00 CEST 2015, Time: ,Wed Jun 17 13:30:00 CEST 2015, Event: ,G Simon v T Kokkinakis, Favorite: ,Gilles Simon, 2249345   size:9.12,Price: ,1.57,Thanasi Kokkinakis, 8172416   size:8.08,Price: ,2.74,ok
1.119173756, Sport: ,Tennis, Time: ,Wed Jun 17 13:15:00 CEST 2015, Time: ,Wed Jun 17 13:15:00 CEST 2015, Event: ,Bellotti v Pavlasek, Favorite: ,Adam Pavlasek, 8494652   size:6.04,Price: ,1.49,Riccardo Bellotti, 7533686   size:2.67,Price: ,3.0,ok
1.119159679, Sport: ,Tennis, Time: ,Wed Jun 17 13:30:00 CEST 2015, Time: ,Wed Jun 17 13:30:00 CEST 2015, Event: ,Bautista Agut/Troicki v Nestor/Paes, Favorite: ,Nestor/Paes, 7592382   size:4.44,Price: ,1.38,Bautista Agut/Troicki, 9348370   size:53.95,Price: ,3.25,ok
1.119178548, Sport: ,Tennis, Time: ,Wed Jun 17 13:30:00 CEST 2015, Time: ,Wed Jun 17 13:30:00 CEST 2015, Event: ,K Mladenovic v Bouchard, Favorite: ,Kristina Mladenovic, 3622052   size:29.67,Price: ,1.88,Eugenie Bouchard, 5704759   size:54.6,Price: ,2.08,ok
1.119174519, Sport: ,Tennis, Time: ,Wed Jun 17 12:00:00 CEST 2015, Time: ,Wed Jun 17 12:00:00 CEST 2015, Event: ,Lindell v Samper-Montana, Favorite: ,Christian Lindell, 4843189   size:3.76,Price: ,1.85,Jordi Samper-Montana, 8258998   size:5.55,Price: ,1.92,ok
1.119167013, Sport: ,Tennis, Time: ,Wed Jun 17 12:00:00 CEST 2015, Time: ,Wed Jun 17 12:00:00 CEST 2015, Event: ,Irigoyen v Krejcikova, Favorite: ,Maria Irigoyen, 2850757   size:19.54,Price: ,1.45,Barbora Krejcikova, 8784972   size:29.31,Price: ,2.0,ok
1.119174496, Sport: ,Tennis, Time: ,Wed Jun 17 11:00:00 CEST 2015, Time: ,Wed Jun 17 11:00:00 CEST 2015, Event: ,Ma Gonzalez v De Greef, Favorite: ,Maximo Gonzalez, 2489416   size:3.47,Price: ,1.36,Arthur De Greef, 7287672   size:25.03,Price: ,3.2,ok
1.119173760, Sport: ,Tennis, Time: ,Wed Jun 17 12:00:00 CEST 2015, Time: ,Wed Jun 17 12:00:00 CEST 2015, Event: ,F Mayer v St Johnson, Favorite: ,Steve Johnson, 4876706   size:2060.83,Price: ,1.44,Florian Mayer, 2249400   size:48.41,Price: ,3.2,x
1.119156992, Sport: ,Tennis, Time: ,Wed Jun 17 11:30:00 CEST 2015, Time: ,Wed Jun 17 11:30:00 CEST 2015, Event: ,F Arguello v Michalicka, Favorite: ,Facundo Arguello, 6129383   size:55.12,Price: ,1.58,Marek Michalicka, 7048682   size:8.44,Price: ,2.0,x
1.119172139, Sport: ,Tennis, Time: ,Wed Jun 17 12:00:00 CEST 2015, Time: ,Wed Jun 17 12:00:00 CEST 2015, Event: ,Garin v Mat Viola, Favorite: ,Matteo Viola, 4946664   size:14.83,Price: ,1.77,Christian Garin, 6670624   size:4.11,Price: ,2.16,ok
1.119172169, Sport: ,Tennis, Time: ,Wed Jun 17 12:00:00 CEST 2015, Time: ,Wed Jun 17 12:00:00 CEST 2015, Event: ,A Schmiedlova v Rybarikova, Favorite: ,Magdalena Rybarikova, 2548763   size:78.73,Price: ,1.72,Anna Karolina Schmiedlo, 9379842   size:5.37,Price: ,2.34,ok
1.119173643, Sport: ,Tennis, Time: ,Wed Jun 17 11:00:00 CEST 2015, Time: ,Wed Jun 17 11:00:00 CEST 2015, Event: ,Panova v Vikhlyantseva, Favorite: ,Natalia Vikhlyantseva, 9042370   size:4.75,Price: ,1.87,Alexandra Panova, 3220169   size:54.66,Price: ,2.06,ok
1.119172269, Sport: ,Tennis, Time: ,Wed Jun 17 12:00:00 CEST 2015, Time: ,Wed Jun 17 12:00:00 CEST 2015, Event: ,Larcher De Brito v A Ivanovic, Favorite: ,Ana Ivanovic, 2249841   size:1743.25,Price: ,1.15,Michelle Larcher de Bri, 9564237   size:53.63,Price: ,7.2,x
1.119174578, Sport: ,Tennis, Time: ,Wed Jun 17 13:00:00 CEST 2015, Time: ,Wed Jun 17 13:00:00 CEST 2015, Event: ,Rojer/Tecau v Brown/Struff, Favorite: ,Rojer/Tecau, 8176467   size:5.77,Price: ,1.31,Brown/Struff, 8597199   size:3.13,Price: ,3.1,ok
1.119176294, Sport: ,Tennis, Time: ,Wed Jun 17 12:00:00 CEST 2015, Time: ,Wed Jun 17 12:00:00 CEST 2015, Event: ,T Yang v Fratangelo, Favorite: ,Bjorn Fratangelo, 7593723   size:99.88,Price: ,1.38,Tsung-Hua Yang, 8259003   size:17.42,Price: ,3.2,x
