1.119547144, Sport: ,Soccer, Time: ,Sun Jul 19 23:30:00 CEST 2015, Time: ,Sun Jul 19 23:30:00 CEST 2015, Event: ,Aragua v Deportivo Petare, Favorite: ,Aragua, 3284244   size:3.19,Price: ,1.71,The Draw, 58805   size:13.97,Price: ,3.85,Deportivo Petare, 5264881   size:40.51,Price: ,5.5,x
1.119525997, Sport: ,Volleyball, Time: ,Mon Jul 20 01:05:00 CEST 2015, Time: ,Mon Jul 20 01:05:00 CEST 2015, Event: ,Argentina v Colombia, Favorite: ,Colombia, 9940612   size:132.06,Price: ,1.01,x
1.119583914, Sport: ,Basketball, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Serbia U20 v Spain U20, Favorite: ,Serbia U20, 7407484   size:15.84,Price: ,1.01,Spain U20, 7407461   size:2.06,Price: ,1.5,ok
1.119584455, Sport: ,Tennis, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Mestach v Hibino, Favorite: ,An-Sophie Mestach, 4818332   size:2.63,Price: ,1.88,Nao Hibino, 7683152   size:2.63,Price: ,2.04,x
1.119452570, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Sport Recife v Sao Paulo, Favorite: ,Sport Recife, 2405306   size:389.51,Price: ,2.42,Sao Paulo, 198126   size:60.12,Price: ,3.25,The Draw, 58805   size:413.44,Price: ,3.4,ok
1.119462126, Sport: ,Cricket, Time: ,Sun Jul 19 22:00:00 CEST 2015, Time: ,Sun Jul 19 22:00:00 CEST 2015, Event: ,Trinidad and Tobago v Jamaica, Favorite: ,Jamaica, 2312313   size:68.3,Price: ,1.8,Trinidad and Tobago, 2009675   size:59.6,Price: ,2.24,x
1.119502003, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Tigre v Newells, Favorite: ,Tigre, 2451815   size:32.56,Price: ,2.48,The Draw, 58805   size:13.21,Price: ,3.15,Newells, 194506   size:302.2,Price: ,3.5,x
1.119584619, Sport: ,Basketball, Time: ,Mon Jul 20 03:00:00 CEST 2015, Time: ,Mon Jul 20 03:00:00 CEST 2015, Event: ,Puerto Rico (W) v Argentina (W), Favorite: ,Argentina (W), 5859165   size:3.59,Price: ,1.77,Puerto Rico (W), 6469565   size:126.37,Price: ,2.14,ok
1.119539491, Sport: ,Soccer, Time: ,Sun Jul 19 22:30:00 CEST 2015, Time: ,Sun Jul 19 22:30:00 CEST 2015, Event: ,Trinidad and Tobago v Panama, Favorite: ,Panama, 520320   size:772.75,Price: ,2.3,The Draw, 58805   size:4010.23,Price: ,3.25,Trinidad and Tobago, 386879   size:112.83,Price: ,3.8,x
1.119451750, Sport: ,Soccer, Time: ,Sun Jul 19 22:00:00 CEST 2015, Time: ,Sun Jul 19 22:00:00 CEST 2015, Event: ,Cerro Porteno v Rubio Nu, Favorite: ,Cerro Porteno, 335852   size:48.63,Price: ,1.6,The Draw, 58805   size:6.88,Price: ,4.1,Rubio Nu, 5363620   size:81.67,Price: ,6.2,ok
1.119584461, Sport: ,Tennis, Time: ,Sun Jul 19 21:30:00 CEST 2015, Time: ,Sun Jul 19 21:30:00 CEST 2015, Event: ,Ebden v C Fleming, Favorite: ,Matthew Ebden, 4423910   size:2.63,Price: ,1.09,Colin Fleming, 3977158   size:4.94,Price: ,9.0,ok
1.119503501, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Tolima v Envigado, Favorite: ,Tolima, 2277370   size:209.03,Price: ,1.61,The Draw, 58805   size:15.5,Price: ,3.9,Envigado, 5180320   size:5.33,Price: ,6.8,x
1.119549266, Sport: ,Soccer, Time: ,Sun Jul 19 23:30:00 CEST 2015, Time: ,Sun Jul 19 23:30:00 CEST 2015, Event: ,Deportivo Tachira v Trujillanos, Favorite: ,Deportivo Tachira, 712865   size:39.28,Price: ,1.53,The Draw, 58805   size:2.63,Price: ,4.1,Trujillanos, 1224046   size:26.27,Price: ,6.8,x
1.119401518, Sport: ,Darts, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Jenkins v Suljovic, Favorite: ,Terry Jenkins, 2271008   size:1543.86,Price: ,1.51,Mensur Suljovic, 2693783   size:61.56,Price: ,2.88,x
1.119504551, Sport: ,Soccer, Time: ,Sun Jul 19 23:00:00 CEST 2015, Time: ,Sun Jul 19 23:00:00 CEST 2015, Event: ,Alianza Lima v UTC Cajamarca, Favorite: ,Alianza Lima, 219457   size:804.86,Price: ,1.42,The Draw, 58805   size:6.48,Price: ,4.7,UTC Cajamarca, 7028659   size:8.33,Price: ,9.0,ok
1.119567406, Sport: ,Soccer, Time: ,Mon Jul 20 00:00:00 CEST 2015, Time: ,Mon Jul 20 00:00:00 CEST 2015, Event: ,Sporting San Miguel v Alianza FC (Panama), Favorite: ,Sporting San Miguel, 7546734   size:2.55,Price: ,1.92,The Draw, 58805   size:7.03,Price: ,2.62,Alianza FC (Panama), 8216009   size:6.87,Price: ,2.86,x
1.119451267, Sport: ,Soccer, Time: ,Sun Jul 19 22:00:00 CEST 2015, Time: ,Sun Jul 19 22:00:00 CEST 2015, Event: ,Hafnarfjordur v KR Reykjavik, Favorite: ,Hafnarfjordur, 166884   size:382.73,Price: ,2.32,KR Reykjavik, 399808   size:27.29,Price: ,3.25,The Draw, 58805   size:94.32,Price: ,3.65,x
1.119401486, Sport: ,Darts, Time: ,Sun Jul 19 20:10:00 CEST 2015, Time: ,Sun Jul 19 20:10:00 CEST 2015, Event: ,Dolan v van der Voort, Favorite: ,Vincent van der Voort, 8369597   size:278.51,Price: ,1.78,Brendan Dolan, 2441773   size:309.5,Price: ,2.26,x
1.119502302, Sport: ,Soccer, Time: ,Sun Jul 19 22:30:00 CEST 2015, Time: ,Sun Jul 19 22:30:00 CEST 2015, Event: ,Central Cordoba v Instituto, Favorite: ,The Draw, 58805   size:11.24,Price: ,2.8,Instituto, 897267   size:18.65,Price: ,2.94,Central Cordoba, 5628510   size:34.35,Price: ,3.05,ok
