1.119585813, Sport: ,Tennis, Time: ,Mon Jul 20 12:45:00 CEST 2015, Time: ,Mon Jul 20 12:45:00 CEST 2015, Event: ,Reister v Lestienne, Favorite: ,Julian Reister, 2607569   size:2.55,Price: ,1.29,Constant Lestienne, 7797931   size:52.38,Price: ,3.75,ok
1.119505489, Sport: ,Soccer, Time: ,Mon Jul 20 15:00:00 CEST 2015, Time: ,Mon Jul 20 15:00:00 CEST 2015, Event: ,Tomsk v Baikal Irkutsk, Favorite: ,Tomsk, 1090112   size:5.16,Price: ,1.25,The Draw, 58805   size:2.8,Price: ,5.6,Baikal Irkutsk, 9836178   size:3.15,Price: ,8.0,ok
1.119581713, Sport: ,Soccer, Time: ,Mon Jul 20 09:00:00 CEST 2015, Time: ,Mon Jul 20 09:00:00 CEST 2015, Event: ,Speranza FC (W) v JEF Utd (W), Favorite: ,JEF Utd (W), 6044954   size:2.79,Price: ,1.64,The Draw, 58805   size:2.25,Price: ,4.1,Speranza FC (W), 9375939   size:3.32,Price: ,4.6,x
1.119581657, Sport: ,Soccer, Time: ,Mon Jul 20 09:00:00 CEST 2015, Time: ,Mon Jul 20 09:00:00 CEST 2015, Event: ,NTV Beleza (W) v Belle Yunogo (W), Favorite: ,NTV Beleza (W), 6044926   size:2.03,Price: ,1.45,The Draw, 58805   size:4.26,Price: ,4.1,Belle Yunogo (W), 7420938   size:5.32,Price: ,5.3,ok
1.119585930, Sport: ,Tennis, Time: ,Mon Jul 20 12:45:00 CEST 2015, Time: ,Mon Jul 20 12:45:00 CEST 2015, Event: ,Mathieu v Lapentti, Favorite: ,Paul-Henri Mathieu, 8259186   size:4.67,Price: ,1.38,Giovanni Lapentti, 1565   size:56.5,Price: ,3.55,ok
1.119584800, Sport: ,Tennis, Time: ,Mon Jul 20 12:00:00 CEST 2015, Time: ,Mon Jul 20 12:00:00 CEST 2015, Event: ,Pavlyuchenkova v Vinci, Favorite: ,Anastasia Pavlyuchenkov, 9438602   size:43.01,Price: ,1.57,Roberta Vinci, 2249840   size:2.63,Price: ,2.46,x
1.119585201, Sport: ,Handball, Time: ,Mon Jul 20 14:30:00 CEST 2015, Time: ,Mon Jul 20 14:30:00 CEST 2015, Event: ,Sweden U21 v Tunisia U21, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,Tunisia U21, 7437021   size:1600.0,Price: ,1.03,x
1.119586577, Sport: ,Tennis, Time: ,Mon Jul 20 11:30:00 CEST 2015, Time: ,Mon Jul 20 11:30:00 CEST 2015, Event: ,Sasnovich v Melnikova, Favorite: ,Aliaksandra Sasnovich, 7283310   size:18.18,Price: ,1.44,Marina Melnikova, 6390238   size:5.99,Price: ,2.82,ok
1.119586252, Sport: ,Tennis, Time: ,Mon Jul 20 11:30:00 CEST 2015, Time: ,Mon Jul 20 11:30:00 CEST 2015, Event: ,Bogdan v Stewart, Favorite: ,Katerina Stewart, 7584251   size:5.99,Price: ,1.53,Ana Bogdan, 3875013   size:5.26,Price: ,2.52,x
1.119581263, Sport: ,Soccer, Time: ,Mon Jul 20 15:00:00 CEST 2015, Time: ,Mon Jul 20 15:00:00 CEST 2015, Event: ,Gor Mahia FC v KMKM FC, Favorite: ,KMKM FC, 10018933   size:142.63,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,x
1.119586199, Sport: ,Soccer, Time: ,Mon Jul 20 15:00:00 CEST 2015, Time: ,Mon Jul 20 15:00:00 CEST 2015, Event: ,Padideh Mashhad FC v FK Merw, Favorite: ,FK Merw, 10027511   size:19.42,Price: ,1.02,The Draw, 58805   size:2.88,Price: ,1.25,x
1.119587082, Sport: ,Tennis, Time: ,Mon Jul 20 13:00:00 CEST 2015, Time: ,Mon Jul 20 13:00:00 CEST 2015, Event: ,Griekspoor v Smirnov, Favorite: ,Artem Smirnov, 3813051   size:337.37,Price: ,1.45,Scott Griekspoor, 9198591   size:5.99,Price: ,2.66,x
1.119587080, Sport: ,Tennis, Time: ,Mon Jul 20 15:00:00 CEST 2015, Time: ,Mon Jul 20 15:00:00 CEST 2015, Event: ,Folie v Van Terheijden, Favorite: ,Alexandre Folie, 8520900   size:5.99,Price: ,1.28,Tim Van Terheijden, 8813428   size:5.99,Price: ,3.75,ok
1.119581769, Sport: ,Soccer, Time: ,Mon Jul 20 10:00:00 CEST 2015, Time: ,Mon Jul 20 10:00:00 CEST 2015, Event: ,Urawa (W) v Albirex Niigata (W), Favorite: ,Urawa (W), 6044939   size:2.55,Price: ,1.93,Albirex Niigata (W), 6044951   size:2.44,Price: ,3.25,The Draw, 58805   size:3.57,Price: ,3.6,x
1.119585809, Sport: ,Tennis, Time: ,Mon Jul 20 10:00:00 CEST 2015, Time: ,Mon Jul 20 10:00:00 CEST 2015, Event: ,Ozaki v Sevastova, Favorite: ,Anastasija Sevastova, 2422070   size:25.8,Price: ,1.31,Risa Ozaki, 7593284   size:72.83,Price: ,3.35,ok
1.119505277, Sport: ,Soccer, Time: ,Mon Jul 20 11:00:00 CEST 2015, Time: ,Mon Jul 20 11:00:00 CEST 2015, Event: ,Luch-Energiya v Volga Nyzhnyi Novgorod, Favorite: ,Luch-Energiya, 5441578   size:2.55,Price: ,2.12,The Draw, 58805   size:9.68,Price: ,3.2,Volga Nyzhnyi Novgorod, 3244509   size:3.88,Price: ,3.7,ok
1.119581601, Sport: ,Soccer, Time: ,Mon Jul 20 10:00:00 CEST 2015, Time: ,Mon Jul 20 10:00:00 CEST 2015, Event: ,Iga FC Kunoichi (W) v INAC Leonessa Kobe (W), Favorite: ,INAC Leonessa Kobe (W), 6233771   size:5.99,Price: ,1.23,The Draw, 58805   size:3.59,Price: ,3.9,Iga FC Kunoichi (W), 7420936   size:3.28,Price: ,4.5,ok
1.119585328, Sport: ,Tennis, Time: ,Mon Jul 20 11:00:00 CEST 2015, Time: ,Mon Jul 20 11:00:00 CEST 2015, Event: ,Arnaboldi v Dubarenco, Favorite: ,Andrea Arnaboldi, 7593283   size:6.28,Price: ,1.34,Maxim Dubarenco, 7797862   size:7.46,Price: ,3.4,ok
1.119505770, Sport: ,Soccer, Time: ,Mon Jul 20 14:00:00 CEST 2015, Time: ,Mon Jul 20 14:00:00 CEST 2015, Event: ,Yenisey Krasnoyarsk v Baltika, Favorite: ,Yenisey Krasnoyarsk, 5441577   size:2.75,Price: ,2.12,The Draw, 58805   size:3.61,Price: ,3.15,Baltika, 2460927   size:4.44,Price: ,3.9,x
1.119581545, Sport: ,Soccer, Time: ,Mon Jul 20 10:00:00 CEST 2015, Time: ,Mon Jul 20 10:00:00 CEST 2015, Event: ,AS Elfen Sayama (W) v Vegalta Sendai (W), Favorite: ,Vegalta Sendai (W), 7420920   size:2.55,Price: ,1.25,The Draw, 58805   size:6.5,Price: ,5.1,AS Elfen Sayama (W), 8489718   size:6.92,Price: ,6.8,ok
1.119586614, Sport: ,Tennis, Time: ,Mon Jul 20 12:30:00 CEST 2015, Time: ,Mon Jul 20 12:30:00 CEST 2015, Event: ,Ostapenko v Sezer, Favorite: ,Jelena Ostapenko, 8827537   size:2.55,Price: ,1.15,Melis Sezer, 8698942   size:31.77,Price: ,5.7,ok
1.119584761, Sport: ,Tennis, Time: ,Mon Jul 20 13:00:00 CEST 2015, Time: ,Mon Jul 20 13:00:00 CEST 2015, Event: ,Tsurenko v Gavrilova, Favorite: ,Daria Gavrilova, 5053424   size:73.22,Price: ,1.51,Lesia Tsurenko, 5300861   size:2.5,Price: ,2.58,x
1.119586385, Sport: ,Tennis, Time: ,Mon Jul 20 11:45:00 CEST 2015, Time: ,Mon Jul 20 11:45:00 CEST 2015, Event: ,Di Nicola v Witten, Favorite: ,Jesse Witten, 2310681   size:5.99,Price: ,1.25,Gianluca Di Nicola, 8679687   size:5.99,Price: ,3.25,ok
1.119585793, Sport: ,Tennis, Time: ,Mon Jul 20 10:00:00 CEST 2015, Time: ,Mon Jul 20 10:00:00 CEST 2015, Event: ,Bondarenko v Burnett, Favorite: ,Kateryna Bondarenko, 2291864   size:4.57,Price: ,1.41,Nastassja Burnett, 6373914   size:3.71,Price: ,3.15,ok
1.119586365, Sport: ,Tennis, Time: ,Mon Jul 20 15:00:00 CEST 2015, Time: ,Mon Jul 20 15:00:00 CEST 2015, Event: ,Pavlov v Lanne, Favorite: ,Anton Pavlov, 9625175   size:5.99,Price: ,1.26,Ristomatti Lanne, 8713666   size:48.84,Price: ,3.95,ok
1.119586380, Sport: ,Tennis, Time: ,Mon Jul 20 10:00:00 CEST 2015, Time: ,Mon Jul 20 10:00:00 CEST 2015, Event: ,Cipolla v Ghedin, Favorite: ,Flavio Cipolla, 2424788   size:5.99,Price: ,1.5,Riccardo Ghedin, 3506053   size:2.86,Price: ,2.26,ok
1.119585194, Sport: ,Tennis, Time: ,Mon Jul 20 11:30:00 CEST 2015, Time: ,Mon Jul 20 11:30:00 CEST 2015, Event: ,Hogenkamp v Kasatkina, Favorite: ,Daria Kasatkina, 7795290   size:312.06,Price: ,1.49,Richel Hogenkamp, 6440521   size:2.55,Price: ,2.62,ok
1.119576966, Sport: ,Tennis, Time: ,Mon Jul 20 11:30:00 CEST 2015, Time: ,Mon Jul 20 11:30:00 CEST 2015, Event: ,Checa-Calvo v Calvin Hemery, Favorite: ,Calvin Hemery , 8284525   size:6.55,Price: ,1.25,Jose Checa-Calvo, 8428330   size:33.39,Price: ,4.8,ok
1.119584663, Sport: ,Tennis, Time: ,Mon Jul 20 10:00:00 CEST 2015, Time: ,Mon Jul 20 10:00:00 CEST 2015, Event: ,Boltz v Veger, Favorite: ,Sebastien Boltz, 9260156   size:2.55,Price: ,1.35,Filip Veger, 7032182   size:8.19,Price: ,2.94,ok
1.119585241, Sport: ,Tennis, Time: ,Mon Jul 20 10:00:00 CEST 2015, Time: ,Mon Jul 20 10:00:00 CEST 2015, Event: ,Zanevska v Piter, Favorite: ,Maryna Zanevska, 6390239   size:252.77,Price: ,1.57,Katarzyna Piter, 2395155   size:5.99,Price: ,2.44,ok
1.119586297, Sport: ,Tennis, Time: ,Mon Jul 20 11:00:00 CEST 2015, Time: ,Mon Jul 20 11:00:00 CEST 2015, Event: ,M Gasparyan v Hlavackova, Favorite: ,Margarita Gasparyan, 6750186   size:29.63,Price: ,1.27,Andrea Hlavackova, 2405315   size:53.36,Price: ,3.7,ok
1.119585111, Sport: ,Tennis, Time: ,Mon Jul 20 11:30:00 CEST 2015, Time: ,Mon Jul 20 11:30:00 CEST 2015, Event: ,Cengiz v Panova, Favorite: ,Alexandra Panova, 3220169   size:5.99,Price: ,1.11,Berfu Cengiz, 9633382   size:54.34,Price: ,6.4,ok
1.119457299, Sport: ,Soccer, Time: ,Mon Jul 20 13:30:00 CEST 2015, Time: ,Mon Jul 20 13:30:00 CEST 2015, Event: ,Courts Young Lions v Hougang Utd, Favorite: ,Hougang Utd, 5339978   size:5.48,Price: ,2.4,Courts Young Lions, 5907159   size:2.04,Price: ,3.15,The Draw, 58805   size:4.77,Price: ,3.2,ok
1.119585480, Sport: ,Tennis, Time: ,Mon Jul 20 13:00:00 CEST 2015, Time: ,Mon Jul 20 13:00:00 CEST 2015, Event: ,Friedsam v Koukalova, Favorite: ,Anna-Lena Friedsam, 7593369   size:43.17,Price: ,1.63,Klara Koukalova, 8445700   size:11.78,Price: ,2.52,x
