1.119486971, Sport: ,Basketball, Time: ,Thu Jul 23 03:00:00 CEST 2015, Time: ,Thu Jul 23 03:00:00 CEST 2015, Event: ,Puerto Rico v USA, Favorite: ,USA, 209126   size:899.56,Price: ,1.01,Puerto Rico, 208003   size:1005.15,Price: ,1.04,ok
1.119603995, Sport: ,Tennis, Time: ,Thu Jul 23 03:30:00 CEST 2015, Time: ,Thu Jul 23 03:30:00 CEST 2015, Event: ,Mestach v Oudin, Favorite: ,An Sophie Mestach, 7364005   size:251.5,Price: ,1.73,Melanie Oudin, 2895433   size:4.23,Price: ,2.24,ok
1.119566399, Sport: ,Basketball, Time: ,Thu Jul 23 04:30:00 CEST 2015, Time: ,Thu Jul 23 04:30:00 CEST 2015, Event: ,New York @ Los Angeles, Favorite: ,Los Angeles, 3213264   size:127.46,Price: ,1.79,New York, 13106   size:1036.22,Price: ,2.06,x
1.119617370, Sport: ,Tennis, Time: ,Thu Jul 23 04:00:00 CEST 2015, Time: ,Thu Jul 23 04:00:00 CEST 2015, Event: ,K Chang v Jing Lu, Favorite: ,Kai-Chen Chang, 8887166   size:37.7,Price: ,1.45,Jing-Jing Lu, 9422140   size:16.28,Price: ,3.0,x
1.119617371, Sport: ,Tennis, Time: ,Thu Jul 23 05:30:00 CEST 2015, Time: ,Thu Jul 23 05:30:00 CEST 2015, Event: ,C Liang v X Han, Favorite: ,Xinyun Han, 3172285   size:173.07,Price: ,1.28,Chen Liang, 8715745   size:18.08,Price: ,3.75,x
1.119520065, Sport: ,Soccer, Time: ,Thu Jul 23 03:00:00 CEST 2015, Time: ,Thu Jul 23 03:00:00 CEST 2015, Event: ,Ponte Preta v Coritiba, Favorite: ,Ponte Preta, 204603   size:232.0,Price: ,1.86,The Draw, 58805   size:67.86,Price: ,3.3,Coritiba, 198141   size:3.37,Price: ,5.6,ok
1.119617561, Sport: ,Tennis, Time: ,Thu Jul 23 04:00:00 CEST 2015, Time: ,Thu Jul 23 04:00:00 CEST 2015, Event: ,L Zhang v S J Jang, Favorite: ,Su Jeong Jang, 7659425   size:10.43,Price: ,1.76,Ling Zhang, 4182952   size:5.24,Price: ,2.2,ok
1.119519729, Sport: ,Soccer, Time: ,Thu Jul 23 03:00:00 CEST 2015, Time: ,Thu Jul 23 03:00:00 CEST 2015, Event: ,Santos v Sport Recife, Favorite: ,Santos, 198127   size:22.38,Price: ,1.74,The Draw, 58805   size:58.49,Price: ,3.9,Sport Recife, 2405306   size:2.78,Price: ,5.6,ok
1.119617562, Sport: ,Tennis, Time: ,Thu Jul 23 05:30:00 CEST 2015, Time: ,Thu Jul 23 05:30:00 CEST 2015, Event: ,Y Y Duan v X L Sun, Favorite: ,Ying Ying Duan, 6604251   size:5.94,Price: ,1.11,Xu Liu Sun, 8710303   size:12.26,Price: ,8.6,ok
1.119511114, Sport: ,Baseball, Time: ,Thu Jul 23 04:05:00 CEST 2015, Time: ,Thu Jul 23 04:05:00 CEST 2015, Event: ,TOR @ OAK, Favorite: ,Oakland (S Gray), 7569852   size:484.0,Price: ,1.73,Toronto (F Doubront), 9901212   size:44.19,Price: ,2.32,ok
1.119511105, Sport: ,Baseball, Time: ,Thu Jul 23 04:05:00 CEST 2015, Time: ,Thu Jul 23 04:05:00 CEST 2015, Event: ,MIN @ LAA, Favorite: ,LA Angels (C Wilson), 6296977   size:295.56,Price: ,1.6,Minnesota (M Pelfrey), 7177264   size:199.57,Price: ,2.62,ok
1.119617368, Sport: ,Tennis, Time: ,Thu Jul 23 05:30:00 CEST 2015, Time: ,Thu Jul 23 05:30:00 CEST 2015, Event: ,H Guo v Yaf Wang, Favorite: ,Yafan Wang, 7695509   size:5.94,Price: ,1.13,Hanyu Guo, 9657551   size:15.06,Price: ,7.2,ok
