1.119734481, Sport: ,Tennis, Time: ,Thu Jul 30 11:45:00 CEST 2015, Time: ,Thu Jul 30 11:45:00 CEST 2015, Event: ,T Brkic v de Bakker, Favorite: ,Thiemo De Bakker, 8720949   size:114.59,Price: ,1.25,Tomislav Brkic, 3957838   size:60.65,Price: ,4.5,x
1.119744689, Sport: ,Tennis, Time: ,Thu Jul 30 13:00:00 CEST 2015, Time: ,Thu Jul 30 13:00:00 CEST 2015, Event: ,Marach/Qureshi v Laaksonen/Margaroli, Favorite: ,Marach/Qureshi, 10075689   size:7.65,Price: ,1.25,Laaksonen/Margaroli, 9494328   size:4.1,Price: ,4.0,ok
1.119734881, Sport: ,Tennis, Time: ,Thu Jul 30 12:15:00 CEST 2015, Time: ,Thu Jul 30 12:15:00 CEST 2015, Event: ,Karatantcheva v Borecka, Favorite: ,Sesil Karatantcheva, 2893738   size:7.69,Price: ,1.24,Martina Borecka, 9148887   size:14.09,Price: ,4.2,x
1.119734684, Sport: ,Tennis, Time: ,Thu Jul 30 11:45:00 CEST 2015, Time: ,Thu Jul 30 11:45:00 CEST 2015, Event: ,Caruso v Bellotti, Favorite: ,Salvatore Caruso, 8257868   size:14.89,Price: ,1.68,Riccardo Bellotti, 7533686   size:14.21,Price: ,2.38,ok
1.119735798, Sport: ,Tennis, Time: ,Thu Jul 30 15:45:00 CEST 2015, Time: ,Thu Jul 30 15:45:00 CEST 2015, Event: ,Nadal v Vesely, Favorite: ,Rafael Nadal, 2251410   size:3261.75,Price: ,1.07,Jiri Vesely, 7032143   size:22.05,Price: ,15.0,ok
1.119669280, Sport: ,Cricket, Time: ,Thu Jul 30 15:00:00 CEST 2015, Time: ,Thu Jul 30 15:00:00 CEST 2015, Event: ,Kent v Hampshire, Favorite: ,Hampshire, 3961   size:3.64,Price: ,1.75,Kent, 5901   size:4.99,Price: ,2.1,x
1.119711624, Sport: ,Basketball, Time: ,Thu Jul 30 12:30:00 CEST 2015, Time: ,Thu Jul 30 12:30:00 CEST 2015, Event: ,China (W) v Italy (W), Favorite: ,China (W), 7886075   size:646.18,Price: ,1.22,Italy (W), 6427225   size:13.25,Price: ,4.1,ok
1.119621268, Sport: ,Soccer, Time: ,Thu Jul 30 14:00:00 CEST 2015, Time: ,Thu Jul 30 14:00:00 CEST 2015, Event: ,Real Madrid v AC Milan, Favorite: ,Real Madrid, 2426   size:238.0,Price: ,1.43,The Draw, 58805   size:101.13,Price: ,5.3,AC Milan, 127991   size:138.37,Price: ,8.2,x
1.119753169, Sport: ,Tennis, Time: ,Thu Jul 30 15:30:00 CEST 2015, Time: ,Thu Jul 30 15:30:00 CEST 2015, Event: ,Ce v Ann Beck, Favorite: ,Annika Beck, 4174996   size:59.8,Price: ,1.23,Gabriela Ce, 8304360   size:4.99,Price: ,4.9,ok
1.119729756, Sport: ,Tennis, Time: ,Thu Jul 30 11:00:00 CEST 2015, Time: ,Thu Jul 30 11:00:00 CEST 2015, Event: ,Flipkens v Diatchenko, Favorite: ,Kirsten Flipkens, 2264530   size:104.5,Price: ,1.6,Vitalia Diatchenko, 3674500   size:67.87,Price: ,2.62,ok
1.119733556, Sport: ,Tennis, Time: ,Thu Jul 30 12:00:00 CEST 2015, Time: ,Thu Jul 30 12:00:00 CEST 2015, Event: ,Hogenkamp v Cirstea, Favorite: ,Sorana Cirstea, 2387871   size:2.76,Price: ,1.69,Richel Hogenkamp, 6440521   size:2.17,Price: ,2.3,x
1.119733314, Sport: ,Soccer, Time: ,Thu Jul 30 13:45:00 CEST 2015, Time: ,Thu Jul 30 13:45:00 CEST 2015, Event: ,Laos FC v JP Voltes FC, Favorite: ,Laos FC, 9175332   size:2.55,Price: ,1.84,JP Voltes FC, 9259205   size:2.55,Price: ,3.25,The Draw, 58805   size:2.55,Price: ,4.3,x
1.119621789, Sport: ,Soccer, Time: ,Thu Jul 30 14:30:00 CEST 2015, Time: ,Thu Jul 30 14:30:00 CEST 2015, Event: ,Mohammedan SC (Dhaka) v Sheikh Jamal DC, Favorite: ,Sheikh Jamal DC, 8244834   size:3.31,Price: ,2.06,Mohammedan SC (Dhaka), 9268441   size:2.69,Price: ,2.48,The Draw, 58805   size:4.42,Price: ,3.35,ok
1.119669186, Sport: ,Cricket, Time: ,Thu Jul 30 11:30:00 CEST 2015, Time: ,Thu Jul 30 11:30:00 CEST 2015, Event: ,Worcestershire v Yorkshire, Favorite: ,Yorkshire, 655   size:2.72,Price: ,1.77,Worcestershire, 31372   size:3.43,Price: ,2.2,ok
1.119732862, Sport: ,Soccer, Time: ,Thu Jul 30 15:00:00 CEST 2015, Time: ,Thu Jul 30 15:00:00 CEST 2015, Event: ,VfB Stuttgart U19 v AC Milan U19, Favorite: ,AC Milan U19, 2502326   size:2.55,Price: ,2.06,VfB Stuttgart U19, 6334139   size:8.62,Price: ,2.92,The Draw, 58805   size:7.84,Price: ,3.6,x
1.119733257, Sport: ,Soccer, Time: ,Thu Jul 30 11:15:00 CEST 2015, Time: ,Thu Jul 30 11:15:00 CEST 2015, Event: ,Agila FC v Forza FC, Favorite: ,Forza FC, 9271142   size:2.73,Price: ,1.62,Agila FC, 9247971   size:2.74,Price: ,3.9,The Draw, 58805   size:2.45,Price: ,4.8,ok
1.119725476, Sport: ,Tennis, Time: ,Thu Jul 30 11:00:00 CEST 2015, Time: ,Thu Jul 30 11:00:00 CEST 2015, Event: ,Yaf Wang v E Sema, Favorite: ,Yafan Wang, 7695509   size:142.19,Price: ,1.25,Erika Sema, 4151738   size:19.99,Price: ,4.6,ok
1.119724401, Sport: ,Tennis, Time: ,Thu Jul 30 08:00:00 CEST 2015, Time: ,Thu Jul 30 08:00:00 CEST 2015, Event: ,Savchuk v Tig, Favorite: ,Olga Savchuk, 2263617   size:31.65,Price: ,1.63,Patricia Maria Tig, 8679189   size:288.89,Price: ,2.54,x
1.119739097, Sport: ,Tennis, Time: ,Thu Jul 30 14:45:00 CEST 2015, Time: ,Thu Jul 30 14:45:00 CEST 2015, Event: ,Cabal/Farah v Cuevas/Marrero, Favorite: ,Cuevas/Marrero, 8491495   size:2.84,Price: ,1.76,Cabal/Farah, 6098095   size:2.48,Price: ,2.02,x
1.119062698, Sport: ,Cricket, Time: ,Thu Jul 30 15:30:00 CEST 2015, Time: ,Thu Jul 30 15:30:00 CEST 2015, Event: ,Sri Lanka v Pakistan (1st T20), Favorite: ,Sri Lanka, 7337   size:198.84,Price: ,1.83,Pakistan, 7461   size:35.54,Price: ,2.1,x
1.119736397, Sport: ,Tennis, Time: ,Thu Jul 30 11:30:00 CEST 2015, Time: ,Thu Jul 30 11:30:00 CEST 2015, Event: ,Janowicz v P Cuevas, Favorite: ,Pablo Cuevas, 2424953   size:153.99,Price: ,1.36,Jerzy Janowicz, 3103303   size:72.06,Price: ,3.7,ok
1.119735783, Sport: ,Tennis, Time: ,Thu Jul 30 12:30:00 CEST 2015, Time: ,Thu Jul 30 12:30:00 CEST 2015, Event: ,Kontaveit v K Knapp, Favorite: ,Karin Knapp, 2328045   size:70.69,Price: ,1.37,Anett Kontaveit, 5300737   size:64.0,Price: ,3.4,ok
1.119745940, Sport: ,Tennis, Time: ,Thu Jul 30 13:00:00 CEST 2015, Time: ,Thu Jul 30 13:00:00 CEST 2015, Event: ,Klizan/Rosol v Peya/Soares, Favorite: ,Peya/Soares, 6504095   size:7.71,Price: ,1.38,Klizan/Rosol, 9684549   size:2.55,Price: ,2.8,ok
1.119735864, Sport: ,Tennis, Time: ,Thu Jul 30 11:00:00 CEST 2015, Time: ,Thu Jul 30 11:00:00 CEST 2015, Event: ,Gasparyan/Panova v Eguchi/Tig, Favorite: ,Gasparyan/Panova, 8828982   size:2.55,Price: ,1.35,Eguchi/Tig, 10079618   size:2.55,Price: ,3.05,ok
1.119734635, Sport: ,Tennis, Time: ,Thu Jul 30 10:00:00 CEST 2015, Time: ,Thu Jul 30 10:00:00 CEST 2015, Event: ,And Martin v De Novak, Favorite: ,Andrej Martin, 5071877   size:5.1,Price: ,1.35,Dennis Novak, 7335936   size:68.6,Price: ,3.45,ok
1.119735626, Sport: ,Tennis, Time: ,Thu Jul 30 09:30:00 CEST 2015, Time: ,Thu Jul 30 09:30:00 CEST 2015, Event: ,Rodina v Korashvili, Favorite: ,Evgeniya Rodina, 2415530   size:3026.0,Price: ,1.09,Oleksandra Korashvili, 7445988   size:13.53,Price: ,11.5,ok
1.119621530, Sport: ,Soccer, Time: ,Thu Jul 30 13:30:00 CEST 2015, Time: ,Thu Jul 30 13:30:00 CEST 2015, Event: ,Albirex Niigata v Harimau Muda B, Favorite: ,Albirex Niigata, 5712145   size:2.0,Price: ,1.57,The Draw, 58805   size:5.49,Price: ,4.3,Harimau Muda B, 5606145   size:3.93,Price: ,4.5,x
1.119711627, Sport: ,Basketball, Time: ,Thu Jul 30 15:00:00 CEST 2015, Time: ,Thu Jul 30 15:00:00 CEST 2015, Event: ,Germany (W) v Puerto Rico (W), Favorite: ,Germany (W), 6427247   size:2.55,Price: ,1.68,Puerto Rico (W), 6469565   size:2.29,Price: ,2.18,ok
