1.119753428, Sport: ,Tennis, Time: ,Thu Jul 30 16:00:00 CEST 2015, Time: ,Thu Jul 30 16:00:00 CEST 2015, Event: ,Torr”-Flor v Sevastova, Favorite: ,Anastasija Sevastova, 2422070   size:258.2,Price: ,1.96,MarÕa-Teresa Torr”-Fl, 10081483   size:115.92,Price: ,2.0,
1.119734886, Sport: ,Tennis, Time: ,Thu Jul 30 16:00:00 CEST 2015, Time: ,Thu Jul 30 16:00:00 CEST 2015, Event: ,Elbaba v Brady, Favorite: ,Jennifer Brady, 8784966   size:200.88,Price: ,1.25,Julia Elbaba, 8949050   size:41.08,Price: ,4.4,
1.119735021, Sport: ,Tennis, Time: ,Thu Jul 30 16:30:00 CEST 2015, Time: ,Thu Jul 30 16:30:00 CEST 2015, Event: ,Bolelli v Munar, Favorite: ,Simone Bolelli, 2309797   size:27477.18,Price: ,1.07,Jaume Munar, 9350385   size:41.14,Price: ,13.5,
1.119713018, Sport: ,Ice Hockey, Time: ,Thu Jul 30 17:00:00 CEST 2015, Time: ,Thu Jul 30 17:00:00 CEST 2015, Event: ,Trinec v Dinamo Minsk, Favorite: ,Trinec, 563259   size:235.45,Price: ,1.03,Dinamo Minsk, 3312412   size:206.81,Price: ,1.69,Tie, 60104   size:47.56,Price: ,4.0,
1.119713015, Sport: ,Ice Hockey, Time: ,Thu Jul 30 17:00:00 CEST 2015, Time: ,Thu Jul 30 17:00:00 CEST 2015, Event: ,Pardubice v Mlada Boleslav, Favorite: ,Tie, 60104   size:2.85,Price: ,1.01,Pardubice, 563269   size:5.93,Price: ,1.52,
1.119735492, Sport: ,Tennis, Time: ,Thu Jul 30 17:00:00 CEST 2015, Time: ,Thu Jul 30 17:00:00 CEST 2015, Event: ,Clezar v Dancevic, Favorite: ,Frank Dancevic, 2249832   size:9.14,Price: ,1.41,Guilherme Clezar, 5304142   size:5.59,Price: ,3.3,
1.119753390, Sport: ,Tennis, Time: ,Thu Jul 30 17:30:00 CEST 2015, Time: ,Thu Jul 30 17:30:00 CEST 2015, Event: ,Melnikova/Pous-Tio v Irigoyen/Kania, Favorite: ,Melnikova/Pous-Tio, 10080572   size:94.29,Price: ,1.82,Irigoyen/Kania, 10080585   size:5.93,Price: ,1.94,
1.119725178, Sport: ,Ice Hockey, Time: ,Thu Jul 30 17:30:00 CEST 2015, Time: ,Thu Jul 30 17:30:00 CEST 2015, Event: ,Dinamo Riga v Sibir, Favorite: ,Sibir, 2285014   size:235.45,Price: ,1.42,Dinamo Riga, 3312399   size:219.54,Price: ,1.65,Tie, 60104   size:49.2,Price: ,3.9,
1.119762529, Sport: ,Basketball, Time: ,Thu Jul 30 18:00:00 CEST 2015, Time: ,Thu Jul 30 18:00:00 CEST 2015, Event: ,Germany v Austria, Favorite: ,Austria, 2499040   size:14.27,Price: ,1.01,
1.119725182, Sport: ,Ice Hockey, Time: ,Thu Jul 30 18:00:00 CEST 2015, Time: ,Thu Jul 30 18:00:00 CEST 2015, Event: ,Liberec v Metallurg NK, Favorite: ,Metallurg Nk, 3599244   size:100.0,Price: ,1.01,Liberec, 563262   size:190.26,Price: ,1.75,Tie, 60104   size:5.93,Price: ,4.0,
1.119674490, Sport: ,Soccer, Time: ,Thu Jul 30 19:00:00 CEST 2015, Time: ,Thu Jul 30 19:00:00 CEST 2015, Event: ,Sturm Graz v Rubin Kazan, Favorite: ,Rubin Kazan, 503142   size:85.5,Price: ,2.8,Sturm Graz, 71085   size:236.58,Price: ,2.92,The Draw, 58805   size:5143.56,Price: ,3.3,
1.119673901, Sport: ,Soccer, Time: ,Thu Jul 30 19:00:00 CEST 2015, Time: ,Thu Jul 30 19:00:00 CEST 2015, Event: ,Slovan Liberec v Hapoel Kiryat Shmona, Favorite: ,Slovan Liberec, 10503   size:45.65,Price: ,1.66,The Draw, 58805   size:154.28,Price: ,3.9,Hapoel Kiryat Shmona, 5538497   size:177.58,Price: ,6.4,
1.119674234, Sport: ,Soccer, Time: ,Thu Jul 30 19:30:00 CEST 2015, Time: ,Thu Jul 30 19:30:00 CEST 2015, Event: ,Zilina v Vorskla, Favorite: ,Zilina, 189806   size:307.08,Price: ,2.5,Vorskla, 2017721   size:169.31,Price: ,3.25,The Draw, 58805   size:42.11,Price: ,3.3,
1.119674002, Sport: ,Soccer, Time: ,Thu Jul 30 19:30:00 CEST 2015, Time: ,Thu Jul 30 19:30:00 CEST 2015, Event: ,Thun v FC Vaduz, Favorite: ,Thun, 176184   size:2.47,Price: ,1.75,The Draw, 58805   size:169.39,Price: ,3.8,FC Vaduz, 46945   size:44.37,Price: ,5.7,
