1.119751941, Sport: ,Soccer, Time: ,Fri Jul 31 07:30:00 CEST 2015, Time: ,Fri Jul 31 07:30:00 CEST 2015, Event: ,Labasa FC v Nadroga FC, Favorite: ,Labasa FC, 9461600   size:80.65,Price: ,1.72,Nadroga FC, 9454369   size:40.22,Price: ,2.74,The Draw, 58805   size:5.16,Price: ,3.45,ok
1.119764992, Sport: ,Tennis, Time: ,Fri Jul 31 08:00:00 CEST 2015, Time: ,Fri Jul 31 08:00:00 CEST 2015, Event: ,Panova v K Knapp, Favorite: ,Karin Knapp, 2328045   size:235.1,Price: ,1.25,Alexandra Panova, 3220169   size:7.99,Price: ,4.7,ok
1.119776864, Sport: ,Snooker, Time: ,Fri Jul 31 08:30:00 CEST 2015, Time: ,Fri Jul 31 08:30:00 CEST 2015, Event: ,Mark Selby v Sanderson Lam, Favorite: ,Mark Selby, 2280127   size:2.55,Price: ,1.07,Sanderson Lam, 6644308   size:69.15,Price: ,9.2,ok
1.119735500, Sport: ,Tennis, Time: ,Fri Jul 31 07:30:00 CEST 2015, Time: ,Fri Jul 31 07:30:00 CEST 2015, Event: ,Dubarenco v Donskoy, Favorite: ,Evgeny Donskoy, 3391304   size:6.66,Price: ,1.26,Maxim Dubarenco, 7797862   size:9.51,Price: ,4.4,ok
1.119754523, Sport: ,Tennis, Time: ,Fri Jul 31 07:45:00 CEST 2015, Time: ,Fri Jul 31 07:45:00 CEST 2015, Event: ,Kukushkin v Molchanov, Favorite: ,Mikhail Kukushkin, 2609424   size:79.97,Price: ,1.1,Denys Molchanov, 3474265   size:2.85,Price: ,9.0,ok
1.119745934, Sport: ,Tennis, Time: ,Fri Jul 31 13:45:00 CEST 2015, Time: ,Fri Jul 31 13:45:00 CEST 2015, Event: ,Naso v L Ouahab, Favorite: ,Gianluca Naso, 2967260   size:3.01,Price: ,1.93,Lamine Ouahab, 3052816   size:3.84,Price: ,1.97,ok
1.119745537, Sport: ,Tennis, Time: ,Fri Jul 31 13:30:00 CEST 2015, Time: ,Fri Jul 31 13:30:00 CEST 2015, Event: ,Fognini v Al Bedene, Favorite: ,Fabio Fognini, 2319544   size:921.01,Price: ,1.58,Aljaz Bedene, 5706996   size:83.71,Price: ,2.68,ok
1.119631562, Sport: ,Soccer, Time: ,Fri Jul 31 12:15:00 CEST 2015, Time: ,Fri Jul 31 12:15:00 CEST 2015, Event: ,Farashganj SC v Sheikh Russel, Favorite: ,Sheikh Russel, 8640784   size:2.55,Price: ,1.18,The Draw, 58805   size:4.97,Price: ,7.2,Farashganj SC, 9406575   size:5.68,Price: ,9.2,x
1.119769303, Sport: ,Soccer, Time: ,Fri Jul 31 13:00:00 CEST 2015, Time: ,Fri Jul 31 13:00:00 CEST 2015, Event: ,Al Khartoum SC Sudan v Gor Mahia FC, Favorite: ,Gor Mahia FC, 9993134   size:5.0,Price: ,1.67,Al Khartoum SC Sudan, 10002755   size:5.0,Price: ,1.89,The Draw, 58805   size:5.0,Price: ,3.1,ok
1.119669380, Sport: ,Cricket, Time: ,Fri Jul 31 11:30:00 CEST 2015, Time: ,Fri Jul 31 11:30:00 CEST 2015, Event: ,Leicestershire v Gloucestershire, Favorite: ,Gloucestershire, 2219   size:20.09,Price: ,1.76,Leicestershire, 31377   size:5.93,Price: ,2.26,ok
1.119752109, Sport: ,Soccer, Time: ,Fri Jul 31 15:00:00 CEST 2015, Time: ,Fri Jul 31 15:00:00 CEST 2015, Event: ,KZN Academy U19 v Arsenal U19, Favorite: ,Arsenal U19, 2502328   size:2.64,Price: ,1.13,The Draw, 58805   size:3.2,Price: ,6.6,KZN Academy U19, 10083697   size:3.08,Price: ,12.0,x
1.119738449, Sport: ,Volleyball, Time: ,Fri Jul 31 13:30:00 CEST 2015, Time: ,Fri Jul 31 13:30:00 CEST 2015, Event: ,Israel v Poland, Favorite: ,Poland (W), 6358162   size:0.0,Price: ,0.0,ok
1.119669389, Sport: ,Cricket, Time: ,Fri Jul 31 15:00:00 CEST 2015, Time: ,Fri Jul 31 15:00:00 CEST 2015, Event: ,Derbyshire v Northamptonshire, Favorite: ,Northamptonshire, 475559   size:4.02,Price: ,1.77,Derbyshire, 31375   size:3.07,Price: ,2.08,x
1.119669386, Sport: ,Cricket, Time: ,Fri Jul 31 12:30:00 CEST 2015, Time: ,Fri Jul 31 12:30:00 CEST 2015, Event: ,Middlesex v Kent, Favorite: ,Kent, 5901   size:9.2,Price: ,1.81,Middlesex, 31378   size:2.43,Price: ,2.06,x
1.119669383, Sport: ,Cricket, Time: ,Fri Jul 31 11:30:00 CEST 2015, Time: ,Fri Jul 31 11:30:00 CEST 2015, Event: ,Somerset v Worcestershire, Favorite: ,Somerset, 5995   size:713.24,Price: ,1.74,Worcestershire, 31372   size:2.9,Price: ,2.2,ok
1.119762307, Sport: ,Tennis, Time: ,Fri Jul 31 11:00:00 CEST 2015, Time: ,Fri Jul 31 11:00:00 CEST 2015, Event: ,Pavlyuchenkova v Flipkens, Favorite: ,Anastasia Pavlyuchenkov, 9438602   size:247.41,Price: ,1.85,Kirsten Flipkens, 2264530   size:10.02,Price: ,2.14,ok
1.119736580, Sport: ,Volleyball, Time: ,Fri Jul 31 12:30:00 CEST 2015, Time: ,Fri Jul 31 12:30:00 CEST 2015, Event: ,Pakistan v Thailand, Favorite: ,Thailand, 1243242   size:5.93,Price: ,1.26,Pakistan, 6438762   size:20.58,Price: ,4.7,ok
1.119737100, Sport: ,Tennis, Time: ,Fri Jul 31 11:00:00 CEST 2015, Time: ,Fri Jul 31 11:00:00 CEST 2015, Event: ,X Han v F Liu, Favorite: ,Fangzhou Liu, 8174145   size:62.37,Price: ,1.55,Xinyun Han, 3172285   size:38.1,Price: ,2.74,x
1.119784293, Sport: ,Tennis, Time: ,Fri Jul 31 15:15:00 CEST 2015, Time: ,Fri Jul 31 15:15:00 CEST 2015, Event: ,Nadal v P Cuevas, Favorite: ,Rafael Nadal, 2251410   size:1716.16,Price: ,1.18,Pablo Cuevas, 2424953   size:110.23,Price: ,6.2,ok
1.119736577, Sport: ,Volleyball, Time: ,Fri Jul 31 10:30:00 CEST 2015, Time: ,Fri Jul 31 10:30:00 CEST 2015, Event: ,Oman v South Korea, Favorite: ,South Korea, 1538770   size:0.0,Price: ,0.0,Oman, 7712695   size:18.0,Price: ,1.02,ok
1.119765030, Sport: ,Tennis, Time: ,Fri Jul 31 14:30:00 CEST 2015, Time: ,Fri Jul 31 14:30:00 CEST 2015, Event: ,Hogenkamp v Cetkovska, Favorite: ,Petra Cetkovska, 2415583   size:3.51,Price: ,1.82,Richel Hogenkamp, 6440521   size:16.48,Price: ,2.04,ok
1.119746497, Sport: ,Soccer, Time: ,Fri Jul 31 10:00:00 CEST 2015, Time: ,Fri Jul 31 10:00:00 CEST 2015, Event: ,Alcorcon v FAR Rabat, Favorite: ,Alcorcon, 2250328   size:2.14,Price: ,2.34,FAR Rabat, 6670769   size:4.29,Price: ,2.86,The Draw, 58805   size:2.55,Price: ,3.45,x
