1.119745934, Sport: ,Tennis, Time: ,Fri Jul 31 13:45:00 CEST 2015, Time: ,Fri Jul 31 13:45:00 CEST 2015, Event: ,Naso v L Ouahab, Favorite: ,Gianluca Naso, 2967260   size:2.84,Price: ,1.92,Lamine Ouahab, 3052816   size:44.46,Price: ,2.02,ok
1.119738447, Sport: ,Volleyball, Time: ,Fri Jul 31 17:00:00 CEST 2015, Time: ,Fri Jul 31 17:00:00 CEST 2015, Event: ,Greece (W) v Turkey (W), Favorite: ,Turkey (W), 5857948   size:100.0,Price: ,1.01,x
1.119632456, Sport: ,Soccer, Time: ,Fri Jul 31 18:30:00 CEST 2015, Time: ,Fri Jul 31 18:30:00 CEST 2015, Event: ,Rot-Weiss Ahlen v Alemannia Aachen, Favorite: ,Alemannia Aachen, 199607   size:5.19,Price: ,1.55,The Draw, 58805   size:85.72,Price: ,4.3,Rot-Weiss Ahlen, 2486895   size:19.79,Price: ,6.8,ok
1.119636012, Sport: ,Soccer, Time: ,Fri Jul 31 20:00:00 CEST 2015, Time: ,Fri Jul 31 20:00:00 CEST 2015, Event: ,Nimes v Evian TG, Favorite: ,Nimes, 77586   size:2.84,Price: ,2.82,Evian TG, 4864973   size:59.55,Price: ,2.94,The Draw, 58805   size:698.31,Price: ,3.2,x
1.119784588, Sport: ,Tennis, Time: ,Fri Jul 31 16:45:00 CEST 2015, Time: ,Fri Jul 31 16:45:00 CEST 2015, Event: ,Seppi v Bolelli, Favorite: ,Andreas Seppi, 2257535   size:815.18,Price: ,1.83,Simone Bolelli, 2309797   size:248.69,Price: ,2.18,x
1.119752109, Sport: ,Soccer, Time: ,Fri Jul 31 15:00:00 CEST 2015, Time: ,Fri Jul 31 15:00:00 CEST 2015, Event: ,KZN Academy U19 v Arsenal U19, Favorite: ,Arsenal U19, 2502328   size:2.49,Price: ,1.21,The Draw, 58805   size:2.99,Price: ,7.0,KZN Academy U19, 10083697   size:2.12,Price: ,12.0,x
1.119784468, Sport: ,Handball, Time: ,Fri Jul 31 18:15:00 CEST 2015, Time: ,Fri Jul 31 18:15:00 CEST 2015, Event: ,Sweden U21 v Romania U21, Favorite: ,Sweden U21, 7437036   size:5.94,Price: ,1.13,Romania U21, 10026176   size:71.79,Price: ,7.6,Draw, 330157   size:71.58,Price: ,10.0,ok
1.119735855, Sport: ,Volleyball, Time: ,Fri Jul 31 19:00:00 CEST 2015, Time: ,Fri Jul 31 19:00:00 CEST 2015, Event: ,Estonia v Denmark, Favorite: ,Estonia, 1191330   size:2.55,Price: ,1.05,Denmark, 2681495   size:2.48,Price: ,9.2,ok
1.119632692, Sport: ,Soccer, Time: ,Fri Jul 31 18:30:00 CEST 2015, Time: ,Fri Jul 31 18:30:00 CEST 2015, Event: ,KSV Superfund v Austria Lustenau, Favorite: ,KSV Superfund, 4840627   size:15.93,Price: ,2.2,Austria Lustenau, 453564   size:15.0,Price: ,3.55,The Draw, 58805   size:51.22,Price: ,3.6,ok
1.119735858, Sport: ,Volleyball, Time: ,Fri Jul 31 16:00:00 CEST 2015, Time: ,Fri Jul 31 16:00:00 CEST 2015, Event: ,Israel v Poland, Favorite: ,Poland, 678742   size:5.0,Price: ,1.48,Israel, 4770945   size:2.24,Price: ,2.98,ok
1.119735859, Sport: ,Volleyball, Time: ,Fri Jul 31 17:00:00 CEST 2015, Time: ,Fri Jul 31 17:00:00 CEST 2015, Event: ,Romania v Slovenia, Favorite: ,Slovenia, 2444668   size:7.12,Price: ,1.4,Romania, 1206923   size:2.55,Price: ,3.1,ok
1.119747272, Sport: ,Soccer, Time: ,Fri Jul 31 19:00:00 CEST 2015, Time: ,Fri Jul 31 19:00:00 CEST 2015, Event: ,Volendam v Jong PSV, Favorite: ,Volendam, 419133   size:3.7,Price: ,1.73,The Draw, 58805   size:8.89,Price: ,4.2,Jong PSV, 3348592   size:28.0,Price: ,4.5,ok
1.119751421, Sport: ,Soccer, Time: ,Fri Jul 31 20:00:00 CEST 2015, Time: ,Fri Jul 31 20:00:00 CEST 2015, Event: ,Villa San Carlos v Platense, Favorite: ,Platense, 5548214   size:2.55,Price: ,2.66,The Draw, 58805   size:40.1,Price: ,2.84,Villa San Carlos, 7546709   size:2.55,Price: ,2.96,x
