1.119637946, Sport: ,Soccer, Time: ,Sat Aug 01 01:30:00 CEST 2015, Time: ,Sat Aug 01 01:30:00 CEST 2015, Event: ,Jacksonville Armada v Minnesota Utd, Favorite: ,Jacksonville Armada, 9212618   size:2.1,Price: ,2.6,Minnesota Utd, 7533070   size:8.21,Price: ,2.72,The Draw, 58805   size:9.59,Price: ,3.45,x
1.119698121, Sport: ,Baseball, Time: ,Sat Aug 01 02:10:00 CEST 2015, Time: ,Sat Aug 01 02:10:00 CEST 2015, Event: ,SEA @ MIN, Favorite: ,Minnesota (T Milone), 8767527   size:257.0,Price: ,1.94,Seattle (T Walker), 7617352   size:412.91,Price: ,2.0,x
1.119698065, Sport: ,Baseball, Time: ,Sat Aug 01 01:10:00 CEST 2015, Time: ,Sat Aug 01 01:10:00 CEST 2015, Event: ,SD @ MIA, Favorite: ,Miami (D Phelps), 9407815   size:35.18,Price: ,1.89,San Diego (I Kennedy), 7551799   size:32.6,Price: ,2.04,x
1.119699076, Sport: ,Basketball, Time: ,Sat Aug 01 02:00:00 CEST 2015, Time: ,Sat Aug 01 02:00:00 CEST 2015, Event: ,Washington @ San Antonio, Favorite: ,Washington, 13105   size:5.25,Price: ,1.81,San Antonio, 13121   size:2.55,Price: ,2.12,ok
1.119698145, Sport: ,Baseball, Time: ,Sat Aug 01 02:15:00 CEST 2015, Time: ,Sat Aug 01 02:15:00 CEST 2015, Event: ,COL @ STL, Favorite: ,St Louis (M Wacha), 7309496   size:109.0,Price: ,1.46,Colorado (K Kendrick), 9378789   size:22.64,Price: ,3.15,ok
1.119753938, Sport: ,Tennis, Time: ,Sat Aug 01 01:00:00 CEST 2015, Time: ,Sat Aug 01 01:00:00 CEST 2015, Event: ,Jasika v M Krueger, Favorite: ,Mitchell Krueger, 6603910   size:39.13,Price: ,1.68,Omar Jasika, 7335917   size:28.89,Price: ,2.2,ok
1.119698001, Sport: ,Baseball, Time: ,Sat Aug 01 01:07:00 CEST 2015, Time: ,Sat Aug 01 01:07:00 CEST 2015, Event: ,KC @ TOR, Favorite: ,Toronto (D Hutchison), 6325405   size:147.5,Price: ,1.93,Kansas City (J Cueto), 10096750   size:99.19,Price: ,2.06,ok
1.119698983, Sport: ,Basketball, Time: ,Sat Aug 01 01:00:00 CEST 2015, Time: ,Sat Aug 01 01:00:00 CEST 2015, Event: ,Seattle @ Connecticut, Favorite: ,Connecticut, 332194   size:7.21,Price: ,1.34,Seattle, 13130   size:5.0,Price: ,3.85,ok
1.119699079, Sport: ,Basketball, Time: ,Sat Aug 01 02:30:00 CEST 2015, Time: ,Sat Aug 01 02:30:00 CEST 2015, Event: ,Los Angeles @ Chicago, Favorite: ,Chicago, 13117   size:51.18,Price: ,1.44,Los Angeles, 3213264   size:21.8,Price: ,3.05,x
1.119635283, Sport: ,Soccer, Time: ,Sat Aug 01 00:00:00 CEST 2015, Time: ,Sat Aug 01 00:00:00 CEST 2015, Event: ,Boa v Criciuma, Favorite: ,Boa, 5900070   size:275.54,Price: ,2.4,The Draw, 58805   size:745.68,Price: ,3.2,Criciuma, 356589   size:63.72,Price: ,3.6,x
1.119779806, Sport: ,Soccer, Time: ,Sat Aug 01 03:00:00 CEST 2015, Time: ,Sat Aug 01 03:00:00 CEST 2015, Event: ,Colorado Springs v Los Angeles Galaxy II, Favorite: ,Colorado Springs, 9587822   size:2.55,Price: ,2.38,Los Angeles Galaxy II, 8445651   size:10.55,Price: ,2.68,The Draw, 58805   size:2.55,Price: ,3.7,ok
1.119698105, Sport: ,Baseball, Time: ,Sat Aug 01 02:10:00 CEST 2015, Time: ,Sat Aug 01 02:10:00 CEST 2015, Event: ,CHC @ MIL, Favorite: ,Chicago Cubs (J Hammel), 8450037   size:347.43,Price: ,1.81,Milwaukee (T Jungmann), 9573008   size:30.22,Price: ,2.2,ok
1.119753977, Sport: ,Tennis, Time: ,Sat Aug 01 03:45:00 CEST 2015, Time: ,Sat Aug 01 03:45:00 CEST 2015, Event: ,Fish/Roddick v Butorac/Sitak, Favorite: ,Butorac/Sitak, 10079044   size:3.01,Price: ,1.66,Fish/Roddick, 5547960   size:2.27,Price: ,2.2,ok
1.119698049, Sport: ,Baseball, Time: ,Sat Aug 01 01:10:00 CEST 2015, Time: ,Sat Aug 01 01:10:00 CEST 2015, Event: ,PIT @ CIN, Favorite: ,Pittsburgh (J Locke), 5810057   size:335.0,Price: ,1.76,Cincinnati (M Lorenzen), 9444109   size:293.31,Price: ,2.3,ok
1.119698129, Sport: ,Baseball, Time: ,Sat Aug 01 02:10:00 CEST 2015, Time: ,Sat Aug 01 02:10:00 CEST 2015, Event: ,ARI @ HOU, Favorite: ,Houston (S Feldman), 8431599   size:328.43,Price: ,1.73,Arizona (R De La Rosa), 9382117   size:336.0,Price: ,2.28,x
1.119753859, Sport: ,Tennis, Time: ,Sat Aug 01 02:00:00 CEST 2015, Time: ,Sat Aug 01 02:00:00 CEST 2015, Event: ,M Baghdatis v V Pospisil, Favorite: ,Marcos Baghdatis, 2256469   size:24.85,Price: ,1.81,Vasek Pospisil, 4903598   size:843.74,Price: ,2.2,ok
1.119701781, Sport: ,Soccer, Time: ,Sat Aug 01 00:00:00 CEST 2015, Time: ,Sat Aug 01 00:00:00 CEST 2015, Event: ,Lobos BUAP v San Luis, Favorite: ,Lobos BUAP, 6138085   size:2.84,Price: ,1.92,The Draw, 58805   size:30.42,Price: ,3.65,San Luis, 328915   size:61.27,Price: ,4.6,ok
1.119740915, Sport: ,Soccer, Time: ,Sat Aug 01 02:00:00 CEST 2015, Time: ,Sat Aug 01 02:00:00 CEST 2015, Event: ,Central Cordoba v Chacarita, Favorite: ,Central Cordoba, 5628510   size:2.99,Price: ,2.52,The Draw, 58805   size:12.37,Price: ,3.1,Chacarita, 192084   size:57.74,Price: ,3.35,x
1.119781607, Sport: ,Soccer, Time: ,Sat Aug 01 02:00:00 CEST 2015, Time: ,Sat Aug 01 02:00:00 CEST 2015, Event: ,Panama U20 (W) v Nicaragua U20 (W), Favorite: ,Panama U20 (W), 7103368   size:150.0,Price: ,1.28,Nicaragua U20 (W), 7103349   size:5.22,Price: ,3.05,The Draw, 58805   size:5.1,Price: ,3.35,x
