1.119823631, Sport: ,Soccer, Time: ,Mon Aug 03 01:00:00 CEST 2015, Time: ,Mon Aug 03 01:00:00 CEST 2015, Event: ,Panama U20 (W) v El Salvador U20 (W), Favorite: ,El Salvador U20 (W), 7103335   size:21.18,Price: ,1.02,The Draw, 58805   size:2.0,Price: ,1.26,
1.119718833, Sport: ,Soccer, Time: ,Mon Aug 03 01:00:00 CEST 2015, Time: ,Mon Aug 03 01:00:00 CEST 2015, Event: ,Deportivo Cali v Tolima, Favorite: ,Deportivo Cali, 328690   size:24.14,Price: ,1.94,The Draw, 58805   size:27.35,Price: ,3.4,Tolima, 2277370   size:60.2,Price: ,4.9,x
1.119823571, Sport: ,Soccer, Time: ,Mon Aug 03 01:00:00 CEST 2015, Time: ,Mon Aug 03 01:00:00 CEST 2015, Event: ,New York Red Bulls II v St Louis FC, Favorite: ,The Draw, 58805   size:21.18,Price: ,1.02,New York Red Bulls II, 9372466   size:348.19,Price: ,1.38,St Louis FC, 9587800   size:347.83,Price: ,2.14,x
1.119711321, Sport: ,Baseball, Time: ,Mon Aug 03 02:08:00 CEST 2015, Time: ,Mon Aug 03 02:08:00 CEST 2015, Event: ,WSH @ NYM, Favorite: ,NY Mets (N Syndergaard), 9477745   size:19.6,Price: ,1.8,Washington (J Zimmermann), 3830891   size:41.78,Price: ,2.2,ok
1.119718203, Sport: ,Soccer, Time: ,Mon Aug 03 00:00:00 CEST 2015, Time: ,Mon Aug 03 00:00:00 CEST 2015, Event: ,Atletico Nacional v Envigado, Favorite: ,Atletico Nacional, 478920   size:102.37,Price: ,1.64,The Draw, 58805   size:82.81,Price: ,4.0,Envigado, 5180320   size:72.89,Price: ,6.6,ok
1.119736801, Sport: ,Soccer, Time: ,Mon Aug 03 00:30:00 CEST 2015, Time: ,Mon Aug 03 00:30:00 CEST 2015, Event: ,Zamora v Deportivo La Guaira, Favorite: ,Zamora, 565025   size:25.78,Price: ,1.69,The Draw, 58805   size:87.19,Price: ,3.7,Deportivo La Guaira, 7658015   size:23.75,Price: ,6.4,x
1.119823438, Sport: ,Soccer, Time: ,Mon Aug 03 05:00:00 CEST 2015, Time: ,Mon Aug 03 05:00:00 CEST 2015, Event: ,Monterrey v Benfica, Favorite: ,Monterrey, 328949   size:27.01,Price: ,2.64,Benfica, 48783   size:64.15,Price: ,2.94,The Draw, 58805   size:94.91,Price: ,3.3,ok
1.119729793, Sport: ,Basketball, Time: ,Mon Aug 03 00:00:00 CEST 2015, Time: ,Mon Aug 03 00:00:00 CEST 2015, Event: ,Connecticut @ Indiana, Favorite: ,Indiana, 13116   size:7.32,Price: ,1.38,Connecticut, 332194   size:19.61,Price: ,3.4,ok
1.119710476, Sport: ,Boxing, Time: ,Mon Aug 03 01:00:00 CEST 2015, Time: ,Mon Aug 03 01:00:00 CEST 2015, Event: ,Payano v Warren, Favorite: ,Raushee Warren, 10081396   size:5.92,Price: ,1.61,Juan Carlos Payano, 10081395   size:366.19,Price: ,2.3,Draw, 31162   size:6.01,Price: ,6.0,x
1.119823514, Sport: ,Soccer, Time: ,Mon Aug 03 01:00:00 CEST 2015, Time: ,Mon Aug 03 01:00:00 CEST 2015, Event: ,LD Alajuelense v CS Uruguay, Favorite: ,LD Alajuelense, 1395935   size:286.55,Price: ,1.32,The Draw, 58805   size:20.01,Price: ,6.0,CS Uruguay, 6624079   size:45.05,Price: ,10.5,ok
1.119808238, Sport: ,Soccer, Time: ,Mon Aug 03 00:00:00 CEST 2015, Time: ,Mon Aug 03 00:00:00 CEST 2015, Event: ,Marquense v Universidad San Carlos, Favorite: ,Marquense, 9215444   size:11.24,Price: ,1.76,The Draw, 58805   size:3.02,Price: ,2.96,Universidad San Carlos, 9216454   size:2.73,Price: ,3.25,ok
1.119718903, Sport: ,Soccer, Time: ,Mon Aug 03 03:00:00 CEST 2015, Time: ,Mon Aug 03 03:00:00 CEST 2015, Event: ,Patriotas v Junior, Favorite: ,Patriotas, 5360525   size:97.05,Price: ,2.2,The Draw, 58805   size:223.8,Price: ,3.3,Junior, 363629   size:54.32,Price: ,4.0,ok
1.119669289, Sport: ,Soccer, Time: ,Mon Aug 03 01:00:00 CEST 2015, Time: ,Mon Aug 03 01:00:00 CEST 2015, Event: ,Chicago Fire v Dallas, Favorite: ,Chicago Fire, 226469   size:101.7,Price: ,2.64,Dallas, 171910   size:311.48,Price: ,2.84,The Draw, 58805   size:641.24,Price: ,3.55,ok
1.119729800, Sport: ,Basketball, Time: ,Mon Aug 03 00:00:00 CEST 2015, Time: ,Mon Aug 03 00:00:00 CEST 2015, Event: ,Washington @ Chicago, Favorite: ,Chicago, 13117   size:44.21,Price: ,1.49,Washington, 13105   size:131.72,Price: ,2.94,ok
1.119806273, Sport: ,Soccer, Time: ,Mon Aug 03 00:00:00 CEST 2015, Time: ,Mon Aug 03 00:00:00 CEST 2015, Event: ,ASA v Confianca, Favorite: ,asa, 4701918   size:8.54,Price: ,1.7,The Draw, 58805   size:2.55,Price: ,3.65,Confianca, 3806543   size:2.86,Price: ,5.1,ok
1.119664276, Sport: ,Soccer, Time: ,Mon Aug 03 00:00:00 CEST 2015, Time: ,Mon Aug 03 00:00:00 CEST 2015, Event: ,Guadalajara v Cruz Azul, Favorite: ,Cruz Azul, 328204   size:157.94,Price: ,2.66,The Draw, 58805   size:187.91,Price: ,3.1,Guadalajara, 230909   size:408.68,Price: ,3.15,ok
