1.119873711, Sport: ,Tennis, Time: ,Thu Aug 06 13:00:00 CEST 2015, Time: ,Thu Aug 06 13:00:00 CEST 2015, Event: ,Pantuckova v Garcia-Perez, Favorite: ,Gabriela Pantuckova, 9148884   size:3.98,Price: ,1.61,Georgina Garcia-Perez, 9544593   size:3.02,Price: ,2.12,ok
1.119873710, Sport: ,Tennis, Time: ,Thu Aug 06 11:30:00 CEST 2015, Time: ,Thu Aug 06 11:30:00 CEST 2015, Event: ,Peterson v Kolarova, Favorite: ,Rebecca Peterson, 7430598   size:380.67,Price: ,1.07,Veronika Kolarova, 9627202   size:19.32,Price: ,6.2,ok
1.119851321, Sport: ,Tennis, Time: ,Thu Aug 06 13:30:00 CEST 2015, Time: ,Thu Aug 06 13:30:00 CEST 2015, Event: ,Mi Basic v Mektic, Favorite: ,Mirza Basic, 5499167   size:5.1,Price: ,1.32,Nikola Mektic, 3658467   size:6.41,Price: ,3.6,ok
1.119643647, Sport: ,Snooker, Time: ,Thu Aug 06 11:00:00 CEST 2015, Time: ,Thu Aug 06 11:00:00 CEST 2015, Event: ,Grace v O Connor, Favorite: ,David Grace, 3439626   size:3.11,Price: ,1.61,Joe O Connor, 8551062   size:2.07,Price: ,2.42,ok
1.119642659, Sport: ,Snooker, Time: ,Thu Aug 06 11:00:00 CEST 2015, Time: ,Thu Aug 06 11:00:00 CEST 2015, Event: ,D Jones v S Wilson, Favorite: ,Duane Jones, 6426022   size:6.37,Price: ,1.68,Sydney Wilson, 6570641   size:8.81,Price: ,2.24,x
1.119855391, Sport: ,Tennis, Time: ,Thu Aug 06 12:00:00 CEST 2015, Time: ,Thu Aug 06 12:00:00 CEST 2015, Event: ,Satral v Podlipnik-Castillo, Favorite: ,Jan Satral, 8490613   size:3.88,Price: ,1.65,Hans Podlipnik-Castillo, 8461633   size:5.0,Price: ,2.4,x
1.119746084, Sport: ,Soccer, Time: ,Thu Aug 06 13:30:00 CEST 2015, Time: ,Thu Aug 06 13:30:00 CEST 2015, Event: ,Home Utd v Harimau Muda B, Favorite: ,Home Utd, 4852330   size:3.39,Price: ,1.96,Harimau Muda B, 5606145   size:4.3,Price: ,3.6,The Draw, 58805   size:31.08,Price: ,3.8,
1.119855151, Sport: ,Tennis, Time: ,Thu Aug 06 10:00:00 CEST 2015, Time: ,Thu Aug 06 10:00:00 CEST 2015, Event: ,Benoit v Versteeg, Favorite: ,Marie Benoit, 9630240   size:7.09,Price: ,1.41,Kelly Versteeg, 9166490   size:2.55,Price: ,3.05,x
1.119855073, Sport: ,Tennis, Time: ,Thu Aug 06 13:45:00 CEST 2015, Time: ,Thu Aug 06 13:45:00 CEST 2015, Event: ,Albot v Londero, Favorite: ,Radu Albot, 6603898   size:2.55,Price: ,1.44,Juan Ignacio Londero, 7430086   size:7.39,Price: ,2.8,ok
1.119855150, Sport: ,Tennis, Time: ,Thu Aug 06 11:30:00 CEST 2015, Time: ,Thu Aug 06 11:30:00 CEST 2015, Event: ,Georges v Minnen, Favorite: ,Myrtille Georges, 7283251   size:2.55,Price: ,1.59,Greet Minnen, 10108736   size:2.78,Price: ,2.3,ok
1.119859254, Sport: ,Tennis, Time: ,Thu Aug 06 12:00:00 CEST 2015, Time: ,Thu Aug 06 12:00:00 CEST 2015, Event: ,Delbonis v P Mathieu, Favorite: ,Federico Delbonis, 6181532   size:87.24,Price: ,1.65,Paul-Henri Mathieu, 8259186   size:27.18,Price: ,2.52,x
1.119855375, Sport: ,Tennis, Time: ,Thu Aug 06 14:30:00 CEST 2015, Time: ,Thu Aug 06 14:30:00 CEST 2015, Event: ,Almagro/Berlocq v Carreno Busta/Sa, Favorite: ,Almagro/Berlocq, 10105799   size:2.78,Price: ,1.8,Carreno Busta/Sa, 10105797   size:2.5,Price: ,2.0,ok
