1.119852119, Sport: ,Soccer, Time: ,Fri Aug 07 16:00:00 CEST 2015, Time: ,Fri Aug 07 16:00:00 CEST 2015, Event: ,Fulham U21 v Brighton U21, Favorite: ,Fulham U21, 6721906   size:10.04,Price: ,2.2,Brighton U21, 6865403   size:2.57,Price: ,2.5,The Draw, 58805   size:2.08,Price: ,3.1,ok
1.119872367, Sport: ,Soccer, Time: ,Fri Aug 07 21:00:00 CEST 2015, Time: ,Fri Aug 07 21:00:00 CEST 2015, Event: ,Hafnarfjordur (W) v Alftanes (W), Favorite: ,Alftanes (W), 5232581   size:2.63,Price: ,1.07,The Draw, 58805   size:2.0,Price: ,1.27,x
1.119873335, Sport: ,Soccer, Time: ,Fri Aug 07 16:00:00 CEST 2015, Time: ,Fri Aug 07 16:00:00 CEST 2015, Event: ,Karpaty U21 v Odesa U21, Favorite: ,Karpaty U21, 10092764   size:2.14,Price: ,2.34,Odesa U21, 10092747   size:67.5,Price: ,2.92,The Draw, 58805   size:12.41,Price: ,3.5,x
1.119765266, Sport: ,Soccer, Time: ,Fri Aug 07 18:00:00 CEST 2015, Time: ,Fri Aug 07 18:00:00 CEST 2015, Event: ,Nomme Kalju v Sillamae Kalev, Favorite: ,Nomme Kalju, 4007449   size:13.3,Price: ,1.74,The Draw, 58805   size:2.55,Price: ,4.1,Sillamae Kalev, 4837259   size:6.23,Price: ,4.9,ok
1.119872885, Sport: ,Soccer, Time: ,Fri Aug 07 15:30:00 CEST 2015, Time: ,Fri Aug 07 15:30:00 CEST 2015, Event: ,Maccabi Herzliya v Hapoel Afula, Favorite: ,Maccabi Herzliya, 5195923   size:2.53,Price: ,2.18,Hapoel Afula, 5546999   size:8.69,Price: ,2.54,The Draw, 58805   size:8.44,Price: ,3.2,ok
1.119766873, Sport: ,Soccer, Time: ,Fri Aug 07 20:45:00 CEST 2015, Time: ,Fri Aug 07 20:45:00 CEST 2015, Event: ,Dundalk v Longford, Favorite: ,Dundalk, 198746   size:7290.41,Price: ,1.18,The Draw, 58805   size:169.9,Price: ,8.4,Longford, 184330   size:2.45,Price: ,22.0,x
1.119737477, Sport: ,Rugby League, Time: ,Fri Aug 07 21:00:00 CEST 2015, Time: ,Fri Aug 07 21:00:00 CEST 2015, Event: ,Castleford v Hull FC, Favorite: ,Castleford, 121729   size:11.17,Price: ,1.44,Hull FC, 23395   size:12.94,Price: ,3.5,Draw, 11126   size:3.49,Price: ,23.0,ok
1.119794545, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,Achilles 29 v Jong Ajax, Favorite: ,Jong Ajax, 4184832   size:17.59,Price: ,2.36,Achilles 29, 4189472   size:110.6,Price: ,3.2,The Draw, 58805   size:97.82,Price: ,3.7,x
1.119737479, Sport: ,Rugby League, Time: ,Fri Aug 07 21:00:00 CEST 2015, Time: ,Fri Aug 07 21:00:00 CEST 2015, Event: ,Leeds v Warrington, Favorite: ,Leeds, 39514   size:667.39,Price: ,1.36,Warrington, 25400   size:76.5,Price: ,4.3,Draw, 11126   size:14.77,Price: ,23.0,ok
1.119872480, Sport: ,Soccer, Time: ,Fri Aug 07 21:00:00 CEST 2015, Time: ,Fri Aug 07 21:00:00 CEST 2015, Event: ,Berserkir v Kari, Favorite: ,Kari, 6379239   size:148.49,Price: ,1.37,The Draw, 58805   size:2.99,Price: ,4.6,Berserkir, 5554197   size:2.46,Price: ,5.3,x
1.119872085, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,SJ dos Campos U20 v Palmeiras U20, Favorite: ,Palmeiras U20, 5181619   size:2.63,Price: ,1.07,The Draw, 58805   size:2.0,Price: ,1.27,x
1.119873053, Sport: ,Soccer, Time: ,Fri Aug 07 17:30:00 CEST 2015, Time: ,Fri Aug 07 17:30:00 CEST 2015, Event: ,FK Minija Kretinga v FK Kruoja Pakruojis II, Favorite: ,FK Kruoja Pakruojis II, 6433916   size:2.04,Price: ,1.09,The Draw, 58805   size:11.04,Price: ,1.29,x
1.119766593, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,BFC Dynamo v FSV Frankfurt, Favorite: ,FSV Frankfurt, 2486890   size:256.24,Price: ,2.26,The Draw, 58805   size:73.19,Price: ,3.5,ok
1.119871428, Sport: ,Soccer, Time: ,Fri Aug 07 17:00:00 CEST 2015, Time: ,Fri Aug 07 17:00:00 CEST 2015, Event: ,FK Lokomotiv Liski v FK Tambov, Favorite: ,FK Tambov, 9406583   size:34.85,Price: ,1.92,The Draw, 58805   size:14.58,Price: ,3.3,FK Lokomotiv Liski, 9476973   size:9.5,Price: ,4.0,ok
1.119909694, Sport: ,Soccer, Time: ,Fri Aug 07 17:00:00 CEST 2015, Time: ,Fri Aug 07 17:00:00 CEST 2015, Event: ,Inegolspor v Bandirmaspor, Favorite: ,Bandirmaspor, 4985299   size:21.87,Price: ,1.02,The Draw, 58805   size:2.0,Price: ,1.27,ok
1.119850968, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,MFK Skalica v Podbrezova, Favorite: ,MFK Skalica, 8690761   size:26.59,Price: ,2.24,The Draw, 58805   size:21.22,Price: ,3.45,
1.119767837, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,Evian TG v Clermont, Favorite: ,Evian TG, 4864973   size:163.16,Price: ,2.2,The Draw, 58805   size:1150.51,Price: ,3.1,Clermont, 309686   size:65.24,Price: ,4.2,x
1.119873448, Sport: ,Soccer, Time: ,Fri Aug 07 16:00:00 CEST 2015, Time: ,Fri Aug 07 16:00:00 CEST 2015, Event: ,Zorya U21 v Olimpik Donetsk U21, Favorite: ,Zorya U21, 10096686   size:3.82,Price: ,1.31,The Draw, 58805   size:3.74,Price: ,5.9,Olimpik Donetsk U21, 10092763   size:4.2,Price: ,8.8,x
1.119872997, Sport: ,Soccer, Time: ,Fri Aug 07 18:15:00 CEST 2015, Time: ,Fri Aug 07 18:15:00 CEST 2015, Event: ,Ushuru FC v Sofapaka, Favorite: ,Sofapaka, 9564497   size:2.48,Price: ,2.02,Ushuru FC, 9675669   size:6.89,Price: ,2.64,The Draw, 58805   size:11.87,Price: ,2.66,x
