1.119226962, Sport: ,Basketball, Time: ,Sun Jun 21 22:15:00 CEST 2015, Time: ,Sun Jun 21 22:15:00 CEST 2015, Event: ,St Vincent and Gren v Surinam, Favorite: ,Surinam, 9652414   size:0.0,Price: ,0.0,ok
1.119226943, Sport: ,Basketball, Time: ,Mon Jun 22 00:30:00 CEST 2015, Time: ,Mon Jun 22 00:30:00 CEST 2015, Event: ,British Virgin Islands v Antigua, Favorite: ,Antigua, 9582142   size:0.0,Price: ,0.0,ok
1.119152048, Sport: ,Cricket, Time: ,Sun Jun 21 22:00:00 CEST 2015, Time: ,Sun Jun 21 22:00:00 CEST 2015, Event: ,St Lucia v Trinidad and Tobago, Favorite: ,Trinidad and Tobago, 2009675   size:33.56,Price: ,1.83,St Lucia, 2312314   size:166.81,Price: ,2.14,x
1.119179425, Sport: ,Baseball, Time: ,Sun Jun 21 22:10:00 CEST 2015, Time: ,Sun Jun 21 22:10:00 CEST 2015, Event: ,HOU @ SEA, Favorite: ,Seattle (J Happ), 9520039   size:728.22,Price: ,1.88,Houston (V Velasquez), 9580436   size:96.0,Price: ,2.06,x
1.119179417, Sport: ,Baseball, Time: ,Sun Jun 21 22:05:00 CEST 2015, Time: ,Sun Jun 21 22:05:00 CEST 2015, Event: ,LAA @ OAK, Favorite: ,Oakland (S Kazmir), 8431596   size:287.99,Price: ,1.89,LA Angels (G Richards), 5741327   size:543.77,Price: ,2.04,ok
1.119179449, Sport: ,Baseball, Time: ,Sun Jun 21 23:05:00 CEST 2015, Time: ,Sun Jun 21 23:05:00 CEST 2015, Event: ,NYM @ ATL, Favorite: ,NY Mets (M Harvey), 6551353   size:265.0,Price: ,1.73,Atlanta (J Teheran), 5530617   size:21.36,Price: ,2.3,x
1.119179433, Sport: ,Baseball, Time: ,Sun Jun 21 22:10:00 CEST 2015, Time: ,Sun Jun 21 22:10:00 CEST 2015, Event: ,MIL @ COL, Favorite: ,Colorado (C Rusin), 9565222   size:538.0,Price: ,1.89,Milwaukee (M Garza), 8432623   size:517.0,Price: ,2.04,ok
1.119149452, Sport: ,Basketball, Time: ,Sun Jun 21 23:00:00 CEST 2015, Time: ,Sun Jun 21 23:00:00 CEST 2015, Event: ,Connecticut @ Los Angeles, Favorite: ,Connecticut, 332194   size:94.8,Price: ,1.62,Los Angeles, 3213264   size:19.95,Price: ,2.4,ok
1.119179441, Sport: ,Baseball, Time: ,Sun Jun 21 22:10:00 CEST 2015, Time: ,Sun Jun 21 22:10:00 CEST 2015, Event: ,SD @ ARI, Favorite: ,San Diego (A Cashner), 6436041   size:284.69,Price: ,1.95,Arizona (J Hellickson), 9385116   size:460.0,Price: ,1.99,x
1.119149449, Sport: ,Basketball, Time: ,Sun Jun 21 21:00:00 CEST 2015, Time: ,Sun Jun 21 21:00:00 CEST 2015, Event: ,New York @ Atlanta, Favorite: ,Atlanta, 13114   size:834.04,Price: ,1.45,New York, 13106   size:59.01,Price: ,2.98,x
1.119179457, Sport: ,Baseball, Time: ,Mon Jun 22 02:08:00 CEST 2015, Time: ,Mon Jun 22 02:08:00 CEST 2015, Event: ,SF @ LAD, Favorite: ,LA Dodgers (B Anderson), 9389898   size:530.0,Price: ,1.59,San Francisco (T Lincecum), 2403237   size:4.99,Price: ,2.62,ok
1.119226946, Sport: ,Basketball, Time: ,Mon Jun 22 02:45:00 CEST 2015, Time: ,Mon Jun 22 02:45:00 CEST 2015, Event: ,Bahamas v Virgin Islands, Favorite: ,Virgin Islands, 2512082   size:0.0,Price: ,0.0,ok
1.119149458, Sport: ,Basketball, Time: ,Mon Jun 22 03:00:00 CEST 2015, Time: ,Mon Jun 22 03:00:00 CEST 2015, Event: ,Phoenix @ Seattle, Favorite: ,Phoenix, 13128   size:7.45,Price: ,1.84,Seattle, 13130   size:194.18,Price: ,2.14,ok
