1.119221493, Sport: ,Tennis, Time: ,Sun Jun 21 12:45:00 CEST 2015, Time: ,Sun Jun 21 12:45:00 CEST 2015, Event: ,Dutra Silva v Sancic, Favorite: ,Rogerio Dutra Silva, 2301068   size:4.19,Price: ,1.21,Antonio Sancic, 8826899   size:2.93,Price: ,1.3,ok
1.119221498, Sport: ,Tennis, Time: ,Sun Jun 21 13:45:00 CEST 2015, Time: ,Sun Jun 21 13:45:00 CEST 2015, Event: ,Zverev v Zemlja, Favorite: ,Mischa Zverev, 2263625   size:6.47,Price: ,1.37,Grega Zemlja, 3509269   size:17.07,Price: ,3.25,ok
1.119221576, Sport: ,Tennis, Time: ,Sun Jun 21 13:45:00 CEST 2015, Time: ,Sun Jun 21 13:45:00 CEST 2015, Event: ,Marchenko v Lacko, Favorite: ,Illya Marchenko, 3691700   size:8.32,Price: ,1.74,Lukas Lacko, 2263634   size:7.0,Price: ,2.16,x
1.119168272, Sport: ,Basketball, Time: ,Sun Jun 21 12:30:00 CEST 2015, Time: ,Sun Jun 21 12:30:00 CEST 2015, Event: ,Real Madrid v Barcelona, Favorite: ,Real Madrid, 266274   size:288.92,Price: ,1.36,Barcelona, 266269   size:2.04,Price: ,3.55,ok
1.119218606, Sport: ,Cricket, Time: ,Sun Jun 21 15:00:00 CEST 2015, Time: ,Sun Jun 21 15:00:00 CEST 2015, Event: ,Ireland v Scotland (4th T20), Favorite: ,Ireland, 152530   size:735.27,Price: ,1.29,Scotland, 152533   size:384.83,Price: ,1.33,x
1.119217934, Sport: ,Tennis, Time: ,Sun Jun 21 15:00:00 CEST 2015, Time: ,Sun Jun 21 15:00:00 CEST 2015, Event: ,Riske v Cornet, Favorite: ,Alison Riske, 4566011   size:3201.6,Price: ,1.67,Alize Cornet, 2263692   size:94.61,Price: ,2.4,ok
1.119217873, Sport: ,Tennis, Time: ,Sun Jun 21 13:30:00 CEST 2015, Time: ,Sun Jun 21 13:30:00 CEST 2015, Event: ,Barthel v Bencic, Favorite: ,Belinda Bencic, 6390244   size:1493.93,Price: ,1.28,Mona Barthel, 5056975   size:392.73,Price: ,3.85,ok
1.119221525, Sport: ,Tennis, Time: ,Sun Jun 21 15:00:00 CEST 2015, Time: ,Sun Jun 21 15:00:00 CEST 2015, Event: ,Caruso v Cipolla, Favorite: ,Salvatore Caruso, 8257868   size:69.94,Price: ,1.03,Flavio Cipolla, 2424788   size:17.62,Price: ,1.05,x
1.119221505, Sport: ,Tennis, Time: ,Sun Jun 21 15:00:00 CEST 2015, Time: ,Sun Jun 21 15:00:00 CEST 2015, Event: ,Niculescu v Mchale, Favorite: ,Monica Niculescu, 2309528   size:6.18,Price: ,1.76,Christina McHale, 8765475   size:56.9,Price: ,2.24,x
1.119221481, Sport: ,Tennis, Time: ,Sun Jun 21 13:30:00 CEST 2015, Time: ,Sun Jun 21 13:30:00 CEST 2015, Event: ,Tomljanovic v Falconi, Favorite: ,Irina Falconi, 4946384   size:8.29,Price: ,1.89,Ajla Tomljanovic, 3740233   size:13.72,Price: ,1.94,ok
1.119150514, Sport: ,Cricket, Time: ,Sun Jun 21 15:30:00 CEST 2015, Time: ,Sun Jun 21 15:30:00 CEST 2015, Event: ,Warwickshire v Yorkshire, Favorite: ,Yorkshire, 655   size:112.95,Price: ,1.79,Warwickshire, 2120   size:19.64,Price: ,2.14,x
