1.119121942, Sport: ,Cricket, Time: ,Mon Jun 22 11:00:00 CEST 2015, Time: ,Mon Jun 22 11:00:00 CEST 2015, Event: ,Netherlands v Papua New Guinea, Favorite: ,Netherlands, 228749   size:5.7,Price: ,1.11,Papua New Guinea, 2857977   size:5.7,Price: ,1.34,ok
1.119226026, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Wang v Cachin, Favorite: ,Jimmy Wang, 5377090   size:34.9,Price: ,1.17,Pedro Cachin, 8461316   size:66.0,Price: ,5.9,ok
1.119226005, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Coppejans v Millot, Favorite: ,Kimmer Coppejans, 7364095   size:5.26,Price: ,1.52,Vincent Millot, 4275820   size:52.0,Price: ,2.82,x
1.119226024, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Herbert v Podlipnik-Castillo, Favorite: ,Pierre-Hugues Herbert, 8266399   size:3.31,Price: ,1.14,Hans Podlipnik-Castillo, 8461633   size:12.46,Price: ,6.6,ok
1.119226129, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Bachinger v Cox, Favorite: ,Matthias Bachinger, 2397396   size:170.24,Price: ,1.41,Daniel Cox, 5595356   size:69.8,Price: ,3.2,ok
1.119217090, Sport: ,Tennis, Time: ,Mon Jun 22 13:00:00 CEST 2015, Time: ,Mon Jun 22 13:00:00 CEST 2015, Event: ,Jaziri v Edmund, Favorite: ,Kyle Edmund, 5626817   size:3.51,Price: ,1.87,Malek Jaziri, 5776215   size:193.09,Price: ,2.1,x
1.119226787, Sport: ,Tennis, Time: ,Mon Jun 22 13:00:00 CEST 2015, Time: ,Mon Jun 22 13:00:00 CEST 2015, Event: ,Sela v Gimeno-Traver, Favorite: ,Dudi Sela, 2263685   size:2.58,Price: ,1.34,Daniel Gimeno-Traver, 8260127   size:25.92,Price: ,3.7,ok
1.119225479, Sport: ,Tennis, Time: ,Mon Jun 22 12:30:00 CEST 2015, Time: ,Mon Jun 22 12:30:00 CEST 2015, Event: ,Molinero v Laisne, Favorite: ,Florencia Molinero, 4946380   size:6.31,Price: ,1.44,Kinnie Laisne, 3375694   size:115.3,Price: ,2.88,ok
1.119226161, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Robert v Gombos, Favorite: ,Stephane Robert, 4422812   size:3.1,Price: ,1.57,Norbert Gombos, 8173023   size:108.0,Price: ,2.58,ok
1.119226121, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Gigounon v Przysiezny, Favorite: ,Michal Przysiezny, 2475803   size:597.63,Price: ,1.48,Germain Gigounon, 8174343   size:6.04,Price: ,2.66,ok
1.119225352, Sport: ,Tennis, Time: ,Mon Jun 22 11:00:00 CEST 2015, Time: ,Mon Jun 22 11:00:00 CEST 2015, Event: ,Albie v Sireix, Favorite: ,Audrey Albie, 8948984   size:6.39,Price: ,1.27,Camille Sireix, 9632867   size:26.09,Price: ,3.7,ok
