1.119246314, Sport: ,Tennis, Time: ,Thu Jun 25 14:45:00 CEST 2015, Time: ,Thu Jun 25 14:45:00 CEST 2015, Event: ,L Mayer v Istomin, Favorite: ,Denis Istomin, 2765780   size:131.8,Price: ,1.74,Leonardo Mayer, 3186303   size:97.24,Price: ,2.34,ok
1.119248453, Sport: ,Tennis, Time: ,Thu Jun 25 13:00:00 CEST 2015, Time: ,Thu Jun 25 13:00:00 CEST 2015, Event: ,Millman v Couacaud, Favorite: ,John Millman, 4415206   size:99.24,Price: ,1.38,Enzo Couacaud, 8174333   size:7.28,Price: ,3.2,ok
1.119239227, Sport: ,Tennis, Time: ,Thu Jun 25 13:45:00 CEST 2015, Time: ,Thu Jun 25 13:45:00 CEST 2015, Event: ,J Eysseric v Dutra Silva, Favorite: ,Rogerio Dutra Silva, 2301068   size:3.81,Price: ,1.58,Jonathan Eysseric, 2426230   size:16.3,Price: ,2.72,ok
1.119248923, Sport: ,Tennis, Time: ,Thu Jun 25 17:00:00 CEST 2015, Time: ,Thu Jun 25 17:00:00 CEST 2015, Event: ,J Jones v Sanders, Favorite: ,Storm Sanders, 7594131   size:979.03,Price: ,1.03,Julia Jones, 9631466   size:6.36,Price: ,1.47,x
1.119248484, Sport: ,Tennis, Time: ,Thu Jun 25 13:00:00 CEST 2015, Time: ,Thu Jun 25 13:00:00 CEST 2015, Event: ,Fucsovics v Basilashvili, Favorite: ,Nikoloz Basilashvili, 8257807   size:21.74,Price: ,1.89,Marton Fucsovics, 4827766   size:34.38,Price: ,2.06,ok
1.119232974, Sport: ,Basketball, Time: ,Thu Jun 25 18:00:00 CEST 2015, Time: ,Thu Jun 25 18:00:00 CEST 2015, Event: ,Spain (W) v Montenegro (W), Favorite: ,Spain (W), 6427242   size:2545.77,Price: ,1.07,Montenegro (W), 6427234   size:50.74,Price: ,10.0,ok
1.119248602, Sport: ,Tennis, Time: ,Thu Jun 25 17:00:00 CEST 2015, Time: ,Thu Jun 25 17:00:00 CEST 2015, Event: ,Isner v Kokkinakis, Favorite: ,John Isner, 2474763   size:2.56,Price: ,1.41,Thanasi Kokkinakis, 8172416   size:2.56,Price: ,2.18,ok
1.119248601, Sport: ,Tennis, Time: ,Thu Jun 25 15:30:00 CEST 2015, Time: ,Thu Jun 25 15:30:00 CEST 2015, Event: ,N Djokovic v Gasquet, Favorite: ,Novak Djokovic, 2249229   size:124.37,Price: ,1.11,Richard Gasquet, 2249399   size:16.68,Price: ,3.9,ok
1.119248048, Sport: ,Tennis, Time: ,Thu Jun 25 13:45:00 CEST 2015, Time: ,Thu Jun 25 13:45:00 CEST 2015, Event: ,Kumkhum v Hsieh, Favorite: ,Su-Wei Hsieh, 8244521   size:8.95,Price: ,1.27,Luksika Kumkhum, 6670677   size:23.49,Price: ,4.5,ok
1.119248565, Sport: ,Tennis, Time: ,Thu Jun 25 15:00:00 CEST 2015, Time: ,Thu Jun 25 15:00:00 CEST 2015, Event: ,Lechemia v Ferro, Favorite: ,Fiona Ferro, 8535268   size:5.02,Price: ,1.22,Elixane Lechemia, 5303877   size:7.19,Price: ,4.9,ok
1.119248564, Sport: ,Tennis, Time: ,Thu Jun 25 15:00:00 CEST 2015, Time: ,Thu Jun 25 15:00:00 CEST 2015, Event: ,Vikhlyantseva v Johansson, Favorite: ,Mathilde Johansson, 2250865   size:5.97,Price: ,1.82,Natalia Vikhlyantseva, 9042370   size:39.3,Price: ,2.02,ok
1.119244914, Sport: ,Tennis, Time: ,Thu Jun 25 13:30:00 CEST 2015, Time: ,Thu Jun 25 13:30:00 CEST 2015, Event: ,Bencic v Konta, Favorite: ,Belinda Bencic, 6390244   size:1364.37,Price: ,1.56,Johanna Konta, 5596561   size:63.72,Price: ,2.76,ok
1.119248155, Sport: ,Tennis, Time: ,Thu Jun 25 16:30:00 CEST 2015, Time: ,Thu Jun 25 16:30:00 CEST 2015, Event: ,Petkovic v Wozniacki, Favorite: ,Caroline Wozniacki, 2309522   size:304.61,Price: ,1.32,Andrea Petkovic, 2404122   size:9.18,Price: ,4.0,ok
1.119248351, Sport: ,Tennis, Time: ,Thu Jun 25 13:30:00 CEST 2015, Time: ,Thu Jun 25 13:30:00 CEST 2015, Event: ,Menendez-Maceiras v Berrer, Favorite: ,Michael Berrer, 2263684   size:31.39,Price: ,1.48,Adrian Menendez-Maceira, 9128710   size:155.75,Price: ,2.8,ok
