1.119187670, Sport: ,Basketball, Time: ,Thu Jun 25 20:05:00 CEST 2015, Time: ,Thu Jun 25 20:05:00 CEST 2015, Event: ,Hapoel M Jerusalem v Hapoel Eilat, Favorite: ,Hapoel M Jerusalem, 7758971   size:125.67,Price: ,1.22,Hapoel Eilat, 7758974   size:2.56,Price: ,4.8,ok
1.119149637, Sport: ,Basketball, Time: ,Fri Jun 26 02:00:00 CEST 2015, Time: ,Fri Jun 26 02:00:00 CEST 2015, Event: ,Phoenix @ San Antonio, Favorite: ,Phoenix, 13128   size:2.95,Price: ,1.7,San Antonio, 13121   size:2.56,Price: ,2.26,x
1.119187420, Sport: ,Baseball, Time: ,Thu Jun 25 20:05:00 CEST 2015, Time: ,Thu Jun 25 20:05:00 CEST 2015, Event: ,OAK @ TEX, Favorite: ,Oakland (S Gray), 7569852   size:101.17,Price: ,1.76,Texas (C Lewis), 4634645   size:4.93,Price: ,2.28,ok
1.119187453, Sport: ,Baseball, Time: ,Thu Jun 25 21:45:00 CEST 2015, Time: ,Thu Jun 25 21:45:00 CEST 2015, Event: ,SD @ SF, Favorite: ,San Francisco (C Heston), 8875870   size:39.59,Price: ,1.83,San Diego (J Shields), 9378795   size:176.9,Price: ,2.18,ok
1.119249348, Sport: ,Baseball, Time: ,Fri Jun 26 01:10:00 CEST 2015, Time: ,Fri Jun 26 01:10:00 CEST 2015, Event: ,STL @ MIA, Favorite: ,St Louis (L Lynn), 5588102   size:318.66,Price: ,1.88,Miami (D Haren), 9389911   size:98.63,Price: ,2.08,ok
1.119187486, Sport: ,Baseball, Time: ,Fri Jun 26 02:10:00 CEST 2015, Time: ,Fri Jun 26 02:10:00 CEST 2015, Event: ,NYY @ HOU, Favorite: ,Houston (D Keuchel), 6453422   size:92.11,Price: ,1.66,New York Yankees (A Warren), 7596373   size:93.59,Price: ,2.46,ok
1.119211914, Sport: ,Cricket, Time: ,Fri Jun 26 02:00:00 CEST 2015, Time: ,Fri Jun 26 02:00:00 CEST 2015, Event: ,Barbados v Trinidad and Tobago, Favorite: ,Barbados, 2312315   size:124.98,Price: ,1.81,Trinidad and Tobago, 2009675   size:121.92,Price: ,2.22,ok
1.119261045, Sport: ,Tennis, Time: ,Thu Jun 25 19:30:00 CEST 2015, Time: ,Thu Jun 25 19:30:00 CEST 2015, Event: ,K Chen v S Crawford, Favorite: ,Samantha Crawford, 6603928   size:71.23,Price: ,1.02,ok
1.119212376, Sport: ,Cricket, Time: ,Thu Jun 25 19:30:00 CEST 2015, Time: ,Thu Jun 25 19:30:00 CEST 2015, Event: ,Durham v Lancashire, Favorite: ,Lancashire, 424679   size:135.9,Price: ,1.91,Durham, 31374   size:119.76,Price: ,2.08,ok
1.119232971, Sport: ,Basketball, Time: ,Thu Jun 25 20:30:00 CEST 2015, Time: ,Thu Jun 25 20:30:00 CEST 2015, Event: ,France (W) v Russia (W), Favorite: ,France (W), 6469563   size:31.5,Price: ,1.42,Russia (W), 7306785   size:21.52,Price: ,3.25,ok
1.119187469, Sport: ,Baseball, Time: ,Fri Jun 26 01:05:00 CEST 2015, Time: ,Fri Jun 26 01:05:00 CEST 2015, Event: ,CIN @ PIT, Favorite: ,Pittsburgh (A Burnett), 6327266   size:253.15,Price: ,1.65,Cincinnati (A DeSclafani), 9385641   size:98.96,Price: ,2.46,x
1.119187411, Sport: ,Baseball, Time: ,Thu Jun 25 19:35:00 CEST 2015, Time: ,Thu Jun 25 19:35:00 CEST 2015, Event: ,BAL @ BOS, Favorite: ,Boston (E Rodriguez), 9531865   size:288.19,Price: ,1.79,Baltimore (M Gonzalez), 6495397   size:305.96,Price: ,2.22,x
1.119187445, Sport: ,Baseball, Time: ,Thu Jun 25 21:10:00 CEST 2015, Time: ,Thu Jun 25 21:10:00 CEST 2015, Event: ,ARI @ COL, Favorite: ,Arizona (R De La Rosa), 9382117   size:6.08,Price: ,1.95,Colorado (J De La Rosa), 3017245   size:305.96,Price: ,2.02,x
1.119187428, Sport: ,Baseball, Time: ,Thu Jun 25 20:10:00 CEST 2015, Time: ,Thu Jun 25 20:10:00 CEST 2015, Event: ,NYM @ MIL, Favorite: ,New York Mets (J deGrom), 8571051   size:242.46,Price: ,1.86,Milwaukee (T Jungmann), 9573008   size:167.73,Price: ,2.14,ok
1.119187437, Sport: ,Baseball, Time: ,Thu Jun 25 20:20:00 CEST 2015, Time: ,Thu Jun 25 20:20:00 CEST 2015, Event: ,LAD @ CHC, Favorite: ,Chicago Cubs (J Lester), 9377609   size:107.69,Price: ,1.73,LA Dodgers (C Frias), 8819960   size:26.22,Price: ,2.3,x
