1.119248360, Sport: ,Tennis, Time: ,Fri Jun 26 16:45:00 CEST 2015, Time: ,Fri Jun 26 16:45:00 CEST 2015, Event: ,Djere v Delbonis, Favorite: ,Federico Delbonis, 6181532   size:1043.04,Price: ,1.28,Laslo Djere, 7692106   size:13.5,Price: ,4.3,ok
1.119264080, Sport: ,Tennis, Time: ,Fri Jun 26 15:45:00 CEST 2015, Time: ,Fri Jun 26 15:45:00 CEST 2015, Event: ,Paire v Dutra Silva, Favorite: ,Benoit Paire, 3911345   size:78.37,Price: ,1.52,Rogerio Dutra Silva, 2301068   size:5.62,Price: ,2.9,x
1.119248921, Sport: ,Tennis, Time: ,Fri Jun 26 16:00:00 CEST 2015, Time: ,Fri Jun 26 16:00:00 CEST 2015, Event: ,Arconada v Wong, Favorite: ,Keri Wong, 8735486   size:5.0,Price: ,1.03,Usue Maitane Arconada, 7533705   size:151.13,Price: ,1.11,x
1.119265891, Sport: ,Tennis, Time: ,Fri Jun 26 17:00:00 CEST 2015, Time: ,Fri Jun 26 17:00:00 CEST 2015, Event: ,Chan/Zheng v Makarova/Vesnina, Favorite: ,Makarova/Vesnina, 6369481   size:4.12,Price: ,1.51,Chan/Zheng, 8461906   size:98.08,Price: ,2.44,x
1.119265972, Sport: ,Tennis, Time: ,Fri Jun 26 18:00:00 CEST 2015, Time: ,Fri Jun 26 18:00:00 CEST 2015, Event: ,Volandri v Hemery, Favorite: ,Calvin Hemery , 8284525   size:2.56,Price: ,1.93,Filippo Volandri, 2256483   size:2.56,Price: ,1.97,ok
1.119267004, Sport: ,Basketball, Time: ,Fri Jun 26 15:30:00 CEST 2015, Time: ,Fri Jun 26 15:30:00 CEST 2015, Event: ,Russia (W) v Montenegro (W), Favorite: ,Russia (W), 7306785   size:38.83,Price: ,1.45,Montenegro (W), 6427234   size:4.74,Price: ,2.86,ok
1.119265970, Sport: ,Tennis, Time: ,Fri Jun 26 16:00:00 CEST 2015, Time: ,Fri Jun 26 16:00:00 CEST 2015, Event: ,Lao v C Hsu, Favorite: ,Danielle Lao, 8826936   size:3.47,Price: ,1.79,Chieh Yu Hsu, 6596290   size:29.93,Price: ,2.12,ok
1.119261045, Sport: ,Tennis, Time: ,Fri Jun 26 16:00:00 CEST 2015, Time: ,Fri Jun 26 16:00:00 CEST 2015, Event: ,K Chen v S Crawford, Favorite: ,Kelly Chen, 9630725   size:42.77,Price: ,1.76,Samantha Crawford, 6603928   size:167.44,Price: ,2.02,x
1.119265997, Sport: ,Tennis, Time: ,Fri Jun 26 17:00:00 CEST 2015, Time: ,Fri Jun 26 17:00:00 CEST 2015, Event: ,Nadal v R Haase, Favorite: ,Rafael Nadal, 2251410   size:4.26,Price: ,1.14,Robin Haase, 2309796   size:2.56,Price: ,5.1,ok
1.119265979, Sport: ,Tennis, Time: ,Fri Jun 26 17:30:00 CEST 2015, Time: ,Fri Jun 26 17:30:00 CEST 2015, Event: ,B Austin v Vale Costa, Favorite: ,Brooke Austin, 6604255   size:7.24,Price: ,1.33,Joana Vale Costa, 7233899   size:4.83,Price: ,3.55,ok
1.119258251, Sport: ,Tennis, Time: ,Fri Jun 26 15:00:00 CEST 2015, Time: ,Fri Jun 26 15:00:00 CEST 2015, Event: ,Guccione/Sa v Butorac/Fleming, Favorite: ,Guccione/Sa, 9378423   size:37.61,Price: ,1.76,Butorac/Fleming, 9568490   size:25.47,Price: ,2.2,ok
1.119266316, Sport: ,Tennis, Time: ,Fri Jun 26 14:45:00 CEST 2015, Time: ,Fri Jun 26 14:45:00 CEST 2015, Event: ,Dolgopolov v Querrey, Favorite: ,Alexandr Dolgopolov, 4720522   size:609.52,Price: ,1.92,Sam Querrey, 2263560   size:234.54,Price: ,2.08,x
1.119265998, Sport: ,Tennis, Time: ,Fri Jun 26 18:00:00 CEST 2015, Time: ,Fri Jun 26 18:00:00 CEST 2015, Event: ,Bryan/Bryan v Zverev/Zverev, Favorite: ,Bryan/Bryan, 1502771   size:3.78,Price: ,1.13,Zverev/Zverev, 2093455   size:2.76,Price: ,6.6,ok
1.119265995, Sport: ,Tennis, Time: ,Fri Jun 26 13:30:00 CEST 2015, Time: ,Fri Jun 26 13:30:00 CEST 2015, Event: ,J Sock v Robredo, Favorite: ,Jack Sock, 4596957   size:21.42,Price: ,1.51,Tommy Robredo, 2257298   size:2.26,Price: ,2.22,ok
1.119248591, Sport: ,Tennis, Time: ,Fri Jun 26 12:00:00 CEST 2015, Time: ,Fri Jun 26 12:00:00 CEST 2015, Event: ,Hingis/Mirza v Garcia/Srebotnik, Favorite: ,Hingis/Mirza, 2087731   size:34.55,Price: ,1.33,Garcia/Srebotnik, 9128646   size:10.43,Price: ,3.8,x
1.119261029, Sport: ,Tennis, Time: ,Fri Jun 26 15:30:00 CEST 2015, Time: ,Fri Jun 26 15:30:00 CEST 2015, Event: ,Bencic v Wozniacki, Favorite: ,Caroline Wozniacki, 2309522   size:425.37,Price: ,1.39,Belinda Bencic, 6390244   size:89.13,Price: ,3.5,x
1.119260857, Sport: ,Tennis, Time: ,Fri Jun 26 13:00:00 CEST 2015, Time: ,Fri Jun 26 13:00:00 CEST 2015, Event: ,M Baghdatis v Istomin, Favorite: ,Marcos Baghdatis, 2256469   size:1680.22,Price: ,1.54,Denis Istomin, 2765780   size:204.78,Price: ,2.8,x
1.119258327, Sport: ,Tennis, Time: ,Fri Jun 26 14:00:00 CEST 2015, Time: ,Fri Jun 26 14:00:00 CEST 2015, Event: ,Stephens v Radwanska, Favorite: ,Agnieszka Radwanska, 2263577   size:2758.35,Price: ,1.41,Sloane Stephens, 2923342   size:70.12,Price: ,3.35,ok
1.119261021, Sport: ,Tennis, Time: ,Fri Jun 26 15:00:00 CEST 2015, Time: ,Fri Jun 26 15:00:00 CEST 2015, Event: ,M Johansson v Ferro, Favorite: ,Mathilde Johansson, 2250865   size:24.14,Price: ,1.44,Fiona Ferro, 8535268   size:2.01,Price: ,2.92,ok
1.119247980, Sport: ,Tennis, Time: ,Fri Jun 26 14:00:00 CEST 2015, Time: ,Fri Jun 26 14:00:00 CEST 2015, Event: ,Cecchinato v Cipolla, Favorite: ,Marco Cecchinato, 6374165   size:16.37,Price: ,1.3,Flavio Cipolla, 2424788   size:2.27,Price: ,3.9,ok
1.119258366, Sport: ,Basketball, Time: ,Fri Jun 26 13:00:00 CEST 2015, Time: ,Fri Jun 26 13:00:00 CEST 2015, Event: ,Brgy Ginebra v Alaska Aces, Favorite: ,Alaska Aces, 3803222   size:519.45,Price: ,1.76,Brgy Ginebra, 4373828   size:230.73,Price: ,2.22,ok
1.119258015, Sport: ,Tennis, Time: ,Fri Jun 26 11:00:00 CEST 2015, Time: ,Fri Jun 26 11:00:00 CEST 2015, Event: ,Mo Gonzalez v Paquet, Favorite: ,Chloe Paquet, 7216239   size:5.47,Price: ,1.8,Montserrat Gonzalez, 8443246   size:22.21,Price: ,2.14,ok
