1.119149683, Sport: ,Basketball, Time: ,Sat Jun 27 01:00:00 CEST 2015, Time: ,Sat Jun 27 01:00:00 CEST 2015, Event: ,Chicago @ Indiana, Favorite: ,Chicago, 13117   size:2.57,Price: ,1.68,Indiana, 13116   size:2.57,Price: ,2.28,ok
1.119149667, Sport: ,Basketball, Time: ,Sat Jun 27 01:00:00 CEST 2015, Time: ,Sat Jun 27 01:00:00 CEST 2015, Event: ,Los Angeles @ Connecticut, Favorite: ,Connecticut, 332194   size:134.03,Price: ,1.35,Los Angeles, 3213264   size:2.57,Price: ,3.55,ok
1.119227873, Sport: ,Boxing, Time: ,Fri Jun 26 20:30:00 CEST 2015, Time: ,Fri Jun 26 20:30:00 CEST 2015, Event: ,Murray v Beroshvili, Favorite: ,Martin Murray, 3482947   size:5562.1,Price: ,1.01,Draw, 31162   size:2.82,Price: ,36.0,George Beroshvili, 9660451   size:27.73,Price: ,75.0,ok
1.119142897, Sport: ,Boxing, Time: ,Fri Jun 26 23:00:00 CEST 2015, Time: ,Fri Jun 26 23:00:00 CEST 2015, Event: ,Smith v Rebrasse, Favorite: ,Callum Smith, 8528868   size:5632.59,Price: ,1.06,Christopher Rebrasse, 8812585   size:14.5,Price: ,17.5,Draw, 31162   size:29.62,Price: ,55.0,ok
1.119187580, Sport: ,Baseball, Time: ,Sat Jun 27 01:10:00 CEST 2015, Time: ,Sat Jun 27 01:10:00 CEST 2015, Event: ,LAD @ MIA, Favorite: ,LA Dodgers (B Anderson), 9389898   size:589.13,Price: ,1.81,Miami (J Nicolino), 9654348   size:110.43,Price: ,2.16,ok
1.119149703, Sport: ,Basketball, Time: ,Sat Jun 27 02:00:00 CEST 2015, Time: ,Sat Jun 27 02:00:00 CEST 2015, Event: ,New York @ Tulsa, Favorite: ,Tulsa, 711056   size:5.05,Price: ,1.24,New York, 13106   size:5.05,Price: ,4.6,ok
1.119187596, Sport: ,Baseball, Time: ,Sat Jun 27 02:10:00 CEST 2015, Time: ,Sat Jun 27 02:10:00 CEST 2015, Event: ,MIN @ MIL, Favorite: ,Milwaukee (K Lohse), 7179919   size:392.28,Price: ,1.85,Minnesota (T May), 8764796   size:97.05,Price: ,2.1,ok
1.119187564, Sport: ,Baseball, Time: ,Sat Jun 27 01:08:00 CEST 2015, Time: ,Sat Jun 27 01:08:00 CEST 2015, Event: ,CHW @ DET, Favorite: ,Detroit (A Sanchez), 6546455   size:108.53,Price: ,1.66,Chicago White Sox (J Quintana), 6401579   size:333.18,Price: ,2.44,ok
1.119249339, Sport: ,Basketball, Time: ,Fri Jun 26 20:45:00 CEST 2015, Time: ,Fri Jun 26 20:45:00 CEST 2015, Event: ,Reggio Emilia v Dinamo Sassari, Favorite: ,Reggio Emilia, 958950   size:14.93,Price: ,1.6,Dinamo Sassari, 5520916   size:5.05,Price: ,2.44,x
1.119187572, Sport: ,Baseball, Time: ,Sat Jun 27 01:10:00 CEST 2015, Time: ,Sat Jun 27 01:10:00 CEST 2015, Event: ,CIN @ NYM, Favorite: ,Cincinnati (J Cueto), 2942962   size:517.79,Price: ,1.86,NY Mets (N Syndergaard), 9477745   size:19.74,Price: ,2.12,x
1.119142901, Sport: ,Boxing, Time: ,Fri Jun 26 22:00:00 CEST 2015, Time: ,Fri Jun 26 22:00:00 CEST 2015, Event: ,Fielding v Vera, Favorite: ,Rocky Fielding, 5404432   size:801.41,Price: ,1.3,Brian Vera, 7644432   size:227.4,Price: ,4.2,Draw, 31162   size:2.8,Price: ,42.0,ok
