1.119201454, Sport: ,Baseball, Time: ,Sat Jun 27 22:05:00 CEST 2015, Time: ,Sat Jun 27 22:05:00 CEST 2015, Event: ,ATL @ PIT, Favorite: ,Pittsburgh (C Morton), 3966279   size:811.48,Price: ,1.62,Atlanta (J Teheran), 5530617   size:321.19,Price: ,2.48,ok
1.119201510, Sport: ,Baseball, Time: ,Sun Jun 28 01:15:00 CEST 2015, Time: ,Sun Jun 28 01:15:00 CEST 2015, Event: ,CLE @ BAL, Favorite: ,Baltimore (C Tillman), 4079994   size:104.03,Price: ,1.82,Cleveland (C Anderson), 9653347   size:260.82,Price: ,2.14,x
1.119201478, Sport: ,Baseball, Time: ,Sat Jun 27 22:10:00 CEST 2015, Time: ,Sat Jun 27 22:10:00 CEST 2015, Event: ,CIN @ NYM, Favorite: ,New York Mets (M Harvey), 6539384   size:471.68,Price: ,1.62,Cincinnati (M Lorenzen), 9444109   size:256.09,Price: ,2.46,ok
1.119227785, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 02:00:00 CEST 2015, Time: ,Sun Jun 28 02:00:00 CEST 2015, Event: ,Silva v Gonzalez, Favorite: ,Leandro Silva, 7313538   size:3.26,Price: ,1.55,Lewis Gonzalez, 9660117   size:93.79,Price: ,2.44,ok
1.119201494, Sport: ,Baseball, Time: ,Sat Jun 27 22:10:00 CEST 2015, Time: ,Sat Jun 27 22:10:00 CEST 2015, Event: ,BOS @ TB, Favorite: ,Tampa Bay (M Andriese), 9389910   size:298.96,Price: ,1.85,Boston (W Miley), 9389894   size:98.98,Price: ,2.12,ok
1.119201462, Sport: ,Baseball, Time: ,Sat Jun 27 22:05:00 CEST 2015, Time: ,Sat Jun 27 22:05:00 CEST 2015, Event: ,COL @ SF, Favorite: ,San Francisco (T Lincecum), 2403237   size:688.54,Price: ,1.75,Colorado (C Rusin), 9565222   size:344.42,Price: ,2.24,ok
1.119201430, Sport: ,Baseball, Time: ,Sat Jun 27 20:10:00 CEST 2015, Time: ,Sat Jun 27 20:10:00 CEST 2015, Event: ,MIN @ MIL, Favorite: ,Milwaukee (M Garza), 8432623   size:202.91,Price: ,1.78,Minnesota (K Gibson), 7395517   size:694.5,Price: ,2.22,x
1.119201486, Sport: ,Baseball, Time: ,Sat Jun 27 22:10:00 CEST 2015, Time: ,Sat Jun 27 22:10:00 CEST 2015, Event: ,LAD @ MIA, Favorite: ,LA Dodgers (C Kershaw), 3068257   size:111.27,Price: ,1.45,Miami (T Koehler), 6720895   size:1893.01,Price: ,3.1,x
1.119149707, Sport: ,Basketball, Time: ,Sun Jun 28 02:00:00 CEST 2015, Time: ,Sun Jun 28 02:00:00 CEST 2015, Event: ,Phoenix @ Minnesota, Favorite: ,Minnesota, 13118   size:2.57,Price: ,1.33,Phoenix, 13128   size:2.57,Price: ,3.6,ok
1.119227755, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 02:00:00 CEST 2015, Time: ,Sun Jun 28 02:00:00 CEST 2015, Event: ,Oliveira v Merritt, Favorite: ,Alex Oliveira, 9326408   size:9.4,Price: ,1.23,Joe Merritt, 9660112   size:44.31,Price: ,4.1,ok
1.119201470, Sport: ,Baseball, Time: ,Sat Jun 27 22:10:00 CEST 2015, Time: ,Sat Jun 27 22:10:00 CEST 2015, Event: ,NYY @ HOU, Favorite: ,New York Yankees (M Tanaka), 8571050   size:335.37,Price: ,1.86,Houston (B Oberholtzer), 7544086   size:289.24,Price: ,2.14,ok
1.119233808, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 02:00:00 CEST 2015, Time: ,Sun Jun 28 02:00:00 CEST 2015, Event: ,Martinez v Kakai, Favorite: ,Danny Martinez, 8242900   size:2.89,Price: ,1.74,Sirwan Kakai, 9664980   size:5.79,Price: ,2.04,x
1.119212100, Sport: ,Cricket, Time: ,Sat Jun 27 22:00:00 CEST 2015, Time: ,Sat Jun 27 22:00:00 CEST 2015, Event: ,Barbados v St Kitts and Nevis, Favorite: ,Barbados, 2312315   size:2214.6,Price: ,1.5,St Kitts and Nevis, 2312318   size:196.49,Price: ,2.92,x
1.119159947, Sport: ,Basketball, Time: ,Sat Jun 27 19:30:00 CEST 2015, Time: ,Sat Jun 27 19:30:00 CEST 2015, Event: ,Croatia U19 v Egypt U19, Favorite: ,Croatia U19, 7375432   size:5156.8,Price: ,1.01,Egypt U19, 9607909   size:17.91,Price: ,17.0,ok
1.119295417, Sport: ,Baseball, Time: ,Sun Jun 28 01:15:00 CEST 2015, Time: ,Sun Jun 28 01:15:00 CEST 2015, Event: ,CHC @ STL, Favorite: ,St Louis (M Wacha), 7309496   size:301.9,Price: ,1.62,Chicago Cubs (D Roach), 9691284   size:110.09,Price: ,2.52,ok
1.119294418, Sport: ,Tennis, Time: ,Sat Jun 27 18:45:00 CEST 2015, Time: ,Sat Jun 27 18:45:00 CEST 2015, Event: ,Sakamoto v Balleret, Favorite: ,Benjamin Balleret, 2377738   size:2.57,Price: ,1.67,Pedro Sakamoto, 8304915   size:10.92,Price: ,2.46,ok
1.119201518, Sport: ,Baseball, Time: ,Sun Jun 28 01:15:00 CEST 2015, Time: ,Sun Jun 28 01:15:00 CEST 2015, Event: ,SEA @ LAA, Favorite: ,LA Angels (G Richards), 5741327   size:310.08,Price: ,1.7,Seattle (J A Happ), 9391060   size:102.01,Price: ,2.36,ok
1.119227849, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 28 02:00:00 CEST 2015, Time: ,Sun Jun 28 02:00:00 CEST 2015, Event: ,Montgomery v Sims, Favorite: ,Steve Montgomery, 9660126   size:6.41,Price: ,1.81,Tony Sims, 9660127   size:8.97,Price: ,1.96,x
1.119294485, Sport: ,Basketball, Time: ,Sat Jun 27 20:00:00 CEST 2015, Time: ,Sat Jun 27 20:00:00 CEST 2015, Event: ,Turkey (W) v Russia (W), Favorite: ,Russia (W), 7306785   size:3.63,Price: ,1.81,Turkey (W), 6469561   size:7.61,Price: ,2.16,x
1.119201502, Sport: ,Baseball, Time: ,Sat Jun 27 22:08:00 CEST 2015, Time: ,Sat Jun 27 22:08:00 CEST 2015, Event: ,CHW @ DET, Favorite: ,Detroit (K Ryan), 8812015   size:1203.63,Price: ,1.64,Chicago White Sox (J Danks), 2942998   size:257.65,Price: ,2.4,x
1.119295434, Sport: ,Baseball, Time: ,Sat Jun 27 19:07:00 CEST 2015, Time: ,Sat Jun 27 19:07:00 CEST 2015, Event: ,TEX @ TOR, Favorite: ,Toronto (M Boyd), 9691298   size:153.47,Price: ,1.66,Texas (Y Gallardo), 9378796   size:123.09,Price: ,2.46,x
