1.119258371, Sport: ,Basketball, Time: ,Sat Jun 27 09:00:00 CEST 2015, Time: ,Sat Jun 27 09:00:00 CEST 2015, Event: ,Rain Or Shine v Barako Bull Energy, Favorite: ,Rain Or Shine, 3880438   size:3.44,Price: ,1.58,Barako Bull Energy, 5087272   size:45.19,Price: ,2.56,ok
1.119187628, Sport: ,Baseball, Time: ,Sat Jun 27 04:05:00 CEST 2015, Time: ,Sat Jun 27 04:05:00 CEST 2015, Event: ,KC @ OAK, Favorite: ,Oakland (J Hahn), 9381400   size:123.6,Price: ,1.83,Kansas City (E Volquez), 9385643   size:358.43,Price: ,2.16,x
1.119294340, Sport: ,Tennis, Time: ,Sat Jun 27 10:00:00 CEST 2015, Time: ,Sat Jun 27 10:00:00 CEST 2015, Event: ,Kahlke v Giustino, Favorite: ,Lorenzo Giustino, 7534093   size:3.41,Price: ,1.05,Jannis Kahlke, 8640262   size:3.15,Price: ,1.53,ok
1.119294329, Sport: ,Tennis, Time: ,Sat Jun 27 10:00:00 CEST 2015, Time: ,Sat Jun 27 10:00:00 CEST 2015, Event: ,Rudnev v Simon, Favorite: ,Tobias Simon, 7234177   size:70.36,Price: ,1.07,Valery Rudnev, 3393020   size:62.38,Price: ,1.08,x
1.119187644, Sport: ,Baseball, Time: ,Sat Jun 27 04:15:00 CEST 2015, Time: ,Sat Jun 27 04:15:00 CEST 2015, Event: ,COL @ SF, Favorite: ,San Francisco (T Hudson), 8432632   size:511.79,Price: ,1.79,Colorado (C Bettis), 7545057   size:303.68,Price: ,2.2,x
1.119294457, Sport: ,Tennis, Time: ,Sat Jun 27 10:00:00 CEST 2015, Time: ,Sat Jun 27 10:00:00 CEST 2015, Event: ,Tsegai v Grills, Favorite: ,Jacob Grills, 8188238   size:74.41,Price: ,1.02,ok
1.119187620, Sport: ,Baseball, Time: ,Sat Jun 27 04:05:00 CEST 2015, Time: ,Sat Jun 27 04:05:00 CEST 2015, Event: ,SEA @ LAA, Favorite: ,LA Angels (M Shoemaker), 7683114   size:294.05,Price: ,1.87,Seattle (T Walker), 7617352   size:352.6,Price: ,2.1,x
1.119294365, Sport: ,Tennis, Time: ,Sat Jun 27 10:00:00 CEST 2015, Time: ,Sat Jun 27 10:00:00 CEST 2015, Event: ,Androic v Sancic, Favorite: ,Antonio Sancic, 8826899   size:38.88,Price: ,1.08,Toni Androic, 8194189   size:6.52,Price: ,1.22,x
1.119294377, Sport: ,Tennis, Time: ,Sat Jun 27 10:00:00 CEST 2015, Time: ,Sat Jun 27 10:00:00 CEST 2015, Event: ,Mektic v Mar Eriksson, Favorite: ,Nikola Mektic, 3658467   size:38.9,Price: ,1.08,Markus Eriksson, 6670613   size:5.79,Price: ,1.21,ok
1.119187636, Sport: ,Baseball, Time: ,Sat Jun 27 04:10:00 CEST 2015, Time: ,Sat Jun 27 04:10:00 CEST 2015, Event: ,ARI @ SD, Favorite: ,San Diego (T Ross), 7184181   size:268.82,Price: ,1.7,Arizona (R Ray), 9458902   size:548.75,Price: ,2.34,ok
1.119258377, Sport: ,Basketball, Time: ,Sat Jun 27 11:15:00 CEST 2015, Time: ,Sat Jun 27 11:15:00 CEST 2015, Event: ,Meralco Bolts v San Miguel Beermen, Favorite: ,San Miguel Beermen, 3803247   size:3.53,Price: ,1.38,Meralco Bolts, 5023541   size:28.78,Price: ,3.45,x
