1.119295021, Sport: ,Tennis, Time: ,Sun Jun 28 12:45:00 CEST 2015, Time: ,Sun Jun 28 12:45:00 CEST 2015, Event: ,Grills v Giustino, Favorite: ,Lorenzo Giustino, 7534093   size:2.57,Price: ,1.27,Jacob Grills, 8188238   size:6.36,Price: ,3.75,ok
1.119201543, Sport: ,Baseball, Time: ,Sun Jun 28 19:07:00 CEST 2015, Time: ,Sun Jun 28 19:07:00 CEST 2015, Event: ,TEX @ TOR, Favorite: ,Toronto (D Hutchison), 6325405   size:259.28,Price: ,1.55,Texas (C Gonzalez), 9558038   size:257.55,Price: ,2.68,ok
1.119201600, Sport: ,Baseball, Time: ,Sun Jun 28 19:35:00 CEST 2015, Time: ,Sun Jun 28 19:35:00 CEST 2015, Event: ,ATL @ PIT, Favorite: ,Pittsburgh (J Locke), 5810057   size:267.65,Price: ,1.83,Atlanta (A Wood), 7368437   size:319.39,Price: ,2.08,x
1.119201584, Sport: ,Baseball, Time: ,Sun Jun 28 19:35:00 CEST 2015, Time: ,Sun Jun 28 19:35:00 CEST 2015, Event: ,CLE @ BAL (Game 1), Favorite: ,Baltimore (U Jimenez), 8432626   size:1101.4,Price: ,1.81,Cleveland (T Bauer), 7184184   size:841.8,Price: ,2.06,ok
1.119294491, Sport: ,Basketball, Time: ,Sun Jun 28 19:00:00 CEST 2015, Time: ,Sun Jun 28 19:00:00 CEST 2015, Event: ,Serbia (W) v France (W), Favorite: ,France (W), 6469563   size:138.29,Price: ,1.43,Serbia (W), 6427235   size:2.57,Price: ,2.96,x
1.119297937, Sport: ,Tennis, Time: ,Sun Jun 28 16:00:00 CEST 2015, Time: ,Sun Jun 28 16:00:00 CEST 2015, Event: ,Dutra Silva v Delbonis, Favorite: ,Federico Delbonis, 6181532   size:162.57,Price: ,1.27,Rogerio Dutra Silva, 2301068   size:2.57,Price: ,4.1,ok
1.119294967, Sport: ,Tennis, Time: ,Sun Jun 28 12:45:00 CEST 2015, Time: ,Sun Jun 28 12:45:00 CEST 2015, Event: ,Satral v Rudnev, Favorite: ,Jan Satral, 8490613   size:94.57,Price: ,1.02,Valery Rudnev, 3393020   size:32.9,Price: ,1.08,ok
1.119160583, Sport: ,Basketball, Time: ,Sun Jun 28 19:00:00 CEST 2015, Time: ,Sun Jun 28 19:00:00 CEST 2015, Event: ,Egypt U19 v Iran U19, Favorite: ,Iran U19, 7375440   size:108.87,Price: ,1.02,x
1.119298329, Sport: ,Tennis, Time: ,Sun Jun 28 14:30:00 CEST 2015, Time: ,Sun Jun 28 14:30:00 CEST 2015, Event: ,Dellien v Cipolla, Favorite: ,Flavio Cipolla, 2424788   size:41.73,Price: ,1.03,Hugo Dellien, 8226987   size:39.07,Price: ,1.16,x
1.119296323, Sport: ,Tennis, Time: ,Sun Jun 28 16:15:00 CEST 2015, Time: ,Sun Jun 28 16:15:00 CEST 2015, Event: ,Krstin v Geens, Favorite: ,Pedja Krstin, 8257862   size:2.57,Price: ,1.13,Clement Geens, 9543216   size:71.79,Price: ,4.6,x
1.119160588, Sport: ,Basketball, Time: ,Sun Jun 28 19:30:00 CEST 2015, Time: ,Sun Jun 28 19:30:00 CEST 2015, Event: ,Greece U19 v Dominican Republic U19, Favorite: ,Dominican Republic U19, 9608160   size:108.87,Price: ,1.02,x
1.119160344, Sport: ,Basketball, Time: ,Sun Jun 28 14:30:00 CEST 2015, Time: ,Sun Jun 28 14:30:00 CEST 2015, Event: ,Tunisia U19 v Canada U19, Favorite: ,Canada U19, 7375351   size:106.64,Price: ,1.01,Tunisia U19, 9608159   size:5.05,Price: ,1.2,ok
1.119294488, Sport: ,Basketball, Time: ,Sun Jun 28 16:30:00 CEST 2015, Time: ,Sun Jun 28 16:30:00 CEST 2015, Event: ,Belarus (W) v Spain (W), Favorite: ,Spain (W), 6427242   size:5.05,Price: ,1.24,Belarus (W), 6427238   size:120.27,Price: ,4.7,ok
1.119160180, Sport: ,Basketball, Time: ,Sun Jun 28 12:45:00 CEST 2015, Time: ,Sun Jun 28 12:45:00 CEST 2015, Event: ,Australia U19 v Italy U19, Favorite: ,Italy U19, 9607910   size:108.87,Price: ,1.02,ok
1.119201576, Sport: ,Baseball, Time: ,Sun Jun 28 19:10:00 CEST 2015, Time: ,Sun Jun 28 19:10:00 CEST 2015, Event: ,BOS @ TB, Favorite: ,Tampa Bay (C Archer), 6457877   size:297.95,Price: ,1.56,Boston (J Masterson), 2996232   size:51.51,Price: ,2.64,x
1.119298981, Sport: ,Tennis, Time: ,Sun Jun 28 14:30:00 CEST 2015, Time: ,Sun Jun 28 14:30:00 CEST 2015, Event: ,Veger v Balleret, Favorite: ,Benjamin Balleret, 2377738   size:2.57,Price: ,1.5,Filip Veger, 7032182   size:2.57,Price: ,2.38,ok
1.119201551, Sport: ,Baseball, Time: ,Sun Jun 28 19:08:00 CEST 2015, Time: ,Sun Jun 28 19:08:00 CEST 2015, Event: ,CHW @ DET, Favorite: ,Detroit (D Price), 8753728   size:515.11,Price: ,1.58,Chi White Sox (J Samardzija), 9439851   size:314.16,Price: ,2.54,ok
1.119160579, Sport: ,Basketball, Time: ,Sun Jun 28 17:15:00 CEST 2015, Time: ,Sun Jun 28 17:15:00 CEST 2015, Event: ,USA U19 v Croatia U19, Favorite: ,Croatia U19, 7375432   size:108.87,Price: ,1.02,x
1.119296737, Sport: ,Tennis, Time: ,Sun Jun 28 16:15:00 CEST 2015, Time: ,Sun Jun 28 16:15:00 CEST 2015, Event: ,Ledovskikh v Jebavy, Favorite: ,Mikhail Ledovskikh, 2568599   size:3.37,Price: ,1.1,Roman Jebavy, 7797781   size:3.29,Price: ,1.23,ok
1.119160519, Sport: ,Basketball, Time: ,Sun Jun 28 16:45:00 CEST 2015, Time: ,Sun Jun 28 16:45:00 CEST 2015, Event: ,Serbia U19 v South Korea U19, Favorite: ,South Korea U19, 7375433   size:108.87,Price: ,1.02,x
1.119297708, Sport: ,Tennis, Time: ,Sun Jun 28 12:45:00 CEST 2015, Time: ,Sun Jun 28 12:45:00 CEST 2015, Event: ,Gaio v Elgin, Favorite: ,Federico Gaio, 8284479   size:38.88,Price: ,1.08,Mikhail Elgin, 5844509   size:6.57,Price: ,1.11,ok
1.119213764, Sport: ,Cricket, Time: ,Sun Jun 28 15:30:00 CEST 2015, Time: ,Sun Jun 28 15:30:00 CEST 2015, Event: ,Somerset v Glamorgan, Favorite: ,Somerset, 5995   size:1492.55,Price: ,1.66,Glamorgan, 169   size:8.08,Price: ,2.44,x
1.119297748, Sport: ,Tennis, Time: ,Sun Jun 28 14:30:00 CEST 2015, Time: ,Sun Jun 28 14:30:00 CEST 2015, Event: ,Gonzales v F Gil, Favorite: ,Frederico Gil, 2387270   size:70.47,Price: ,1.07,Ruben Gonzales, 8265126   size:17.73,Price: ,5.2,ok
1.119296611, Sport: ,Tennis, Time: ,Sun Jun 28 14:30:00 CEST 2015, Time: ,Sun Jun 28 14:30:00 CEST 2015, Event: ,Donskoy v T Bezolt, Favorite: ,Thomas Bezolt, 9688425   size:94.57,Price: ,1.02,x
1.119296331, Sport: ,Tennis, Time: ,Sun Jun 28 11:00:00 CEST 2015, Time: ,Sun Jun 28 11:00:00 CEST 2015, Event: ,Massara v Crepaldi, Favorite: ,Erik Crepaldi, 7839753   size:40.3,Price: ,1.06,Antonio Massara, 8661779   size:29.51,Price: ,11.0,ok
1.119225475, Sport: ,Cricket, Time: ,Sun Jun 28 12:00:00 CEST 2015, Time: ,Sun Jun 28 12:00:00 CEST 2015, Event: ,Middlesex v Hampshire, Favorite: ,Middlesex, 31378   size:15.04,Price: ,2.5,Hampshire, 3961   size:18.41,Price: ,2.8,The Draw, 60443   size:3.5,Price: ,2.86,ok
1.119296394, Sport: ,Tennis, Time: ,Sun Jun 28 11:00:00 CEST 2015, Time: ,Sun Jun 28 11:00:00 CEST 2015, Event: ,Androic v F Coria, Favorite: ,Federico Coria, 8326752   size:3.37,Price: ,1.1,Toni Androic, 8194189   size:3.23,Price: ,1.34,ok
1.119225478, Sport: ,Cricket, Time: ,Sun Jun 28 12:00:00 CEST 2015, Time: ,Sun Jun 28 12:00:00 CEST 2015, Event: ,Warwickshire v Sussex, Favorite: ,Warwickshire, 2120   size:5.79,Price: ,1.91,The Draw, 60443   size:7.57,Price: ,2.8,Sussex, 31379   size:9.4,Price: ,4.0,x
1.119295392, Sport: ,Tennis, Time: ,Sun Jun 28 12:45:00 CEST 2015, Time: ,Sun Jun 28 12:45:00 CEST 2015, Event: ,N Ghedin v Mektic, Favorite: ,Nikola Mektic, 3658467   size:154.96,Price: ,1.07,Nicola Ghedin, 8979358   size:136.42,Price: ,1.08,x
1.119294817, Sport: ,Basketball, Time: ,Sun Jun 28 11:00:00 CEST 2015, Time: ,Sun Jun 28 11:00:00 CEST 2015, Event: ,Global Port v Purefoods Hotshots, Favorite: ,Purefoods Hotshots, 9581251   size:2.57,Price: ,1.1,Global Port, 7591579   size:7.44,Price: ,3.05,ok
1.119225419, Sport: ,Cricket, Time: ,Sun Jun 28 12:00:00 CEST 2015, Time: ,Sun Jun 28 12:00:00 CEST 2015, Event: ,Durham v Yorkshire, Favorite: ,Yorkshire, 655   size:29.77,Price: ,2.0,The Draw, 60443   size:2.19,Price: ,2.92,Durham, 31374   size:2.04,Price: ,3.05,ok
1.119296758, Sport: ,Tennis, Time: ,Sun Jun 28 11:00:00 CEST 2015, Time: ,Sun Jun 28 11:00:00 CEST 2015, Event: ,N Barrientos v Bejtulahi, Favorite: ,Nicolas Barrientos, 7083200   size:2.57,Price: ,1.14,Denis Bejtulahi, 8520667   size:5.96,Price: ,5.5,ok
1.119296317, Sport: ,Tennis, Time: ,Sun Jun 28 11:00:00 CEST 2015, Time: ,Sun Jun 28 11:00:00 CEST 2015, Event: ,Michon v Kuzmanov, Favorite: ,Axel Michon, 4994683   size:2.77,Price: ,1.82,Dimitar Kuzmanov, 8443097   size:2.57,Price: ,1.99,ok
1.119295405, Sport: ,Tennis, Time: ,Sun Jun 28 11:00:00 CEST 2015, Time: ,Sun Jun 28 11:00:00 CEST 2015, Event: ,De Greef v Heller, Favorite: ,Arthur De Greef, 7287672   size:2.57,Price: ,1.35,Peter Heller, 7234042   size:4.54,Price: ,3.05,ok
1.119160114, Sport: ,Basketball, Time: ,Sun Jun 28 12:15:00 CEST 2015, Time: ,Sun Jun 28 12:15:00 CEST 2015, Event: ,China U19 v Argentina U19, Favorite: ,Argentina U19, 7375441   size:108.87,Price: ,1.02,x
1.119297689, Sport: ,Tennis, Time: ,Sun Jun 28 16:00:00 CEST 2015, Time: ,Sun Jun 28 16:00:00 CEST 2015, Event: ,Lao v B Austin, Favorite: ,Danielle Lao, 8826936   size:4.02,Price: ,1.55,Brooke Austin, 6604255   size:2.45,Price: ,2.54,ok
1.119201568, Sport: ,Baseball, Time: ,Sun Jun 28 19:10:00 CEST 2015, Time: ,Sun Jun 28 19:10:00 CEST 2015, Event: ,LAD @ MIA, Favorite: ,LA Dodgers (Z Greinke), 7179922   size:507.03,Price: ,1.53,Miami (J Urena), 9521925   size:96.96,Price: ,2.74,ok
