1.119201696, Sport: ,Baseball, Time: ,Tue Jun 30 01:10:00 CEST 2015, Time: ,Tue Jun 30 01:10:00 CEST 2015, Event: ,CLE @ TB, Favorite: ,Tampa Bay (N Karns), 8837227   size:44.65,Price: ,1.83,Cleveland (C Anderson), 9653347   size:334.21,Price: ,2.16,x
1.119201664, Sport: ,Baseball, Time: ,Tue Jun 30 01:00:00 CEST 2015, Time: ,Tue Jun 30 01:00:00 CEST 2015, Event: ,TEX @ BAL, Favorite: ,Baltimore (B Norris), 7545089   size:886.14,Price: ,1.75,Texas (W Rodriguez), 9429563   size:277.0,Price: ,2.26,x
1.119306065, Sport: ,Tennis, Time: ,Tue Jun 30 10:00:00 CEST 2015, Time: ,Tue Jun 30 10:00:00 CEST 2015, Event: ,Gigounon v Crepaldi, Favorite: ,Germain Gigounon, 8174343   size:2.55,Price: ,1.13,Erik Crepaldi, 7839753   size:2.55,Price: ,1.29,x
1.119201688, Sport: ,Baseball, Time: ,Tue Jun 30 01:10:00 CEST 2015, Time: ,Tue Jun 30 01:10:00 CEST 2015, Event: ,MIN @ CIN, Favorite: ,Cincinnati (M Leake), 4640134   size:389.27,Price: ,1.64,Minnesota (M Pelfrey), 7177264   size:5.01,Price: ,2.52,ok
1.119201721, Sport: ,Baseball, Time: ,Tue Jun 30 04:05:00 CEST 2015, Time: ,Tue Jun 30 04:05:00 CEST 2015, Event: ,NYY @ LAA, Favorite: ,LA Angels (C Wilson), 6296977   size:52.64,Price: ,1.78,NY Yankees (C Sabathia), 3832740   size:445.83,Price: ,2.22,ok
1.119201672, Sport: ,Baseball, Time: ,Tue Jun 30 01:05:00 CEST 2015, Time: ,Tue Jun 30 01:05:00 CEST 2015, Event: ,MIL @ PHI, Favorite: ,Milwaukee (J Nelson), 7720203   size:62.2,Price: ,1.66,Philadelphia (S OSullivan), 8659035   size:336.24,Price: ,2.46,ok
1.119306354, Sport: ,Tennis, Time: ,Tue Jun 30 11:00:00 CEST 2015, Time: ,Tue Jun 30 11:00:00 CEST 2015, Event: ,Ledovskikh v Djere, Favorite: ,Laslo Djere, 7692106   size:12.56,Price: ,1.13,Mikhail Ledovskikh, 2568599   size:11.28,Price: ,1.16,x
1.119306304, Sport: ,Tennis, Time: ,Tue Jun 30 11:00:00 CEST 2015, Time: ,Tue Jun 30 11:00:00 CEST 2015, Event: ,Satral v Donskoy, Favorite: ,Evgeny Donskoy, 3391304   size:8.04,Price: ,1.11,Jan Satral, 8490613   size:2.21,Price: ,1.4,x
1.119201680, Sport: ,Baseball, Time: ,Tue Jun 30 01:07:00 CEST 2015, Time: ,Tue Jun 30 01:07:00 CEST 2015, Event: ,BOS @ TOR, Favorite: ,Toronto (R Dickey), 7172150   size:297.2,Price: ,1.85,Boston (C Buchholz), 2515837   size:348.13,Price: ,2.14,x
1.119295913, Sport: ,Tennis, Time: ,Tue Jun 30 11:00:00 CEST 2015, Time: ,Tue Jun 30 11:00:00 CEST 2015, Event: ,Choinski v Cervantes, Favorite: ,Inigo Cervantes, 6297238   size:4.01,Price: ,1.14,Jan Choinski, 8679715   size:4.38,Price: ,7.4,ok
1.119201704, Sport: ,Baseball, Time: ,Tue Jun 30 02:10:00 CEST 2015, Time: ,Tue Jun 30 02:10:00 CEST 2015, Event: ,KC @ HOU, Favorite: ,Houston (L McCullers), 9496284   size:51.32,Price: ,1.8,kansas city (J Blanton), 9657055   size:663.81,Price: ,2.18,ok
1.119201729, Sport: ,Baseball, Time: ,Tue Jun 30 04:05:00 CEST 2015, Time: ,Tue Jun 30 04:05:00 CEST 2015, Event: ,COL @ OAK, Favorite: ,Oakland (K Graveman), 9385645   size:344.44,Price: ,1.6,Colorado (D Hale), 9515546   size:258.94,Price: ,2.54,ok
1.119201712, Sport: ,Baseball, Time: ,Tue Jun 30 03:40:00 CEST 2015, Time: ,Tue Jun 30 03:40:00 CEST 2015, Event: ,LAD @ ARI, Favorite: ,LA Dodgers (M Bolsinger), 9427456   size:323.17,Price: ,1.69,Arizona (A Webster), 9609119   size:5.01,Price: ,2.38,x
1.119313325, Sport: ,Tennis, Time: ,Tue Jun 30 10:30:00 CEST 2015, Time: ,Tue Jun 30 10:30:00 CEST 2015, Event: ,Paquet v Zerbone, Favorite: ,Chloe Paquet, 7216239   size:46.33,Price: ,1.13,Jennifer Zerbone, 9628389   size:8.85,Price: ,5.1,ok
1.119296636, Sport: ,Tennis, Time: ,Tue Jun 30 10:00:00 CEST 2015, Time: ,Tue Jun 30 10:00:00 CEST 2015, Event: ,Bellotti v Carballes Baena, Favorite: ,Roberto Carballes Baena, 7185192   size:151.32,Price: ,1.32,Riccardo Bellotti, 7533686   size:2.55,Price: ,3.35,x
