1.119076390, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Kulichkova v Namigata, Favorite: ,Elizaveta Kulichkova, 7795296   size:2.55,Price: ,1.12,Junri Namigata, 2415540   size:2.55,Price: ,1.66,okok
1.119008781, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Surrey v Essex, Favorite: ,Surrey, 424676   size:68.35,Price: ,1.71,Essex, 31376   size:237.05,Price: ,2.36,xx
1.119083681, Sport: ,Snooker, Time: ,Fri Jun 05 15:30:00 CEST 2015, Time: ,Fri Jun 05 15:30:00 CEST 2015, Event: ,King v A Taylor, Favorite: ,Allan Taylor, 5760287   size:0.0,Price: ,0.0,xx
1.119061893, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Kiel v Lemgo, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,xx
1.119083682, Sport: ,Snooker, Time: ,Fri Jun 05 15:30:00 CEST 2015, Time: ,Fri Jun 05 15:30:00 CEST 2015, Event: ,Ja Jones v Wakelin, Favorite: ,Wakelin, 7444046   size:0.0,Price: ,0.0,xx
1.119083683, Sport: ,Snooker, Time: ,Fri Jun 05 15:30:00 CEST 2015, Time: ,Fri Jun 05 15:30:00 CEST 2015, Event: ,Dale v Ayouri, Favorite: ,Hossein Vafaei Ayouri, 6488744   size:0.0,Price: ,0.0,okok
1.119040550, Sport: ,Basketball, Time: ,Fri Jun 05 19:00:00 CEST 2015, Time: ,Fri Jun 05 19:00:00 CEST 2015, Event: ,CSKA Moscow v Khimki, Favorite: ,CSKA Moscow, 266272   size:7.54,Price: ,1.11,Khimki, 2154546   size:70.35,Price: ,7.6,okok
1.119076394, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,E Mertens v Boserup, Favorite: ,Elise Mertens, 9002334   size:444.9,Price: ,1.2,Julia Boserup, 3738415   size:355.92,Price: ,1.25,xx
1.119009238, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Nottinghamshire v Leicestershire, Favorite: ,Nottinghamshire, 2780   size:5.1,Price: ,1.46,Leicestershire, 31377   size:7.82,Price: ,2.88,xx
1.119008785, Sport: ,Cricket, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Derbyshire v Durham, Favorite: ,Durham, 31374   size:2.61,Price: ,1.76,Derbyshire, 31375   size:2.61,Price: ,2.22,okok
1.119061899, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Melsungen v Hannover Burgdorf, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,Melsungen, 2507299   size:9.36,Price: ,1.27,xx
