1.119076390, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Kulichkova v Namigata, Favorite: ,Elizaveta Kulichkova, 7795296   size:119.71,Price: ,1.37,Junri Namigata, 2415540   size:17.37,Price: ,3.25,okokokokokok
1.119008781, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Surrey v Essex, Favorite: ,Surrey, 424676   size:5.0,Price: ,1.67,Essex, 31376   size:2.55,Price: ,2.2,xxxxxx
1.119051093, Sport: ,Baseball, Time: ,Sat Jun 06 01:10:00 CEST 2015, Time: ,Sat Jun 06 01:10:00 CEST 2015, Event: ,BAL @ CLE, Favorite: ,Cleveland (S Marcum), 9502352   size:63.12,Price: ,1.81,Baltimore (C Tillman), 4079994   size:97.0,Price: ,2.2,xxxxxx
1.119083681, Sport: ,Snooker, Time: ,Fri Jun 05 15:30:00 CEST 2015, Time: ,Fri Jun 05 15:30:00 CEST 2015, Event: ,King v A Taylor, Favorite: ,Mark King, 2278807   size:31.13,Price: ,1.33,Allan Taylor, 5760287   size:2.5,Price: ,3.55,okokokokokok
1.119083682, Sport: ,Snooker, Time: ,Fri Jun 05 15:30:00 CEST 2015, Time: ,Fri Jun 05 15:30:00 CEST 2015, Event: ,Ja Jones v Wakelin, Favorite: ,Wakelin, 7444046   size:3.04,Price: ,1.02,xxxxxx
1.119084254, Sport: ,Tennis, Time: ,Sat Jun 06 05:00:00 CEST 2015, Time: ,Sat Jun 06 05:00:00 CEST 2015, Event: ,Ehara v Co Smith, Favorite: ,Connor Smith, 8732289   size:104.55,Price: ,1.07,okokokokokok
1.119083683, Sport: ,Snooker, Time: ,Fri Jun 05 15:30:00 CEST 2015, Time: ,Fri Jun 05 15:30:00 CEST 2015, Event: ,Dale v Ayouri, Favorite: ,Hossein Vafaei Ayouri, 6488744   size:3.04,Price: ,1.02,okokokokokok
1.118839172, Sport: ,Basketball, Time: ,Sat Jun 06 02:00:00 CEST 2015, Time: ,Sat Jun 06 02:00:00 CEST 2015, Event: ,Tulsa @ Minnesota, Favorite: ,Minnesota, 13118   size:2.55,Price: ,1.08,Tulsa, 711056   size:3.1,Price: ,8.0,okokokokokok
1.119040550, Sport: ,Basketball, Time: ,Fri Jun 05 19:00:00 CEST 2015, Time: ,Fri Jun 05 19:00:00 CEST 2015, Event: ,CSKA Moscow v Khimki, Favorite: ,CSKA Moscow, 266272   size:7.24,Price: ,1.06,Khimki, 2154546   size:7.05,Price: ,8.4,okokokokokok
1.119076394, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,E Mertens v Boserup, Favorite: ,Julia Boserup, 3738415   size:14.47,Price: ,1.68,Elise Mertens, 9002334   size:3.82,Price: ,2.32,okokokokokok
1.119008785, Sport: ,Cricket, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Derbyshire v Durham, Favorite: ,Durham, 31374   size:67.94,Price: ,1.71,Derbyshire, 31375   size:3.53,Price: ,2.26,okokokokokok
