1.119008781, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Surrey v Essex, Favorite: ,Surrey, 424676   size:6.94,Price: ,1.72,Essex, 31376   size:10.29,Price: ,2.32,xxxxxx
1.119084254, Sport: ,Tennis, Time: ,Sat Jun 06 05:00:00 CEST 2015, Time: ,Sat Jun 06 05:00:00 CEST 2015, Event: ,Ehara v Co Smith, Favorite: ,Connor Smith, 8732289   size:5.29,Price: ,1.5,Hiroyasu Ehara, 5858044   size:3.13,Price: ,2.84,okokokokokok
1.118839172, Sport: ,Basketball, Time: ,Sat Jun 06 02:00:00 CEST 2015, Time: ,Sat Jun 06 02:00:00 CEST 2015, Event: ,Tulsa @ Minnesota, Favorite: ,Minnesota, 13118   size:2.55,Price: ,1.12,Tulsa, 711056   size:5.79,Price: ,6.8,okokokokokok
1.119040550, Sport: ,Basketball, Time: ,Fri Jun 05 19:00:00 CEST 2015, Time: ,Fri Jun 05 19:00:00 CEST 2015, Event: ,CSKA Moscow v Khimki, Favorite: ,CSKA Moscow, 266272   size:309.4,Price: ,1.09,Khimki, 2154546   size:4.98,Price: ,9.0,okokokokokok
1.119009238, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Nottinghamshire v Leicestershire, Favorite: ,Nottinghamshire, 2780   size:516.48,Price: ,1.38,Leicestershire, 31377   size:13.33,Price: ,3.4,xxxxxx
1.119008785, Sport: ,Cricket, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Derbyshire v Durham, Favorite: ,Durham, 31374   size:17.57,Price: ,1.77,Derbyshire, 31375   size:8.58,Price: ,2.2,okokokokokok
1.119061899, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Melsungen v Hannover Burgdorf, Favorite: ,Melsungen, 2507299   size:2.66,Price: ,1.31,Hannover Burgdorf, 4551482   size:4.21,Price: ,5.4,Draw, 330157   size:69.17,Price: ,9.6,okokokokokok
1.119047794, Sport: ,Basketball, Time: ,Fri Jun 05 19:45:00 CEST 2015, Time: ,Fri Jun 05 19:45:00 CEST 2015, Event: ,France (W) v Canada (W), Favorite: ,France (W), 6469563   size:8000.77,Price: ,1.09,Canada (W), 5859168   size:150.01,Price: ,5.8,okokokokokok
1.119051124, Sport: ,Baseball, Time: ,Sat Jun 06 01:35:00 CEST 2015, Time: ,Sat Jun 06 01:35:00 CEST 2015, Event: ,PIT @ ATL, Favorite: ,Pittsburgh (C Morton), 3966279   size:532.51,Price: ,1.85,Atlanta (W Perez), 9502348   size:105.0,Price: ,2.12,okokokokokok
1.119061885, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Magdeburg v Rhein Neckar Lowen, Favorite: ,Draw, 330157   size:18.0,Price: ,1.3,Rhein Neckar Lowen, 2507296   size:28.36,Price: ,1.45,Magdeburg, 2531263   size:4.0,Price: ,3.4,xxxxxx
1.119051140, Sport: ,Baseball, Time: ,Sat Jun 06 02:10:00 CEST 2015, Time: ,Sat Jun 06 02:10:00 CEST 2015, Event: ,MIL @ MIN, Favorite: ,Minnesota (K Gibson), 7395517   size:48.11,Price: ,1.75,Milwaukee (K Lohse), 7179919   size:620.96,Price: ,2.22,xxxxxx
