1.119053151, Sport: ,Baseball, Time: ,Sun Jun 07 19:10:00 CEST 2015, Time: ,Sun Jun 07 19:10:00 CEST 2015, Event: ,SD @ CIN, Favorite: ,Cincinnati (J Cueto), 2942962   size:584.74,Price: ,1.59,San Diego (O Despaigne), 8643885   size:537.92,Price: ,2.58,okokokok
1.119057065, Sport: ,Basketball, Time: ,Sun Jun 07 20:00:00 CEST 2015, Time: ,Sun Jun 07 20:00:00 CEST 2015, Event: ,Le Portel v Antibes, Favorite: ,Le Portel, 6719000   size:2.87,Price: ,1.51,Antibes, 5467755   size:159.3,Price: ,2.78,okokokok
1.119053183, Sport: ,Baseball, Time: ,Sun Jun 07 20:10:00 CEST 2015, Time: ,Sun Jun 07 20:10:00 CEST 2015, Event: ,DET @ CWS, Favorite: ,Chi White Sox (J Samardzija), 9439851   size:21.53,Price: ,1.85,Detroit (A Simon), 9389893   size:67.0,Price: ,2.12,xxxx
1.119053175, Sport: ,Baseball, Time: ,Sun Jun 07 19:35:00 CEST 2015, Time: ,Sun Jun 07 19:35:00 CEST 2015, Event: ,SF @ PHI, Favorite: ,San Francisco (R Vogelsong), 5504898   size:70.26,Price: ,1.75,Philadelphia (S OSullivan), 8659035   size:120.22,Price: ,2.3,xxxx
1.119057235, Sport: ,Basketball, Time: ,Sun Jun 07 20:00:00 CEST 2015, Time: ,Sun Jun 07 20:00:00 CEST 2015, Event: ,Turow Zgorzelec v Zielona Gora, Favorite: ,Turow Zgorzelec, 1434930   size:5.0,Price: ,1.44,Zielona Gora, 6703617   size:14.96,Price: ,3.1,xxxx
1.119053199, Sport: ,Baseball, Time: ,Sun Jun 07 20:10:00 CEST 2015, Time: ,Sun Jun 07 20:10:00 CEST 2015, Event: ,TEX @ KC, Favorite: ,Kansas City (J Guthrie), 6582227   size:375.99,Price: ,1.83,Texas (C Lewis), 4634645   size:505.0,Price: ,2.12,okokokok
1.119053231, Sport: ,Baseball, Time: ,Sun Jun 07 22:10:00 CEST 2015, Time: ,Sun Jun 07 22:10:00 CEST 2015, Event: ,TB @ SEA, Favorite: ,Tampa Bay (C Archer), 6457877   size:281.29,Price: ,1.77,Seattle (M Montgomery), 9547472   size:139.9,Price: ,2.24,okokokok
1.119053143, Sport: ,Baseball, Time: ,Sun Jun 07 19:10:00 CEST 2015, Time: ,Sun Jun 07 19:10:00 CEST 2015, Event: ,BAL @ CLE, Favorite: ,Cleveland (C Carrasco), 4153692   size:349.06,Price: ,1.54,Baltimore (B Norris), 7545089   size:453.0,Price: ,2.72,xxxx
1.118987692, Sport: ,Basketball, Time: ,Mon Jun 08 02:00:00 CEST 2015, Time: ,Mon Jun 08 02:00:00 CEST 2015, Event: ,Cleveland @ Golden State, Favorite: ,Golden State, 13126   size:7156.33,Price: ,1.32,Cleveland, 13112   size:87.61,Price: ,4.0,xxxx
1.119087902, Sport: ,Basketball, Time: ,Sun Jun 07 20:00:00 CEST 2015, Time: ,Sun Jun 07 20:00:00 CEST 2015, Event: ,Partizan v Metalac, Favorite: ,Partizan, 266286   size:290.97,Price: ,1.11,Metalac, 7735981   size:3.36,Price: ,5.9,okokokok
1.119053191, Sport: ,Baseball, Time: ,Sun Jun 07 20:10:00 CEST 2015, Time: ,Sun Jun 07 20:10:00 CEST 2015, Event: ,MIL @ MIN, Favorite: ,Minnesota (M Pelfrey), 7177264   size:451.0,Price: ,1.96,Milwaukee (M Fiers), 6408787   size:270.0,Price: ,1.97,okok
1.119044513, Sport: ,Basketball, Time: ,Sun Jun 07 20:45:00 CEST 2015, Time: ,Sun Jun 07 20:45:00 CEST 2015, Event: ,Venezia v Reggio Emilia, Favorite: ,Venezia, 5878119   size:3.03,Price: ,1.35,Reggio Emilia, 958950   size:19.0,Price: ,3.65,okokokok
1.119040522, Sport: ,Basketball, Time: ,Sun Jun 07 20:05:00 CEST 2015, Time: ,Sun Jun 07 20:05:00 CEST 2015, Event: ,Hapoel Eilat v Maccabi Tel Aviv, Favorite: ,Maccabi Tel Aviv, 266273   size:2.55,Price: ,1.54,Hapoel Eilat, 7758974   size:20.79,Price: ,2.66,okokokok
1.119090581, Sport: ,Handball, Time: ,Sun Jun 07 20:30:00 CEST 2015, Time: ,Sun Jun 07 20:30:00 CEST 2015, Event: ,Montenegro (W) v Iceland (W), Favorite: ,Montenegro (W), 6257695   size:300.0,Price: ,1.01,Iceland (W), 6257662   size:68.94,Price: ,18.0,Draw, 330157   size:2.67,Price: ,55.0,okokokok
1.118925178, Sport: ,Basketball, Time: ,Sun Jun 07 21:00:00 CEST 2015, Time: ,Sun Jun 07 21:00:00 CEST 2015, Event: ,Connecticut @ Atlanta, Favorite: ,Atlanta, 13114   size:5.0,Price: ,1.16,Connecticut, 332194   size:2.68,Price: ,6.8,xxxx
1.119099336, Sport: ,Basketball, Time: ,Sun Jun 07 18:30:00 CEST 2015, Time: ,Sun Jun 07 18:30:00 CEST 2015, Event: ,Olympiacos v Panathinaikos, Favorite: ,Olympiacos, 278582   size:359.55,Price: ,1.24,Panathinaikos, 266270   size:47.91,Price: ,4.7,okokok
