1.119053151, Sport: ,Baseball, Time: ,Sun Jun 07 19:10:00 CEST 2015, Time: ,Sun Jun 07 19:10:00 CEST 2015, Event: ,SD @ CIN, Favorite: ,Cincinnati (J Cueto), 2942962   size:308.74,Price: ,1.61,San Diego (O Despaigne), 8643885   size:288.41,Price: ,2.6,okok
1.119053175, Sport: ,Baseball, Time: ,Sun Jun 07 19:35:00 CEST 2015, Time: ,Sun Jun 07 19:35:00 CEST 2015, Event: ,SF @ PHI, Favorite: ,San Francisco (R Vogelsong), 5504898   size:132.4,Price: ,1.76,Philadelphia (S OSullivan), 8659035   size:81.66,Price: ,2.3,xx
1.119053199, Sport: ,Baseball, Time: ,Sun Jun 07 20:10:00 CEST 2015, Time: ,Sun Jun 07 20:10:00 CEST 2015, Event: ,TEX @ KC, Favorite: ,Kansas City (J Guthrie), 6582227   size:15.1,Price: ,1.8,Texas (C Lewis), 4634645   size:280.74,Price: ,2.2,okok
1.119109919, Sport: ,Tennis, Time: ,Mon Jun 08 04:00:00 CEST 2015, Time: ,Mon Jun 08 04:00:00 CEST 2015, Event: ,Nunome v Kato, Favorite: ,Miyu Kato, 8839047   size:31.19,Price: ,1.03,Chihiro Nunome, 9568817   size:106.58,Price: ,1.07,xx
1.118987692, Sport: ,Basketball, Time: ,Mon Jun 08 02:00:00 CEST 2015, Time: ,Mon Jun 08 02:00:00 CEST 2015, Event: ,Cleveland @ Golden State, Favorite: ,Golden State, 13126   size:7055.93,Price: ,1.32,Cleveland, 13112   size:35.57,Price: ,4.0,xx
1.119109916, Sport: ,Tennis, Time: ,Mon Jun 08 04:00:00 CEST 2015, Time: ,Mon Jun 08 04:00:00 CEST 2015, Event: ,Yamasoto v Okamura, Favorite: ,Kyoka Okamura, 8887170   size:31.19,Price: ,1.03,okok
1.119087902, Sport: ,Basketball, Time: ,Sun Jun 07 20:00:00 CEST 2015, Time: ,Sun Jun 07 20:00:00 CEST 2015, Event: ,Partizan v Metalac, Favorite: ,Partizan, 266286   size:12.0,Price: ,1.09,Metalac, 7735981   size:73.05,Price: ,6.0,okok
1.119053191, Sport: ,Baseball, Time: ,Sun Jun 07 20:10:00 CEST 2015, Time: ,Sun Jun 07 20:10:00 CEST 2015, Event: ,MIL @ MIN, Favorite: ,Milwaukee (M Fiers), 6408787   size:349.93,Price: ,1.85,Minnesota (M Pelfrey), 7177264   size:249.71,Price: ,2.16,xx
1.119044513, Sport: ,Basketball, Time: ,Sun Jun 07 20:45:00 CEST 2015, Time: ,Sun Jun 07 20:45:00 CEST 2015, Event: ,Venezia v Reggio Emilia, Favorite: ,Venezia, 5878119   size:27.47,Price: ,1.33,Reggio Emilia, 958950   size:19.0,Price: ,3.65,okok
1.118925178, Sport: ,Basketball, Time: ,Sun Jun 07 21:00:00 CEST 2015, Time: ,Sun Jun 07 21:00:00 CEST 2015, Event: ,Connecticut @ Atlanta, Favorite: ,Atlanta, 13114   size:17.0,Price: ,1.17,Connecticut, 332194   size:2.67,Price: ,5.9,xx
1.119053167, Sport: ,Baseball, Time: ,Sun Jun 07 19:35:00 CEST 2015, Time: ,Sun Jun 07 19:35:00 CEST 2015, Event: ,PIT @ ATL, Favorite: ,Pittsburgh (G Cole), 7340947   size:295.1,Price: ,1.72,Atlanta (A Wood), 7368437   size:25.59,Price: ,2.34,okok
