1.119100588, Sport: ,Tennis, Time: ,Mon Jun 08 13:00:00 CEST 2015, Time: ,Mon Jun 08 13:00:00 CEST 2015, Event: ,Troicki v Coric, Favorite: ,Viktor Troicki, 2263624   size:350.55,Price: ,1.59,Borna Coric, 7446579   size:28.48,Price: ,2.64,okokokok
1.119108906, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,Teixeira v Satral, Favorite: ,Maxime Teixeira, 5321113   size:5.1,Price: ,1.57,Jan Satral, 8490613   size:3.64,Price: ,2.2,xxxx
1.119104901, Sport: ,Tennis, Time: ,Mon Jun 08 16:30:00 CEST 2015, Time: ,Mon Jun 08 16:30:00 CEST 2015, Event: ,Jovanovski v Gibbs, Favorite: ,Bojana Jovanovski, 4148045   size:24.5,Price: ,1.39,Nicole Gibbs, 4946628   size:21.95,Price: ,3.55,okokokok
1.119104902, Sport: ,Tennis, Time: ,Mon Jun 08 12:00:00 CEST 2015, Time: ,Mon Jun 08 12:00:00 CEST 2015, Event: ,Wickmayer v K Knapp, Favorite: ,Karin Knapp, 2328045   size:18.39,Price: ,1.75,Yanina Wickmayer, 2386943   size:106.24,Price: ,2.32,xxxx
1.119104829, Sport: ,Tennis, Time: ,Mon Jun 08 13:30:00 CEST 2015, Time: ,Mon Jun 08 13:30:00 CEST 2015, Event: ,L Davis v Tomljanovic, Favorite: ,Ajla Tomljanovic, 3740233   size:35.81,Price: ,1.86,Lauren Davis, 4176991   size:64.0,Price: ,2.06,xxxx
1.119107986, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Albot v Heras, Favorite: ,Radu Albot, 6603898   size:2.55,Price: ,1.22,Patricio Heras, 8461064   size:176.41,Price: ,4.4,okokokok
1.119103542, Sport: ,Tennis, Time: ,Mon Jun 08 16:15:00 CEST 2015, Time: ,Mon Jun 08 16:15:00 CEST 2015, Event: ,Cilic/Moser v Bopanna/Mergea, Favorite: ,Bopanna/Mergea, 8890432   size:11.69,Price: ,1.53,Cilic/Moser, 9566323   size:3.8,Price: ,2.36,okokok
1.119104877, Sport: ,Tennis, Time: ,Mon Jun 08 15:00:00 CEST 2015, Time: ,Mon Jun 08 15:00:00 CEST 2015, Event: ,Riske v S Zheng, Favorite: ,Alison Riske, 4566011   size:540.24,Price: ,1.36,Saisai Zheng, 5829453   size:52.56,Price: ,3.65,okokokok
1.119104712, Sport: ,Tennis, Time: ,Mon Jun 08 12:00:00 CEST 2015, Time: ,Mon Jun 08 12:00:00 CEST 2015, Event: ,Rice v Myneni, Favorite: ,Saketh Myneni, 7445661   size:11.31,Price: ,1.82,David Rice, 7366957   size:4.1,Price: ,2.12,xxxx
1.119101368, Sport: ,Tennis, Time: ,Mon Jun 08 14:00:00 CEST 2015, Time: ,Mon Jun 08 14:00:00 CEST 2015, Event: ,G Melzer v Fucsovics, Favorite: ,Gerald Melzer, 4876705   size:72.63,Price: ,1.69,Marton Fucsovics, 4827766   size:36.94,Price: ,2.26,xxxx
1.119107142, Sport: ,Tennis, Time: ,Mon Jun 08 14:30:00 CEST 2015, Time: ,Mon Jun 08 14:30:00 CEST 2015, Event: ,Cabal/Farah v Rosol/Thiem, Favorite: ,Cabal/Farah, 6098095   size:6.37,Price: ,1.41,Rosol/Thiem, 9220075   size:3.59,Price: ,2.5,okokokok
1.119100234, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Mat Viola v F De Paula, Favorite: ,Matteo Viola, 4946664   size:2.55,Price: ,1.37,Fabiano De Paula, 7366935   size:2.55,Price: ,3.25,xxxx
1.119109400, Sport: ,Tennis, Time: ,Mon Jun 08 13:30:00 CEST 2015, Time: ,Mon Jun 08 13:30:00 CEST 2015, Event: ,Parra Santonja v Vickery, Favorite: ,Sachia Vickery, 6596286   size:107.27,Price: ,1.45,Arantxa Parra Santonja, 2309573   size:33.29,Price: ,2.9,okokokok
1.119107982, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Elgin v Zaitcev, Favorite: ,Mikhail Elgin, 5844509   size:5.84,Price: ,1.89,Anton Zaitcev, 8714146   size:6.59,Price: ,2.0,okokokok
1.119100274, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,J Eysseric v Antonio Veic, Favorite: ,Jonathan Eysseric, 2426230   size:2.55,Price: ,1.87,Antonio Veic, 3186312   size:2.55,Price: ,2.0,xxxx
1.119100230, Sport: ,Tennis, Time: ,Mon Jun 08 16:00:00 CEST 2015, Time: ,Mon Jun 08 16:00:00 CEST 2015, Event: ,M Granollers v Marie, Favorite: ,Marcel Granollers, 3035263   size:2616.49,Price: ,1.06,Jules Marie, 7287701   size:4.5,Price: ,8.8,okokokok
1.119053304, Sport: ,Baseball, Time: ,Tue Jun 09 04:10:00 CEST 2015, Time: ,Tue Jun 09 04:10:00 CEST 2015, Event: ,ARI @ LAD, Favorite: ,LA Dodgers (M Bolsinger), 9427456   size:474.51,Price: ,1.62,Arizona (R De La Rosa), 9382117   size:5.0,Price: ,2.5,okokokok
1.119053280, Sport: ,Baseball, Time: ,Tue Jun 09 02:10:00 CEST 2015, Time: ,Tue Jun 09 02:10:00 CEST 2015, Event: ,HOU @ CWS, Favorite: ,Chicago White Sox (C Sale), 6296975   size:266.0,Price: ,1.66,Houston (L McCullers), 9496284   size:109.0,Price: ,2.42,okokokok
1.119040525, Sport: ,Basketball, Time: ,Mon Jun 08 20:00:00 CEST 2015, Time: ,Mon Jun 08 20:00:00 CEST 2015, Event: ,Maccabi R Lez v Hapoel M Jerusalem, Favorite: ,Hapoel M Jerusalem, 7758971   size:4.97,Price: ,1.61,Maccabi R Lez, 7758969   size:5.88,Price: ,2.4,okokokok
1.119107191, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,Babos/Mladenovic v Bouchard/Tsurenko, Favorite: ,Babos/Mladenovic, 8242001   size:45.05,Price: ,1.24,Bouchard/Tsurenko, 9568198   size:2.68,Price: ,3.35,okokokok
1.119066656, Sport: ,Basketball, Time: ,Tue Jun 09 05:00:00 CEST 2015, Time: ,Tue Jun 09 05:00:00 CEST 2015, Event: ,Cambodia v Thailand, Favorite: ,Thailand, 4030991   size:3.06,Price: ,1.02,okokokok
1.119107479, Sport: ,Tennis, Time: ,Mon Jun 08 11:11:00 CEST 2015, Time: ,Mon Jun 08 11:11:00 CEST 2015, Event: ,Michon v Majchrzak, Favorite: ,Kamil Majchrzak, 8698678   size:41.52,Price: ,1.87,Axel Michon, 4994683   size:9.89,Price: ,2.04,okokokok
