1.119053272, Sport: ,Baseball, Time: ,Tue Jun 09 01:10:00 CEST 2015, Time: ,Tue Jun 09 01:10:00 CEST 2015, Event: ,SD @ ATL, Favorite: ,Atlanta (S Miller), 9385068   size:100.0,Price: ,1.75,San Diego (I Kennedy), 7551799   size:273.01,Price: ,2.24,xxxx
1.119100588, Sport: ,Tennis, Time: ,Mon Jun 08 13:00:00 CEST 2015, Time: ,Mon Jun 08 13:00:00 CEST 2015, Event: ,Troicki v Coric, Favorite: ,Viktor Troicki, 2263624   size:73.87,Price: ,1.59,Borna Coric, 7446579   size:18.52,Price: ,2.62,okokokok
1.119108906, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,Teixeira v Satral, Favorite: ,Maxime Teixeira, 5321113   size:5.16,Price: ,1.55,Jan Satral, 8490613   size:3.64,Price: ,2.2,xxxx
1.119104901, Sport: ,Tennis, Time: ,Mon Jun 08 16:30:00 CEST 2015, Time: ,Mon Jun 08 16:30:00 CEST 2015, Event: ,Jovanovski v Gibbs, Favorite: ,Bojana Jovanovski, 4148045   size:430.4,Price: ,1.36,Nicole Gibbs, 4946628   size:22.03,Price: ,3.55,okokokok
1.119040553, Sport: ,Basketball, Time: ,Mon Jun 08 19:00:00 CEST 2015, Time: ,Mon Jun 08 19:00:00 CEST 2015, Event: ,Khimki v CSKA Moscow, Favorite: ,CSKA Moscow, 266272   size:543.74,Price: ,1.31,Khimki, 2154546   size:2.55,Price: ,3.65,okokokok
1.119104902, Sport: ,Tennis, Time: ,Mon Jun 08 12:00:00 CEST 2015, Time: ,Mon Jun 08 12:00:00 CEST 2015, Event: ,Wickmayer v K Knapp, Favorite: ,Karin Knapp, 2328045   size:117.07,Price: ,1.68,Yanina Wickmayer, 2386943   size:5.0,Price: ,2.36,xxxx
1.119100270, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,Gakhov v T Brkic, Favorite: ,Tomislav Brkic, 3957838   size:3.6,Price: ,1.38,Ivan Gakhov, 9454905   size:14.92,Price: ,3.25,okokokok
1.119104877, Sport: ,Tennis, Time: ,Mon Jun 08 15:00:00 CEST 2015, Time: ,Mon Jun 08 15:00:00 CEST 2015, Event: ,Riske v S Zheng, Favorite: ,Alison Riske, 4566011   size:605.57,Price: ,1.36,Saisai Zheng, 5829453   size:5.0,Price: ,3.45,okokokok
1.119101368, Sport: ,Tennis, Time: ,Mon Jun 08 14:00:00 CEST 2015, Time: ,Mon Jun 08 14:00:00 CEST 2015, Event: ,G Melzer v Fucsovics, Favorite: ,Gerald Melzer, 4876705   size:4.73,Price: ,1.69,Marton Fucsovics, 4827766   size:6.15,Price: ,2.22,xxxx
1.119107142, Sport: ,Tennis, Time: ,Mon Jun 08 14:30:00 CEST 2015, Time: ,Mon Jun 08 14:30:00 CEST 2015, Event: ,Cabal/Farah v Rosol/Thiem, Favorite: ,Cabal/Farah, 6098095   size:12.32,Price: ,1.39,Rosol/Thiem, 9220075   size:9.63,Price: ,2.38,okokokok
1.119109400, Sport: ,Tennis, Time: ,Mon Jun 08 13:30:00 CEST 2015, Time: ,Mon Jun 08 13:30:00 CEST 2015, Event: ,Parra Santonja v Vickery, Favorite: ,Sachia Vickery, 6596286   size:2.55,Price: ,1.44,Arantxa Parra Santonja, 2309573   size:2.55,Price: ,2.88,okokokok
1.119107740, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,Bachinger v M Zverev, Favorite: ,Matthias Bachinger, 2397396   size:5.0,Price: ,1.8,Mischa Zverev, 2263625   size:23.69,Price: ,2.16,xxxx
1.119104394, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,Falconi v Giorgi, Favorite: ,Camila Giorgi, 5619012   size:3206.98,Price: ,1.54,Irina Falconi, 4946384   size:7.83,Price: ,2.68,okokokok
1.119053304, Sport: ,Baseball, Time: ,Tue Jun 09 04:10:00 CEST 2015, Time: ,Tue Jun 09 04:10:00 CEST 2015, Event: ,ARI @ LAD, Favorite: ,LA Dodgers (M Bolsinger), 9427456   size:525.0,Price: ,1.62,Arizona (R De La Rosa), 9382117   size:525.0,Price: ,2.44,okokokok
1.119053280, Sport: ,Baseball, Time: ,Tue Jun 09 02:10:00 CEST 2015, Time: ,Tue Jun 09 02:10:00 CEST 2015, Event: ,HOU @ CWS, Favorite: ,Chicago White Sox (C Sale), 6296975   size:102.0,Price: ,1.71,Houston (L McCullers), 9496284   size:307.0,Price: ,2.28,okokokok
1.119040525, Sport: ,Basketball, Time: ,Mon Jun 08 20:00:00 CEST 2015, Time: ,Mon Jun 08 20:00:00 CEST 2015, Event: ,Maccabi R Lez v Hapoel M Jerusalem, Favorite: ,Hapoel M Jerusalem, 7758971   size:4.97,Price: ,1.61,Maccabi R Lez, 7758969   size:5.87,Price: ,2.4,okokokok
1.119100238, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,D Medvedev v Tyurnev, Favorite: ,Daniil Medvedev, 7797742   size:3.6,Price: ,1.44,Evgeny Tyurnev, 9320998   size:12.37,Price: ,3.1,okokokok
1.119107191, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,Babos/Mladenovic v Bouchard/Tsurenko, Favorite: ,Bouchard/Tsurenko, 9568198   size:5.0,Price: ,1.03,xxxx
1.119110320, Sport: ,Tennis, Time: ,Mon Jun 08 13:45:00 CEST 2015, Time: ,Mon Jun 08 13:45:00 CEST 2015, Event: ,Nielsen v Ja Jenkins, Favorite: ,Frederik Nielsen, 2444574   size:2.55,Price: ,1.48,Jarmere Jenkins, 7533932   size:2.55,Price: ,2.12,okokokok
