1.119111040, Sport: ,Basketball, Time: ,Tue Jun 09 20:00:00 CEST 2015, Time: ,Tue Jun 09 20:00:00 CEST 2015, Event: ,Boulazac v Denain, Favorite: ,Boulazac, 6718787   size:12.33,Price: ,1.47,Denain, 6719010   size:2.23,Price: ,2.9,xx
1.119116692, Sport: ,Tennis, Time: ,Tue Jun 09 13:30:00 CEST 2015, Time: ,Tue Jun 09 13:30:00 CEST 2015, Event: ,Knoll v Axon, Favorite: ,Xenia Knoll, 7414060   size:2.55,Price: ,1.12,Georgina Axon, 9573142   size:28.56,Price: ,6.0,okok
1.119053353, Sport: ,Baseball, Time: ,Wed Jun 10 01:10:00 CEST 2015, Time: ,Wed Jun 10 01:10:00 CEST 2015, Event: ,LAA @ TB, Favorite: ,Tampa Bay (N Karns), 8837227   size:2.56,Price: ,1.93,LA Angels (M Shoemaker), 7683114   size:1075.0,Price: ,1.97,xx
1.119100424, Sport: ,Tennis, Time: ,Tue Jun 09 15:00:00 CEST 2015, Time: ,Tue Jun 09 15:00:00 CEST 2015, Event: ,T Haas v Kukushkin, Favorite: ,Tommy Haas, 2256508   size:21.0,Price: ,1.78,Mikhail Kukushkin, 2609424   size:22.0,Price: ,2.16,okok
1.119066787, Sport: ,Basketball, Time: ,Wed Jun 10 05:00:00 CEST 2015, Time: ,Wed Jun 10 05:00:00 CEST 2015, Event: ,Myanmar v Cambodia, Favorite: ,Cambodia, 9555584   size:3.03,Price: ,1.02,okok
1.119116698, Sport: ,Tennis, Time: ,Tue Jun 09 12:00:00 CEST 2015, Time: ,Tue Jun 09 12:00:00 CEST 2015, Event: ,Coin v Foretz, Favorite: ,Stephanie Foretz, 9152710   size:7.14,Price: ,1.74,Julie Coin, 3289144   size:6.29,Price: ,2.14,okok
1.119101360, Sport: ,Tennis, Time: ,Tue Jun 09 10:00:00 CEST 2015, Time: ,Tue Jun 09 10:00:00 CEST 2015, Event: ,Nedovyesov v De Novak, Favorite: ,Aleksandr Nedovyesov, 8188266   size:88.41,Price: ,1.4,Dennis Novak, 7335936   size:2.75,Price: ,3.2,okok
1.119104474, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Van Uytvanck v Rodina, Favorite: ,Alison Van Uytvanck, 5548385   size:732.52,Price: ,1.37,Evgeniya Rodina, 2415530   size:5.0,Price: ,3.45,okok
1.119107986, Sport: ,Tennis, Time: ,Tue Jun 09 11:45:00 CEST 2015, Time: ,Tue Jun 09 11:45:00 CEST 2015, Event: ,Albot v Heras, Favorite: ,Radu Albot, 6603898   size:16.31,Price: ,1.23,Patricio Heras, 8461064   size:7.07,Price: ,4.8,okok
1.119112802, Sport: ,Tennis, Time: ,Wed Jun 10 03:00:00 CEST 2015, Time: ,Wed Jun 10 03:00:00 CEST 2015, Event: ,M Kwon v C Liu, Favorite: ,Chang Liu, 7656823   size:70.94,Price: ,1.02,okok
1.119104235, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,J Sousa v Istomin, Favorite: ,Denis Istomin, 2765780   size:3.53,Price: ,1.86,Joao Sousa, 7053035   size:24.23,Price: ,2.12,xx
